_meta,startingCapital,1000000
_meta,exportDate,2026-07-26
Ticker,Direction,Sector,Entry Date,Entry Price,Original Qty,Current Qty,Stop Price,Initial Stop,Closed,Trim1 Date,Trim1 Price,Trim1 Qty,Trim1 Type,Trim2 Date,Trim2 Price,Trim2 Qty,Trim2 Type,Trim3 Date,Trim3 Price,Trim3 Qty,Trim3 Type
XOM,long,Energy,2025-12-31T15:00:00.000Z,120.61,331,0,118,118,YES,2026-01-20,130.63,331,sell_rest,,,,,,,,
AEO,long,Retail,2026-01-05T15:00:00.000Z,27.51,3635,0,26.26,26.26,YES,2026-01-12,24.03,3635,sell_rest,,,,,,,,
AEVA,long,Technology,2026-01-05T15:00:00.000Z,17.48,2862,0,15.97,15.97,YES,2026-01-06,16.98,954,trim_1_3,2026-01-06,16.47,954,trim_1_3,2026-01-06,15.97,954,sell_rest
BABA,long,Consumer Cyclical,2026-01-05T15:00:00.000Z,153.29,326,0,146.48,146.48,YES,2026-01-07,151.02,108,trim_1_3,2026-01-07,148.75,108,trim_1_3,2026-01-07,146.48,110,sell_rest
PATH,long,Technology,2026-01-05T15:00:00.000Z,16.95,5903,0,16.47,16.47,YES,2026-01-09,16.79,1967,trim_1_3,2026-01-09,16.63,1967,trim_1_3,2026-01-09,16.47,1969,sell_rest
FLY,long,Aerospace & Defense,2026-01-06T15:00:00.000Z,27.11,3667,0,25.4,25.4,YES,2026-01-08,27.5,3667,sell_rest,,,,,,,,
FLY,long,Aerospace & Defense,2026-01-06T15:00:00.000Z,27.93,3559,0,25.4,25.4,YES,2026-01-07,31.13,3559,sell_rest,,,,,,,,
MDB,long,Technology,2026-01-06T15:00:00.000Z,439.74,226,0,431.7,431.7,YES,2026-01-08,437.06,75,trim_1_3,2026-01-08,434.38,75,trim_1_3,2026-01-08,431.7,76,sell_rest
APLD,long,Technology,2026-01-06T15:00:00.000Z,32.1,4645,0,31,31,YES,2026-01-07,34.8,1548,trim_1_3,2026-01-07,34.5,929,trim_1_5,2026-01-20,34.8,2168,sell_rest
WGMI,long,ETF,2026-01-06T15:00:00.000Z,43.81,3403,0,42.85,42.85,YES,2026-01-16,50,1134,trim_1_3,2026-01-20,47.5,1134,trim_1_3,2026-01-30,46.1,1135,sell_rest
PLTR,short,Technology,2026-01-07T15:00:00.000Z,177.79,398,0,181,181,YES,2026-01-15,179.2,398,sell_rest,,,,,,,,
HUN,long,Materials,2026-01-08T15:00:00.000Z,11.35,17812,0,11.3,11.3,YES,2026-01-13,11.63,17812,sell_rest,,,,,,,,
HUT,long,Technology Services,2026-01-08T15:00:00.000Z,61.3,1649,0,59,59,YES,2026-01-13,61.3,1649,sell_rest,,,,,,,,
UEC,long,Energy,2026-01-08T15:00:00.000Z,15.61,6475,0,14.62,14.62,YES,2026-01-23,19.28,3237,trim_1_2,2026-01-30,17.54,3238,sell_rest,,,,
BABA,long,Consumer Cyclical,2026-01-11T15:00:00.000Z,158.87,951,0,155.5,155.5,YES,2026-01-14,170.6,317,trim_1_3,2026-04-23,131.6,634,sell_rest,,,,
APP,long,Communication Services,2026-01-11T15:00:00.000Z,640,78,0,624.64,624.64,YES,2026-01-14,640,78,sell_rest,,,,,,,,
RDDT,long,Communication Services,2026-01-12T15:00:00.000Z,253.34,392,0,245.96,245.96,YES,2026-01-14,250.88,130,trim_1_3,2026-01-14,248.42,130,trim_1_3,2026-01-14,245.96,132,sell_rest
SILJ,short,ETF,2026-01-13T15:00:00.000Z,32.1,1558,0,32.6,32.6,YES,2026-01-15,32.27,519,trim_1_3,2026-01-15,32.43,519,trim_1_3,2026-01-15,32.6,520,sell_rest
EOSE,long,Industrials,2026-01-13T15:00:00.000Z,17.37,3455,0,15.5,15.5,YES,2026-01-21,16.8,3455,sell_rest,,,,,,,,
BABA,long,Consumer Cyclical,2026-01-14T15:00:00.000Z,172,291,0,157,157,YES,2026-04-23,131.6,291,sell_rest,,,,,,,,
MU,long,Technology,2026-01-14T15:00:00.000Z,343.5,292,0,329,329,YES,2026-01-29,423.1,146,trim_1_2,2026-01-30,436.2,146,sell_rest,,,,
CRWV,long,Technology,2026-01-13T15:00:00.000Z,91.12,1317,0,87,87,YES,2026-01-15,98.9,439,trim_1_3,2026-01-20,95.8,658,trim_1_2,2026-02-04,86.75,220,sell_rest
APLD,long,Technology,2026-01-14T15:00:00.000Z,35.9,838,0,34,34,YES,2026-01-20,34.67,838,sell_rest,,,,,,,,
FLNC,long,Industrials,2026-01-14T15:00:00.000Z,25.55,3140,0,24,24,YES,2026-01-20,25,1046,trim_1_3,2026-02-03,30.86,2094,sell_rest,,,,
RKLB,long,Industrials,2026-01-14T15:00:00.000Z,91.1,1236,0,89,89,YES,2026-01-16,98.7,618,trim_1_2,2026-01-20,91.1,618,sell_rest,,,,
GEV,long,Unknown,2026-01-15T15:00:00.000Z,685.3,336,0,636,636,YES,2026-01-20,668,112,trim_1_3,2026-01-22,653.87,224,sell_rest,,,,
ARM,long,Unknown,2026-01-20T15:00:00.000Z,114,1479,0,109,109,YES,2026-01-22,122,739,trim_1_2,2026-01-28,113.98,740,sell_rest,,,,
