date,score,display_band,analysis_band
2025-12-01,39.3,Neutral,Damaged
2025-12-02,57.1,Constructive,Mixed
2025-12-03,89.3,Full,Extended
2025-12-04,85.7,Full,Extended
2025-12-05,64.3,Constructive,Healthy
2025-12-08,64.3,Constructive,Healthy
2025-12-09,67.9,Constructive,Healthy
2025-12-10,85.7,Full,Extended
2025-12-11,78.6,Full,Extended
2025-12-12,42.9,Neutral,Damaged
2025-12-15,39.3,Neutral,Damaged
2025-12-16,46.4,Neutral,Damaged
2025-12-17,35.7,Neutral,Damaged
2025-12-18,46.4,Neutral,Damaged
2025-12-19,64.3,Constructive,Healthy
2025-12-22,67.9,Constructive,Healthy
2025-12-23,35.7,Neutral,Damaged
2025-12-24,71.4,Constructive,Healthy
2025-12-26,53.6,Neutral,Mixed
2025-12-29,25.0,Caution,Damaged
2025-12-30,39.3,Neutral,Damaged
2025-12-31,35.7,Neutral,Damaged
2026-01-02,57.1,Constructive,Mixed
2026-01-05,64.3,Constructive,Healthy
2026-01-06,82.1,Full,Extended
2026-01-07,57.1,Constructive,Mixed
2026-01-08,78.6,Full,Extended
2026-01-09,71.4,Constructive,Healthy
2026-01-12,78.6,Full,Extended
2026-01-13,60.7,Constructive,Mixed
2026-01-14,75.0,Constructive,Extended
2026-01-15,67.9,Constructive,Healthy
2026-01-16,64.3,Constructive,Healthy
2026-01-20,46.4,Neutral,Damaged
2026-01-21,82.1,Full,Extended
2026-01-22,89.3,Full,Extended
2026-01-23,67.9,Constructive,Healthy
2026-01-26,50.0,Neutral,Mixed
2026-01-27,75.0,Constructive,Extended
2026-01-28,39.3,Neutral,Damaged
2026-01-29,39.3,Neutral,Damaged
2026-01-30,32.1,Caution,Damaged
2026-02-02,46.4,Neutral,Damaged
2026-02-03,42.9,Neutral,Damaged
2026-02-04,39.3,Neutral,Damaged
2026-02-05,21.4,Caution,Damaged
2026-02-06,64.3,Constructive,Healthy
2026-02-09,64.3,Constructive,Healthy
2026-02-10,50.0,Neutral,Mixed
2026-02-11,46.4,Neutral,Damaged
2026-02-12,32.1,Caution,Damaged
2026-02-13,60.7,Constructive,Mixed
2026-02-17,39.3,Neutral,Damaged
2026-02-18,60.7,Constructive,Mixed
2026-02-19,60.7,Constructive,Mixed
2026-02-20,75.0,Constructive,Extended
2026-02-23,35.7,Neutral,Damaged
2026-02-24,64.3,Constructive,Healthy
2026-02-25,60.7,Constructive,Mixed
2026-02-26,78.6,Full,Extended
2026-02-27,39.3,Neutral,Damaged
2026-03-02,67.9,Constructive,Healthy
2026-03-03,32.1,Caution,Damaged
2026-03-04,57.1,Constructive,Mixed
2026-03-05,35.7,Neutral,Damaged
2026-03-06,25.0,Caution,Damaged
2026-03-09,50.0,Neutral,Mixed
2026-03-10,42.9,Neutral,Damaged
2026-03-11,42.9,Neutral,Damaged
2026-03-12,17.9,Caution,Damaged
2026-03-13,25.0,Caution,Damaged
2026-03-16,46.4,Neutral,Damaged
2026-03-17,42.9,Neutral,Damaged
2026-03-18,42.9,Neutral,Damaged
2026-03-19,53.6,Neutral,Mixed
2026-03-20,21.4,Caution,Damaged
2026-03-23,57.1,Constructive,Mixed
2026-03-24,46.4,Neutral,Damaged
2026-03-25,75.0,Constructive,Extended
2026-03-26,32.1,Caution,Damaged
2026-03-27,35.7,Neutral,Damaged
2026-03-30,39.3,Neutral,Damaged
2026-03-31,75.0,Constructive,Extended
2026-04-01,71.4,Constructive,Healthy
2026-04-02,85.7,Full,Extended
2026-04-06,85.7,Full,Extended
2026-04-07,64.3,Constructive,Healthy
2026-04-08,85.7,Full,Extended
2026-04-09,78.6,Full,Extended
2026-04-10,60.7,Constructive,Mixed
2026-04-13,92.9,Full,Extended
2026-04-14,85.7,Full,Extended
2026-04-15,85.7,Full,Extended
2026-04-16,85.7,Full,Extended
2026-04-17,92.9,Full,Extended
2026-04-20,85.7,Full,Extended
2026-04-21,60.7,Constructive,Mixed
2026-04-22,85.7,Full,Extended
2026-04-23,60.7,Constructive,Mixed
2026-04-24,71.4,Constructive,Healthy
2026-04-27,67.9,Constructive,Healthy
2026-04-28,60.7,Constructive,Mixed
2026-04-29,60.7,Constructive,Mixed
2026-04-30,96.4,Full,Extended
2026-05-01,78.6,Full,Extended
2026-05-04,71.4,Constructive,Healthy
2026-05-05,85.7,Full,Extended
2026-05-06,89.3,Full,Extended
2026-05-07,64.3,Constructive,Healthy
2026-05-08,85.7,Full,Extended
2026-05-11,67.9,Constructive,Healthy
2026-05-12,64.3,Constructive,Healthy
2026-05-13,57.1,Constructive,Mixed
2026-05-14,64.3,Constructive,Healthy
2026-05-15,42.9,Neutral,Damaged
2026-05-18,60.7,Constructive,Mixed
2026-05-19,57.1,Constructive,Mixed
2026-05-20,71.4,Constructive,Healthy
2026-05-21,71.4,Constructive,Healthy
2026-05-22,85.7,Full,Extended
2026-05-26,96.4,Full,Extended
2026-05-27,75.0,Constructive,Extended
2026-05-28,82.1,Full,Extended
2026-05-29,71.4,Constructive,Healthy
2026-06-01,78.6,Full,Extended
2026-06-02,78.6,Full,Extended
2026-06-03,57.1,Constructive,Mixed
2026-06-04,78.6,Full,Extended
2026-06-05,46.4,Neutral,Damaged
2026-06-08,46.4,Neutral,Damaged
2026-06-09,67.9,Constructive,Healthy
2026-06-10,46.4,Neutral,Damaged
2026-06-11,78.6,Full,Extended
2026-06-12,89.3,Full,Extended
2026-06-15,92.9,Full,Extended
2026-06-16,75.0,Constructive,Extended
2026-06-17,67.9,Constructive,Healthy
2026-06-18,89.3,Full,Extended
2026-06-22,71.4,Constructive,Healthy
2026-06-23,53.6,Neutral,Mixed
2026-06-24,60.7,Constructive,Mixed
2026-06-25,71.4,Constructive,Healthy
2026-06-26,85.7,Full,Extended
2026-06-29,85.7,Full,Extended
2026-06-30,71.4,Constructive,Healthy
2026-07-01,82.1,Full,Extended
2026-07-02,64.3,Constructive,Healthy
2026-07-06,85.7,Full,Extended
2026-07-07,42.9,Neutral,Damaged
2026-07-08,46.4,Neutral,Damaged
2026-07-09,71.4,Constructive,Healthy
2026-07-10,57.1,Constructive,Mixed
2026-07-13,35.7,Neutral,Damaged
2026-07-14,50.0,Neutral,Mixed
2026-07-15,60.7,Constructive,Mixed
2026-07-16,46.4,Neutral,Damaged
2026-07-17,42.9,Neutral,Damaged
2026-07-20,42.9,Neutral,Damaged
2026-07-21,57.1,Constructive,Mixed
2026-07-22,42.9,Neutral,Damaged
2026-07-23,35.7,Neutral,Damaged
2026-07-24,28.6,Caution,Damaged
