date_et,followers,following,tweets,fetched_utc,source
2026-09-12,275,534,895,2026-09-13T02:54:58+00:00,twitterapi.io /twitter/user/info
2026-09-13,275,534,898,2026-09-13T17:04:35+00:00,twitterapi.io /twitter/user/info
2026-09-14,275,534,901,2026-09-14T17:04:31+00:00,twitterapi.io /twitter/user/info
2026-09-15,275,535,901,2026-09-15T04:40:34+00:00,twitterapi.io /twitter/user/info
2026-09-16,276,536,904,2026-09-16T17:04:39+00:00,twitterapi.io /twitter/user/info
2026-09-17,277,536,907,2026-09-17T17:04:41+00:00,twitterapi.io /twitter/user/info
2026-09-18,283,536,908,2026-09-18T17:04:58+00:00,twitterapi.io /twitter/user/info
2026-09-19,285,536,909,2026-09-19T17:02:45+00:00,twitterapi.io /twitter/user/info
2026-09-20,285,536,909,2026-09-20T17:04:45+00:00,twitterapi.io /twitter/user/info
2026-09-21,285,536,909,2026-09-21T17:04:36+00:00,twitterapi.io /twitter/user/info
2026-09-22,287,536,910,2026-09-22T17:04:31+00:00,twitterapi.io /twitter/user/info
2026-09-23,286,536,912,2026-09-23T17:04:43+00:00,twitterapi.io /twitter/user/info
2026-09-24,286,536,912,2026-09-24T17:04:50+00:00,twitterapi.io /twitter/user/info
2026-09-25,286,536,912,2026-09-25T04:32:46+00:00,twitterapi.io /twitter/user/info
