date,source,universe_size,spx_close,up_4pct,down_4pct,ratio_5d,ratio_10d,up_25pct_qtr,down_25pct_qtr,up_25pct_month,down_25pct_month,up_50pct_month,down_50pct_month,up_13pct_34d,down_13pct_34d,t2108,pct_above_200sma,pct_above_50sma,pct_above_20sma,advances,declines,new_highs,new_lows,net_advances,rana,ad_line,mcclellan_osc
2024-05-15,backfill,2524,5308.14990234375,266,172,1.5465,1.5465,350,330,229,84,57,21,393.0,506.0,58.08,57.69,56.22,67.08,1469,954,241,45,515,212.55,515,0.0
2024-05-16,backfill,2524,5297.10009765625,200,175,1.3429,1.3429,327,344,240,82,66,15,367.0,548.0,57.77,58.04,55.98,66.05,1122,1292,151,44,-170,-70.42,345,-14.15
2024-05-17,backfill,2525,5303.27001953125,179,175,1.2356,1.2356,331,355,252,83,66,16,395.0,544.0,57.58,58.26,56.44,64.87,1208,1209,181,59,-1,-0.41,344,-22.67
2024-05-20,backfill,2525,5308.1298828125,204,185,1.2008,1.2008,365,337,277,85,70,15,440.0,490.0,58.34,58.34,56.24,63.56,1143,1269,185,65,-126,-52.24,218,-32.44
2024-05-21,backfill,2525,5321.41015625,134,213,1.0685,1.0685,363,327,247,98,68,19,402.0,519.0,57.19,57.58,55.33,61.19,1095,1320,172,71,-225,-93.17,-7,-42.68
2024-05-22,backfill,2526,5307.009765625,151,207,0.9089,1.0062,342,322,198,111,55,21,397.0,501.0,54.39,57.28,52.18,56.73,878,1540,87,72,-662,-273.78,-669,-60.25
2024-05-23,backfill,2527,5267.83984375,87,378,0.652,0.8113,315,341,178,113,54,18,326.0,553.0,47.13,54.14,45.83,41.75,464,1993,46,113,-1529,-622.3,-2198,-92.39
2024-05-24,backfill,2527,5304.72021484375,227,116,0.7307,0.8933,330,361,214,106,53,18,345.0,543.0,50.81,54.65,48.52,47.21,1605,811,111,85,794,328.64,-1404,-71.87
2024-05-28,backfill,2527,5306.0400390625,205,199,0.7224,0.9082,305,383,200,115,53,20,348.0,570.0,48.99,54.41,46.93,43.33,993,1435,95,87,-442,-182.04,-1846,-79.49
2024-05-29,backfill,2528,5266.9501953125,117,286,0.6636,0.8405,298,394,165,129,59,19,358.0,540.0,42.13,51.07,40.43,33.39,537,1899,52,121,-1362,-559.11,-3208,-104.47
2024-05-30,backfill,2528,5235.47998046875,202,174,0.7268,0.8093,310,394,195,122,65,18,384.0,547.0,46.64,52.97,44.7,37.82,1612,814,89,97,798,328.94,-2410,-80.9
2024-05-31,backfill,2528,5277.509765625,188,139,1.0274,0.8176,291,404,198,119,65,17,478.0,472.0,51.42,54.39,49.01,43.67,1590,832,124,71,758,312.96,-1652,-61.14
2024-06-03,backfill,2528,5283.39990234375,182,224,0.8748,0.8001,301,392,193,133,60,23,538.0,436.0,50.59,53.88,48.18,41.89,1071,1347,98,87,-276,-114.14,-1928,-65.3
2024-06-04,backfill,2528,5291.33984375,99,313,0.6937,0.7079,285,389,155,147,52,25,536.0,450.0,45.06,52.02,43.43,33.62,692,1731,58,105,-1039,-428.81,-2967,-84.26
2024-06-05,backfill,2528,5354.02978515625,270,140,0.9505,0.7941,292,376,159,152,58,21,603.0,411.0,48.81,52.85,46.4,38.53,1576,843,99,77,733,303.02,-2234,-63.46
2024-06-06,backfill,2531,5352.9599609375,144,218,0.854,0.7869,272,389,152,159,52,24,584.0,407.0,45.91,52.75,44.37,36.59,983,1437,61,75,-454,-187.6,-2688,-69.89
2024-06-07,backfill,2531,5346.990234375,84,334,0.6338,0.8017,237,418,127,157,43,22,532.0,437.0,40.93,50.93,39.59,30.07,637,1793,36,122,-1156,-475.72,-3844,-89.44
2024-06-10,backfill,2531,5360.7900390625,210,155,0.6957,0.7796,236,401,112,150,39,21,510.0,453.0,41.25,50.18,40.3,30.3,1220,1201,65,110,19,7.85,-3825,-81.53
2024-06-11,backfill,2531,5375.31982421875,158,153,0.866,0.7743,244,392,127,135,41,21,443.0,488.0,38.8,49.11,38.68,29.83,984,1421,54,93,-437,-181.7,-4262,-83.84
2024-06-12,backfill,2533,5421.02978515625,253,126,0.8611,0.9059,237,391,122,125,36,19,484.0,449.0,44.41,51.8,44.14,37.39,1555,868,96,87,687,283.53,-3575,-62.13
2024-06-13,backfill,2533,5433.740234375,129,233,0.8332,0.8437,262,371,101,153,36,21,484.0,467.0,39.16,49.82,39.76,32.25,736,1692,55,115,-956,-393.74,-4531,-77.13
2024-06-14,backfill,2533,5431.60009765625,89,323,0.8475,0.7292,225,402,79,168,33,24,400.0,538.0,33.0,48.05,35.53,26.81,570,1881,27,159,-1311,-534.88,-5842,-96.62
2024-06-17,backfill,2533,5473.22998046875,162,258,0.7237,0.7093,226,394,71,189,28,27,376.0,558.0,34.82,48.76,37.82,29.85,1388,1059,68,141,329,134.45,-5513,-79.33
2024-06-18,backfill,2533,5487.02978515625,119,302,0.6055,0.7217,225,422,69,198,30,29,399.0,540.0,33.56,48.09,36.36,30.95,1052,1385,82,185,-333,-136.64,-5846,-77.71
2024-06-20,backfill,2533,5473.169921875,190,255,0.5026,0.6525,192,452,73,212,26,27,384.0,559.0,33.16,47.1,37.66,32.61,1155,1267,42,131,-112,-46.24,-5958,-71.42
2024-06-21,backfill,2534,5464.6201171875,211,188,0.5814,0.6897,190,463,83,204,29,35,352.0,566.0,34.1,47.67,38.08,34.41,1241,1204,51,127,37,15.13,-5921,-62.61
2024-06-24,backfill,2534,5447.8701171875,233,196,0.7631,0.8013,200,436,85,192,28,31,322.0,573.0,36.98,48.82,42.11,41.28,1474,958,87,98,516,212.17,-5405,-44.92
2024-06-25,backfill,2534,5469.2998046875,141,256,0.7469,0.7358,199,458,93,184,33,28,289.0,634.0,33.39,47.32,37.73,35.36,757,1669,63,145,-912,-375.93,-6317,-58.97
2024-06-26,backfill,2534,5477.89990234375,180,171,0.8959,0.7396,199,435,81,185,30,27,297.0,627.0,33.46,47.32,36.94,35.52,1164,1244,49,106,-80,-33.22,-6397,-53.55
2024-06-27,backfill,2534,5482.8701171875,264,122,1.1029,0.7457,196,458,79,176,30,29,304.0,569.0,36.23,49.01,40.13,41.79,1521,920,63,76,601,246.21,-5796,-34.68
2024-06-28,backfill,2536,5460.47998046875,215,204,1.0885,0.793,198,477,90,175,29,31,279.0,604.0,39.59,50.43,42.23,45.11,1427,1009,89,88,418,171.59,-5378,-22.1
2024-07-01,backfill,2536,5475.08984375,152,282,0.9198,0.8357,196,474,82,179,30,29,292.0,601.0,35.65,48.58,38.21,39.98,797,1637,60,121,-840,-345.11,-6218,-37.07
2024-07-02,backfill,2538,5509.009765625,130,241,0.9225,0.8277,199,462,76,199,29,32,279.0,625.0,37.75,48.82,39.68,42.47,1329,1122,84,125,207,84.46,-6011,-28.21
2024-07-03,backfill,2538,5537.02001953125,219,96,1.037,0.9622,200,451,81,188,28,35,265.0,642.0,39.48,48.9,41.41,45.98,1353,1032,71,75,321,134.59,-5690,-17.98
2024-07-05,backfill,2538,5567.18994140625,182,198,0.8795,0.9862,211,444,90,174,34,31,245.0,660.0,36.45,48.19,38.61,43.18,973,1456,85,103,-483,-198.85,-6173,-25.82
2024-07-08,backfill,2538,5572.85009765625,228,132,0.96,1.0242,205,447,79,168,32,29,240.0,626.0,39.4,48.58,40.39,48.35,1441,973,87,71,468,193.87,-5705,-12.76
2024-07-09,backfill,2539,5576.97998046875,155,181,1.0778,0.991,199,469,77,162,32,28,232.0,660.0,38.44,48.01,39.31,45.81,1016,1423,75,104,-407,-166.87,-6112,-19.57
