date,recipe,ticker,rs_line_pctl_21,rs_line_pctl_63,rs_line_pctl_126,perf_1w_pctile,perf_3m_pctile,change_pct,sector
2026-08-19,rs63_97,AGYS,95,98.4,99.2,0.697,0.964,0.0424,Technology
2026-08-19,rs63_97,APPF,100,100.0,97.6,0.869,0.911,0.0553,Technology
2026-08-19,rs63_97,APPN,100,100.0,100.0,0.703,0.968,0.0302,Technology
2026-08-19,rs63_97,ARES,95,98.4,96.8,0.233,0.742,0.0199,Financial
2026-08-19,rs63_97,ARX,95,98.4,99.2,0.607,0.837,-0.0005,Financial
2026-08-19,rs63_97,ASAN,95,98.4,99.2,0.31,0.92,0.0448,Technology
2026-08-19,rs63_97,AXON,100,98.4,96.8,0.855,0.953,0.0417,Industrials
2026-08-19,rs63_97,BETA,95,98.4,99.2,0.647,0.97,-0.0135,Industrials
2026-08-19,rs63_97,BRZE,100,100.0,100.0,0.766,0.908,0.0525,Technology
2026-08-19,rs63_97,BULL,100,100.0,100.0,0.925,0.813,0.0895,Technology
2026-08-19,rs63_97,BWIN,95,98.4,99.2,0.675,0.928,0.0315,Financial
2026-08-19,rs63_97,CART,100,100.0,100.0,0.688,0.843,0.0356,Consumer Cyclical
2026-08-19,rs63_97,CCC,100,100.0,100.0,0.84,0.95,0.042,Technology
2026-08-19,rs63_97,CGAU,100,100.0,98.4,0.896,0.875,0.062,Basic Materials
2026-08-19,rs63_97,CHYM,100,100.0,100.0,0.773,0.974,0.0364,Technology
2026-08-19,rs63_97,CLMT,95,98.4,99.2,0.664,0.942,-0.0319,Basic Materials
2026-08-19,rs63_97,COTY,100,100.0,100.0,0.941,0.932,0.1058,Consumer Defensive
2026-08-19,rs63_97,CWK,100,100.0,89.7,0.902,0.775,0.0855,Real Estate
2026-08-19,rs63_97,DASH,100,100.0,100.0,0.728,0.913,0.0179,Consumer Cyclical
2026-08-19,rs63_97,DOCU,95,98.4,99.2,0.305,0.857,0.035,Technology
2026-08-19,rs63_97,ECO,100,100.0,100.0,0.638,0.859,0.0356,Industrials
