date,avg_volume,change_pct,close,excess_1m,excess_3m,group,group_pctile,industry,market_cap,perf_1d,perf_1m,perf_1w,perf_1y,perf_3m,perf_6m,persistence,persistence_of,primary_group,primary_kind,rs_0_1w,rs_1m_3m,rs_1w_1m,rs_3m_6m,rs_accel,rs_accel_rate,sector,state,top_quartile,volume
2026-08-14,1.0,1.0,1.0,0.0,0.008222,0.0,0.008222,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008222,0.0,0.019969,0.008222,0.008222,1.0,0.008222,0.008222,1.0
2026-08-17,1.0,1.0,1.0,0.000392,0.008634,0.0,0.008634,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008634,0.000392,1.0,0.008634,0.008634,1.0,0.008634,0.008634,1.0
2026-08-18,1.0,1.0,1.0,0.0,0.008285,0.0,0.008285,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008285,0.0,0.019884,0.008285,0.008285,1.0,0.008285,0.008285,1.0
2026-08-19,1.0,1.0,1.0,0.0,0.008229,0.0,0.008229,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008229,0.0,0.019592,0.008229,0.008229,1.0,0.008229,0.008229,1.0
2026-08-20,1.0,1.0,1.0,0.000393,0.009044,0.0,0.009044,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009044,0.000393,0.020448,0.009044,0.009044,1.0,0.009044,0.009044,1.0
2026-08-21,1.0,1.0,1.0,0.000396,0.009113,0.0,0.009113,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009113,0.000396,0.021791,0.009113,0.009113,1.0,0.009113,0.009113,1.0
2026-08-24,1.0,1.0,1.0,0.000392,0.009789,0.0,0.009789,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009789,0.000392,0.022709,0.009789,0.009789,1.0,0.009789,0.009789,1.0
2026-08-25,1.0,1.0,1.0,0.0,0.009816,0.0,0.009816,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009816,0.0,0.022904,0.009816,0.009816,1.0,0.009816,0.009816,1.0
2026-08-26,1.0,1.0,1.0,0.000806,0.010081,0.0,0.010081,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010081,0.000806,0.023387,0.010081,0.010081,1.0,0.010081,0.010081,1.0
2026-08-27,1.0,1.0,1.0,0.000406,0.009736,0.0,0.009736,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009736,0.000406,0.023124,0.009736,0.009736,1.0,0.009736,0.009736,1.0
2026-08-28,1.0,1.0,1.0,0.0,0.010172,0.0,0.010172,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010172,0.0,0.0223,0.010172,0.010172,1.0,0.010172,0.010172,1.0
