pulled_at,ticker,added_date,status,note,seat,readings_json
2026-09-04,ABSI,2026-08-25T15:00:00.000Z,starred,,new_leader,"{""close"": 9.22, ""change_pct"": -0.0426, ""rel_volume"": 1.0211640816871836, ""rs_1m"": 93, ""rs_3m"": 95, ""h_score"": 76, ""rs_line_pctl_21"": 66.66666666666666, ""rs_line_pctl_63"": 65.07936507936508, ""atr_from_sma50"": 0.0951, ""high_52w_dist"": -0.2352, ""vcs"": 69.1, ""trend_base"": true, ""sector"": ""Healthcare"", ""sp_signal"": ""stop_hit""}"
2026-09-04,ABSI,2026-08-27T15:00:00.000Z,vetoed,,manual,"{""close"": 8.71, ""change_pct"": -0.0754, ""rel_volume"": 0.9589478779437396, ""rs_1m"": 80, ""rs_3m"": 91, ""h_score"": 83, ""rs_line_pctl_21"": 28.57142857142857, ""rs_line_pctl_63"": 52.38095238095239, ""atr_from_sma50"": -0.6822, ""high_52w_dist"": -0.2775, ""vcs"": 70, ""trend_base"": false, ""sector"": ""Healthcare"", ""sp_signal"": null}"
2026-09-04,ABSI,2026-08-31T15:00:00.000Z,starred,,manual,"{""close"": 8.84, ""change_pct"": -0.022099999999999998, ""rel_volume"": 1.1434835739453115, ""rs_1m"": 73, ""rs_3m"": 94, ""h_score"": 84, ""rs_line_pctl_21"": 38.095238095238095, ""rs_line_pctl_63"": 55.55555555555556, ""atr_from_sma50"": -0.607, ""high_52w_dist"": -0.2667, ""vcs"": 70.7, ""trend_base"": false, ""sector"": ""Healthcare"", ""sp_signal"": null}"
2026-09-04,ABSI,2026-09-02T15:00:00.000Z,vetoed,,manual,"{""close"": 8.8, ""change_pct"": 0, ""rel_volume"": 0.9408487954613972, ""rs_1m"": 74, ""rs_3m"": 90, ""h_score"": 83, ""rs_line_pctl_21"": 14.285714285714285, ""rs_line_pctl_63"": 47.61904761904761, ""atr_from_sma50"": -0.6672, ""high_52w_dist"": -0.27, ""vcs"": 69.2, ""trend_base"": false, ""sector"": ""Healthcare"", ""sp_signal"": null}"
2026-09-04,ANDG,2026-08-19T15:00:00.000Z,starred,,entry,"{""close"": 50.32, ""change_pct"": 0.1177, ""rel_volume"": 5.85379829294857, ""rs_1m"": 85, ""rs_3m"": 87, ""h_score"": 84, ""rs_line_pctl_21"": 100, ""rs_line_pctl_63"": 100, ""atr_from_sma50"": 2.904, ""high_52w_dist"": -0.0087, ""vcs"": 45.5, ""trend_base"": true, ""sector"": ""Consumer Cyclical"", ""sp_signal"": ""2nd_break""}"
2026-09-04,ANDG,2026-08-31T15:00:00.000Z,vetoed,,manual,"{""close"": 55.72, ""change_pct"": -0.0004, ""rel_volume"": 0.6819533634497837, ""rs_1m"": 91, ""rs_3m"": 95, ""h_score"": 93, ""rs_line_pctl_21"": 95.23809523809523, ""rs_line_pctl_63"": 98.4126984126984, ""atr_from_sma50"": 5.2213, ""high_52w_dist"": -0.0254, ""vcs"": 24.3, ""trend_base"": true, ""sector"": ""Consumer Cyclical"", ""sp_signal"": null}"
2026-09-04,ANDG,2026-09-02T15:00:00.000Z,vetoed,,manual,"{""close"": 57.45, ""change_pct"": 0.023700000000000002, ""rel_volume"": 0.2959055730900601, ""rs_1m"": 91, ""rs_3m"": 94, ""h_score"": 90, ""rs_line_pctl_21"": 100, ""rs_line_pctl_63"": 100, ""atr_from_sma50"": 6.0749, ""high_52w_dist"": -0.003, ""vcs"": 24.1, ""trend_base"": true, ""sector"": ""Consumer Cyclical"", ""sp_signal"": ""tp2_hit""}"
2026-09-04,APPS,2026-08-19T15:00:00.000Z,vetoed,,burning,"{""close"": 10.71, ""change_pct"": -0.0463, ""rel_volume"": 0.4455068016473715, ""rs_1m"": 94, ""rs_3m"": 99, ""h_score"": 90, ""rs_line_pctl_21"": 47.61904761904761, ""rs_line_pctl_63"": 68.25396825396825, ""atr_from_sma50"": 0.2196, ""high_52w_dist"": -0.3018, ""vcs"": 22.5, ""trend_base"": true, ""sector"": ""Technology"", ""sp_signal"": null}"
2026-09-04,APPS,2026-08-30T15:00:00.000Z,vetoed,,new_leader,"{""close"": 10.76, ""change_pct"": -0.0298, ""rel_volume"": 0.9395865515153756, ""rs_1m"": 91, ""rs_3m"": 85, ""h_score"": 86, ""rs_line_pctl_21"": 14.285714285714285, ""rs_line_pctl_63"": 57.14285714285714, ""atr_from_sma50"": 0.0926, ""high_52w_dist"": -0.2986, ""vcs"": 49.4, ""trend_base"": true, ""sector"": ""Technology"", ""sp_signal"": null}"
2026-09-04,BFLY,2026-08-19T15:00:00.000Z,starred,,v_reversal,"{""close"": 9.17, ""change_pct"": 0, ""rel_volume"": 0.6425109487064452, ""rs_1m"": 96, ""rs_3m"": 98, ""h_score"": 90, ""rs_line_pctl_21"": 85.71428571428571, ""rs_line_pctl_63"": 93.65079365079364, ""atr_from_sma50"": 2.2172, ""high_52w_dist"": -0.0876, ""vcs"": 49.9, ""trend_base"": true, ""sector"": ""Healthcare"", ""sp_signal"": null}"
