date,rung,measurable,Leading,Weakening,Improving,Lagging,lagging_share,lagging_share_d5
2026-08-28,2w,56,9,14,2,31,0.5536,0.1964
2026-08-28,4w,56,18,15,5,18,0.3214,0.1071
2026-08-28,6w,56,23,10,3,20,0.3571,0.125
2026-08-28,8w,56,20,3,13,20,0.3571,0.0714
2026-08-28,10w,56,25,4,7,20,0.3571,0.1429
2026-08-31,2w,56,10,15,3,28,0.5,0.1607
2026-08-31,4w,56,20,9,5,22,0.3929,0.125
2026-08-31,6w,56,24,8,5,19,0.3393,0.0179
2026-08-31,8w,56,21,5,8,22,0.3929,0.0179
2026-08-31,10w,56,22,6,7,21,0.375,0.1429
2026-09-01,2w,55,10,14,1,30,0.5455,0.2
2026-09-01,4w,55,20,4,4,27,0.4909,0.2545
2026-09-01,6w,55,20,8,3,24,0.4364,0.0727
2026-09-01,8w,55,20,4,4,27,0.4909,0.2182
2026-09-01,10w,55,18,9,7,21,0.3818,0.0364
2026-09-02,2w,56,13,10,0,33,0.5893,0.2321
2026-09-02,4w,56,21,7,2,26,0.4643,0.3036
2026-09-02,6w,56,23,6,2,25,0.4464,0.1607
2026-09-02,8w,56,26,4,2,24,0.4286,0.2321
2026-09-02,10w,56,21,8,13,14,0.25,-0.0357
2026-09-03,2w,56,11,10,1,34,0.6071,0.2321
2026-09-03,4w,56,19,10,2,25,0.4464,0.1429
2026-09-03,6w,56,21,8,2,25,0.4464,0.1607
2026-09-03,8w,56,27,2,2,25,0.4464,0.1071
2026-09-03,10w,56,23,4,3,26,0.4643,0.1071
