date,panel,zone,ticker,close,chg_pct,rel_volume,atr_from_sma50,ema21_atr_dist,rs_line_pctl_21,rs_1m,rs_3m,h_score,perf_3m_pctile,vcs,sp_signal,group,group_state
2026-08-18,true_market_leaders,leaders,ABT,112.97,0.3,1.1,5.44,2.38,95,81,82,69.0,0.852,49,,Medical Devices,Leading
2026-08-18,true_market_leaders,leaders,AMPL,12.49,-0.8,1.1,5.54,2.35,86,96,98,87.0,0.981,6,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,ASAN,9.1,-0.7,0.67,2.34,0.82,81,93,88,75.0,0.899,31,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,AVTR,13.28,-0.4,0.54,4.12,0.73,48,93,97,74.0,0.968,53,,Medical Instruments & Supplies,Leading
2026-08-18,true_market_leaders,leaders,BAX,25.86,-0.3,0.84,2.69,0.1,38,87,90,71.0,0.914,46,,Medical Devices,Leading
2026-08-18,true_market_leaders,leaders,BFLY,8.98,-0.2,0.68,2.12,0.87,86,96,98,89.0,0.987,41,,Medical Devices,Leading
2026-08-18,true_market_leaders,leaders,BLZE,19.0,-1.0,0.71,3.04,1.11,81,98,99,86.0,0.991,29,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,CCC,7.21,1.0,2.84,4.06,2.0,100,82,94,84.0,0.949,32,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,CNK,36.7,0.0,0.54,2.71,0.65,38,86,89,71.0,0.907,53,,Entertainment,Leading
2026-08-18,true_market_leaders,leaders,CRSR,11.41,-4.4,0.69,2.01,-0.3,67,91,97,84.0,0.97,15,,Computer Hardware,Leading
2026-08-18,true_market_leaders,leaders,DELL,467.01,-0.3,0.93,1.37,0.54,81,86,98,91.0,0.981,32,,Computer Hardware,Leading
2026-08-18,true_market_leaders,leaders,DXCM,87.65,-2.2,0.62,4.43,1.34,90,90,86,74.0,0.882,18,,Medical Devices,Leading
2026-08-18,true_market_leaders,leaders,FIVN,32.01,-1.4,0.33,3.64,1.14,76,95,91,85.0,0.92,25,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,FRSH,12.59,-1.1,0.88,3.65,1.61,100,84,90,81.0,0.911,39,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,GTLB,41.05,-1.1,1.06,3.93,1.55,86,94,95,84.0,0.955,15,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,HPQ,29.84,-0.4,0.66,3.34,1.23,95,91,91,79.0,0.922,33,,Computer Hardware,Leading
2026-08-18,true_market_leaders,leaders,NCNO,20.24,0.2,1.11,3.58,1.52,90,80,86,80.0,0.882,39,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,NTNX,65.04,-1.2,0.74,4.84,1.73,90,90,89,82.0,0.902,32,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,PLTR,170.65,-0.5,0.6,4.48,1.93,81,95,81,82.0,0.842,2,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,RNG,64.65,-0.8,0.56,5.95,2.26,95,99,95,86.0,0.953,33,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,RTX,225.41,-0.0,1.12,5.35,2.05,86,87,84,60.0,0.863,55,1st_break,Defense,Leading
2026-08-18,true_market_leaders,leaders,SHOP,145.02,-1.1,0.57,3.17,0.8,62,89,91,81.0,0.923,4,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,SNOW,323.6,-0.5,0.81,3.86,1.07,71,90,98,89.0,0.979,44,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,TEAM,161.78,-0.8,0.88,6.99,3.61,95,99,98,89.0,0.976,0,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,TNDM,23.73,0.0,1.17,4.69,2.56,100,96,97,74.0,0.968,15,tp1_hit,Medical Devices,Leading
2026-08-18,true_market_leaders,leaders,TOST,34.68,-0.8,0.9,3.99,1.13,95,84,93,81.0,0.936,47,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,UMAC,30.58,0.0,1.44,2.62,1.66,95,98,99,95.0,0.987,16,,Drones,Leading
2026-08-18,true_market_leaders,leaders,WDAY,188.5,-1.1,0.71,3.72,1.39,90,97,92,84.0,0.927,20,,Cloud Software,Leading
2026-08-18,true_market_leaders,leaders,ZETA,27.91,-1.1,0.52,3.96,1.51,76,96,94,88.0,0.943,7,,Cloud Software,Leading
2026-08-18,liquid_leaders,leaders,ABCL,11.22,0.9,0.85,5.28,3.5,90,99,99,77.0,0.993,0,,Biotechnology,Weakening
2026-08-18,liquid_leaders,leaders,ABNB,183.35,0.1,0.85,5.45,2.81,90,94,89,79.0,0.905,0,,Travel & Leisure,Weakening
2026-08-18,liquid_leaders,leaders,ABSI,8.81,-0.5,0.98,0.03,0.01,67,65,98,74.0,0.978,55,,Genomics,Weakening
2026-08-18,liquid_leaders,leaders,ABT,112.97,0.3,1.1,5.44,2.38,95,81,82,69.0,0.852,49,,Medical Devices,Leading
2026-08-18,liquid_leaders,leaders,ACVA,7.63,0.0,1.12,1.03,-0.04,24,53,81,60.0,0.842,41,,Auto & Truck Dealerships,Weakening
2026-08-18,liquid_leaders,leaders,ADPT,24.56,0.0,0.72,2.56,0.72,76,80,98,89.0,0.979,51,,Genomics,Weakening
2026-08-18,liquid_leaders,leaders,AEHR,125.0,1.4,1.25,2.02,1.23,86,93,93,74.0,0.939,0,,Semiconductors Broad,Lagging
2026-08-18,liquid_leaders,leaders,AMC,2.37,-0.4,0.46,0.53,-0.5,24,70,97,73.0,0.967,59,,Entertainment,Leading
2026-08-18,liquid_leaders,leaders,AMCR,45.86,0.0,0.95,1.82,0.11,33,62,81,70.0,0.845,48,,Packaging & Containers,Weakening
2026-08-18,liquid_leaders,leaders,AMGN,425.08,-0.1,0.95,5.0,2.41,100,86,83,63.0,0.856,26,,Drug Manufacturers - General,Weakening
2026-08-18,liquid_leaders,leaders,AMLX,35.28,0.5,7.51,7.44,5.88,100,99,99,80.0,0.992,18,tp2_hit,Drug Manufacturers - Specialty & Generic,Weakening
2026-08-18,liquid_leaders,leaders,AMPL,12.49,-0.8,1.1,5.54,2.35,86,96,98,87.0,0.981,6,,Cloud Software,Leading
2026-08-18,liquid_leaders,leaders,ANET,193.99,0.4,1.13,1.77,0.5,71,76,88,83.0,0.894,21,,Optics & Networking Equipment,Improving
2026-08-18,liquid_leaders,leaders,APPS,12.12,0.0,0.59,1.55,0.65,57,96,99,90.0,0.993,10,,Software,Weakening
2026-08-18,liquid_leaders,leaders,ASAN,9.1,-0.7,0.67,2.34,0.82,81,93,88,75.0,0.899,31,,Cloud Software,Leading
2026-08-18,liquid_leaders,leaders,ATAI,7.26,-0.5,1.19,10.85,2.06,57,48,97,90.0,0.974,95,,Biotechnology,Weakening
2026-08-18,liquid_leaders,leaders,AVAH,12.56,-0.9,1.8,6.09,3.9,100,95,95,71.0,0.956,10,,Medical Care Facilities,Weakening
2026-08-18,liquid_leaders,leaders,AVPT,13.25,-0.5,0.48,2.37,0.53,52,42,85,74.0,0.87,51,1st_break,Cloud Software,Leading
2026-08-18,liquid_leaders,leaders,AVTR,13.28,-0.4,0.54,4.12,0.73,48,93,97,74.0,0.968,53,,Medical Instruments & Supplies,Leading
2026-08-18,liquid_leaders,leaders,BAC,64.3,0.1,1.0,4.0,1.42,76,60,82,70.0,0.847,54,,Banks - Diversified,Weakening
2026-08-18,liquid_leaders,leaders,BAX,25.86,-0.3,0.84,2.69,0.1,38,87,90,71.0,0.914,46,,Medical Devices,Leading
2026-08-18,liquid_leaders,leaders,BBIO,77.24,-6.9,1.28,1.77,-1.51,43,51,81,79.0,0.844,56,,Biotechnology,Weakening
2026-08-18,liquid_leaders,leaders,BBY,87.63,0.4,1.33,2.23,1.18,57,49,93,64.0,0.933,50,1st_break,Consumer Retail,Weakening
