date,close
2001-06-05,111.0
2001-06-06,93.0
2001-06-07,82.0
2001-06-08,58.0
2001-06-11,63.0
2001-06-12,67.0
2001-06-13,87.0
2001-06-14,40.0
2001-06-15,51.0
2001-06-18,52.0
2001-06-19,44.0
2001-06-20,69.0
2001-06-21,91.0
2001-06-22,64.0
2001-06-25,48.0
2001-06-26,56.0
2001-06-27,74.0
2001-06-28,91.0
2001-06-29,134.0
2001-07-02,79.0
2001-07-03,67.0
2001-07-05,54.0
2001-07-06,31.0
2001-07-09,34.0
2001-07-10,45.0
2001-07-11,39.0
2001-07-12,62.0
2001-07-13,84.0
2001-07-16,77.0
2001-07-17,78.0
2001-07-18,82.0
2001-07-19,95.0
2001-07-20,64.0
2001-07-23,68.0
2001-07-24,32.0
2001-07-25,40.0
2001-07-26,47.0
2001-07-27,52.0
2001-07-30,61.0
2001-07-31,75.0
2001-08-01,68.0
2001-08-02,65.0
2001-08-03,51.0
2001-08-06,51.0
2001-08-07,51.0
2001-08-08,52.0
2001-08-09,44.0
2001-08-10,76.0
2001-08-13,81.0
2001-08-14,68.0
2001-08-15,74.0
2001-08-16,78.0
2001-08-17,77.0
2001-08-20,75.0
2001-08-21,98.0
2001-08-22,68.0
2001-08-23,86.0
2001-08-24,69.0
2001-08-27,67.0
2001-08-28,39.0
2001-08-29,41.0
2001-08-30,41.0
2001-08-31,37.0
2001-09-04,67.0
2001-09-05,38.0
2001-09-06,35.0
2001-09-07,28.0
2001-09-10,20.0
2001-09-17,30.0
2001-09-18,20.0
2001-09-19,21.0
2001-09-20,17.0
2001-09-21,11.0
2001-09-24,13.0
2001-09-25,21.0
2001-09-26,8.0
2001-09-27,25.0
2001-09-28,34.0
2001-10-01,28.0
2001-10-02,43.0
2001-10-03,46.0
2001-10-04,46.0
2001-10-05,21.0
2001-10-08,32.0
2001-10-09,27.0
2001-10-10,40.0
2001-10-11,50.0
2001-10-12,29.0
2001-10-15,43.0
2001-10-16,39.0
2001-10-17,35.0
2001-10-18,15.0
2001-10-19,24.0
2001-10-22,32.0
2001-10-23,34.0
2001-10-24,25.0
2001-10-25,30.0
2001-10-26,26.0
2001-10-29,23.0
2001-10-30,21.0
2001-10-31,21.0
2001-11-01,42.0
2001-11-02,38.0
2001-11-05,54.0
2001-11-06,52.0
2001-11-07,42.0
2001-11-08,44.0
2001-11-09,35.0
2001-11-12,34.0
2001-11-13,52.0
2001-11-14,59.0
2001-11-15,51.0
2001-11-16,52.0
2001-11-19,51.0
2001-11-20,42.0
2001-11-21,31.0
2001-11-23,56.0
2001-11-26,57.0
2001-11-27,44.0
2001-11-28,33.0
2001-11-29,45.0
2001-11-30,56.0
2001-12-03,47.0
2001-12-04,60.0
2001-12-05,112.0
2001-12-06,99.0
