date,close
2001-06-05,42.0
2001-06-06,38.0
2001-06-07,31.0
2001-06-08,36.0
2001-06-11,30.0
2001-06-12,31.0
2001-06-13,39.0
2001-06-14,45.0
2001-06-15,47.0
2001-06-18,46.0
2001-06-19,41.0
2001-06-20,54.0
2001-06-21,45.0
2001-06-22,37.0
2001-06-25,44.0
2001-06-26,40.0
2001-06-27,48.0
2001-06-28,34.0
2001-06-29,33.0
2001-07-02,35.0
2001-07-03,46.0
2001-07-05,42.0
2001-07-06,47.0
2001-07-09,27.0
2001-07-10,46.0
2001-07-11,50.0
2001-07-12,32.0
2001-07-13,29.0
2001-07-16,40.0
2001-07-17,29.0
2001-07-18,38.0
2001-07-19,45.0
2001-07-20,48.0
2001-07-23,43.0
2001-07-24,48.0
2001-07-25,54.0
2001-07-26,46.0
2001-07-27,40.0
2001-07-30,33.0
2001-07-31,32.0
2001-08-01,36.0
2001-08-02,39.0
2001-08-03,30.0
2001-08-06,37.0
2001-08-07,40.0
2001-08-08,45.0
2001-08-09,48.0
2001-08-10,40.0
2001-08-13,41.0
2001-08-14,35.0
2001-08-15,43.0
2001-08-16,61.0
2001-08-17,57.0
2001-08-20,47.0
2001-08-21,49.0
2001-08-22,55.0
2001-08-23,46.0
2001-08-24,37.0
2001-08-27,38.0
2001-08-28,43.0
2001-08-29,52.0
2001-08-30,66.0
2001-08-31,54.0
2001-09-04,61.0
2001-09-05,77.0
2001-09-06,91.0
2001-09-07,93.0
2001-09-10,91.0
2001-09-17,165.0
2001-09-18,126.0
2001-09-19,198.0
2001-09-20,131.0
2001-09-21,219.0
2001-09-24,68.0
2001-09-25,59.0
2001-09-26,72.0
2001-09-27,128.0
2001-09-28,61.0
2001-10-01,68.0
2001-10-02,84.0
2001-10-03,68.0
2001-10-04,41.0
2001-10-05,48.0
2001-10-08,45.0
2001-10-09,57.0
2001-10-10,46.0
2001-10-11,36.0
2001-10-12,35.0
2001-10-15,34.0
2001-10-16,31.0
2001-10-17,32.0
2001-10-18,42.0
2001-10-19,52.0
2001-10-22,46.0
2001-10-23,38.0
2001-10-24,49.0
2001-10-25,43.0
2001-10-26,29.0
2001-10-29,29.0
2001-10-30,33.0
2001-10-31,33.0
2001-11-01,34.0
2001-11-02,37.0
2001-11-05,37.0
2001-11-06,42.0
2001-11-07,39.0
2001-11-08,35.0
2001-11-09,36.0
2001-11-12,38.0
2001-11-13,32.0
2001-11-14,35.0
2001-11-15,30.0
2001-11-16,31.0
2001-11-19,26.0
2001-11-20,39.0
2001-11-21,36.0
2001-11-23,56.0
2001-11-26,20.0
2001-11-27,25.0
2001-11-28,35.0
2001-11-29,38.0
2001-11-30,35.0
2001-12-03,33.0
2001-12-04,39.0
2001-12-05,26.0
2001-12-06,29.0
2001-12-07,35.0
2001-12-10,29.0
2001-12-11,37.0
2001-12-12,34.0
2001-12-13,41.0
2001-12-14,32.0
2001-12-17,35.0
2001-12-18,32.0
2001-12-19,29.0
2001-12-20,26.0
2001-12-21,31.0
2001-12-24,39.0
2001-12-26,35.0
2001-12-27,37.0
2001-12-28,34.0
2001-12-31,27.0
2002-01-02,28.0
2002-01-03,26.0
2002-01-04,22.0
2002-01-07,30.0
2002-01-08,34.0
2002-01-09,31.0
2002-01-10,22.0
2002-01-11,32.0
2002-01-14,29.0
2002-01-15,22.0
2002-01-16,39.0
2002-01-17,44.0
2002-01-18,28.0
2002-01-22,34.0
2002-01-23,33.0
2002-01-24,37.0
2002-01-25,31.0
2002-01-28,39.0
2002-01-29,32.0
2002-01-30,37.0
2002-01-31,33.0
2002-02-01,41.0
2002-02-04,39.0
2002-02-05,54.0
2002-02-06,47.0
2002-02-07,45.0
2002-02-08,38.0
2002-02-11,34.0
2002-02-12,40.0
2002-02-13,39.0
2002-02-14,39.0
2002-02-15,42.0
2002-02-19,59.0
2002-02-20,59.0
2002-02-21,54.0
2002-02-22,66.0
2002-02-25,39.0
2002-02-26,36.0
2002-02-27,41.0
2002-02-28,50.0
2002-03-01,38.0
2002-03-04,33.0
2002-03-05,31.0
2002-03-06,38.0
2002-03-07,39.0
2002-03-08,40.0
2002-03-11,31.0
2002-03-12,30.0
2002-03-13,40.0
2002-03-14,30.0
2002-03-15,41.0
2002-03-18,32.0
2002-03-19,38.0
2002-03-20,32.0
2002-03-21,31.0
2002-03-22,40.0
2002-03-25,33.0
2002-03-26,36.0
2002-03-27,39.0
2002-03-28,32.0
2002-04-01,32.0
2002-04-02,39.0
2002-04-03,48.0
2002-04-04,44.0
2002-04-05,48.0
2002-04-08,41.0
2002-04-09,36.0
2002-04-10,31.0
2002-04-11,38.0
2002-04-12,35.0
2002-04-15,34.0
2002-04-16,25.0
2002-04-17,35.0
2002-04-18,32.0
2002-04-19,26.0
2002-04-22,36.0
2002-04-23,43.0
2002-04-24,48.0
2002-04-25,62.0
2002-04-26,62.0
2002-04-29,69.0
2002-04-30,49.0
2002-05-01,49.0
2002-05-02,46.0
2002-05-03,56.0
2002-05-06,61.0
2002-05-07,74.0
2002-05-08,43.0
2002-05-09,48.0
2002-05-10,55.0
2002-05-13,53.0
2002-05-14,37.0
2002-05-15,40.0
2002-05-16,43.0
2002-05-17,47.0
2002-05-20,40.0
2002-05-21,43.0
2002-05-22,58.0
2002-05-23,49.0
2002-05-24,38.0
2002-05-28,46.0
2002-05-29,51.0
2002-05-30,52.0
2002-05-31,46.0
2002-06-03,69.0
2002-06-04,90.0
2002-06-05,63.0
2002-06-06,77.0
2002-06-07,107.0
2002-06-10,62.0
2002-06-11,92.0
2002-06-12,105.0
2002-06-13,69.0
2002-06-14,105.0
2002-06-17,51.0
2002-06-18,54.0
2002-06-19,69.0
2002-06-20,87.0
2002-06-21,103.0
2002-06-24,96.0
2002-06-25,85.0
2002-06-26,140.0
2002-06-27,68.0
2002-06-28,59.0
2002-07-01,76.0
2002-07-02,122.0
2002-07-03,111.0
2002-07-05,70.0
2002-07-08,53.0
2002-07-09,60.0
2002-07-10,106.0
2002-07-11,110.0
2002-07-12,73.0
2002-07-15,86.0
2002-07-16,71.0
2002-07-17,72.0
2002-07-18,89.0
2002-07-19,117.0
2002-07-22,133.0
2002-07-23,164.0
2002-07-24,201.0
2002-07-25,102.0
2002-07-26,91.0
2002-07-29,64.0
2002-07-30,49.0
2002-07-31,62.0
2002-08-01,62.0
2002-08-02,103.0
2002-08-05,133.0
2002-08-06,62.0
2002-08-07,63.0
2002-08-08,61.0
2002-08-09,62.0
2002-08-12,62.0
2002-08-13,84.0
2002-08-14,90.0
2002-08-15,64.0
2002-08-16,70.0
2002-08-19,57.0
2002-08-20,54.0
2002-08-21,55.0
2002-08-22,47.0
2002-08-23,47.0
2002-08-26,42.0
2002-08-27,51.0
2002-08-28,64.0
2002-08-29,66.0
2002-08-30,60.0
2002-09-03,92.0
2002-09-04,88.0
2002-09-05,91.0
2002-09-06,57.0
2002-09-09,68.0
2002-09-10,43.0
2002-09-11,61.0
2002-09-12,67.0
2002-09-13,78.0
2002-09-16,76.0
2002-09-17,85.0
2002-09-18,112.0
2002-09-19,135.0
2002-09-20,124.0
2002-09-23,145.0
2002-09-24,159.0
2002-09-25,90.0
2002-09-26,83.0
2002-09-27,97.0
2002-09-30,128.0
2002-10-01,110.0
2002-10-02,84.0
2002-10-03,133.0
2002-10-04,156.0
2002-10-07,174.0
2002-10-08,173.0
2002-10-09,153.0
2002-10-10,151.0
2002-10-11,74.0
2002-10-14,77.0
2002-10-15,48.0
2002-10-16,50.0
2002-10-17,50.0
2002-10-18,55.0
2002-10-21,43.0
2002-10-22,52.0
2002-10-23,49.0
2002-10-24,55.0
2002-10-25,313.0
2002-10-28,49.0
2002-10-29,57.0
2002-10-30,54.0
2002-10-31,317.0
2002-11-01,54.0
2002-11-04,44.0
2002-11-05,41.0
2002-11-06,42.0
2002-11-07,38.0
2002-11-08,45.0
2002-11-11,71.0
2002-11-12,48.0
2002-11-13,52.0
2002-11-14,42.0
2002-11-15,44.0
2002-11-18,48.0
2002-11-19,53.0
2002-11-20,46.0
2002-11-21,44.0
2002-11-22,47.0
2002-11-25,41.0
2002-11-26,38.0
2002-11-27,50.0
2002-11-29,59.0
2002-12-02,34.0
2002-12-03,48.0
2002-12-04,50.0
2002-12-05,47.0
2002-12-06,49.0
2002-12-09,36.0
2002-12-10,52.0
2002-12-11,52.0
2002-12-12,54.0
2002-12-13,44.0
2002-12-16,41.0
2002-12-17,37.0
2002-12-18,50.0
2002-12-19,57.0
2002-12-20,48.0
2002-12-23,40.0
2002-12-24,59.0
2002-12-26,53.0
2002-12-27,43.0
2002-12-30,56.0
2002-12-31,38.0
2003-01-02,44.0
2003-01-03,45.0
2003-01-06,35.0
2003-01-07,36.0
2003-01-08,50.0
2003-01-09,28.0
2003-01-10,42.0
2003-01-13,34.0
2003-01-14,45.0
2003-01-15,41.0
2003-01-16,33.0
2003-01-17,42.0
2003-01-21,42.0
2003-01-22,50.0
2003-01-23,47.0
2003-01-24,49.0
2003-01-27,55.0
2003-01-28,54.0
2003-01-29,64.0
2003-01-30,56.0
2003-01-31,61.0
2003-02-03,50.0
2003-02-04,68.0
2003-02-05,63.0
2003-02-06,70.0
2003-02-07,78.0
2003-02-10,77.0
2003-02-11,72.0
2003-02-12,86.0
2003-02-13,91.0
2003-02-14,64.0
2003-02-18,68.0
2003-02-19,67.0
2003-02-20,63.0
2003-02-21,63.0
2003-02-24,55.0
2003-02-25,72.0
2003-02-26,56.0
2003-02-27,55.0
2003-02-28,40.0
2003-03-03,44.0
2003-03-04,55.0
2003-03-05,60.0
2003-03-06,69.0
2003-03-07,76.0
2003-03-10,69.0
2003-03-11,82.0
2003-03-12,75.0
2003-03-13,45.0
2003-03-14,42.0
2003-03-17,49.0
2003-03-18,42.0
2003-03-19,37.0
2003-03-20,39.0
2003-03-21,39.0
2003-03-24,42.0
2003-03-25,48.0
2003-03-26,49.0
2003-03-27,42.0
2003-03-28,43.0
2003-03-31,52.0
2003-04-01,50.0
2003-04-02,30.0
2003-04-03,36.0
2003-04-04,44.0
2003-04-07,33.0
2003-04-08,44.0
2003-04-09,42.0
2003-04-10,42.0
2003-04-11,54.0
2003-04-14,42.0
2003-04-15,34.0
2003-04-16,41.0
2003-04-17,42.0
2003-04-21,36.0
2003-04-22,35.0
2003-04-23,34.0
2003-04-24,41.0
2003-04-25,36.0
2003-04-28,34.0
2003-04-29,35.0
2003-04-30,27.0
2003-05-01,30.0
2003-05-02,30.0
2003-05-05,26.0
2003-05-06,30.0
2003-05-07,35.0
2003-05-08,37.0
2003-05-09,30.0
2003-05-12,26.0
2003-05-13,31.0
2003-05-14,29.0
2003-05-15,32.0
2003-05-16,34.0
2003-05-19,27.0
2003-05-20,34.0
2003-05-21,28.0
2003-05-22,38.0
2003-05-23,29.0
2003-05-27,30.0
2003-05-28,32.0
2003-05-29,29.0
2003-05-30,29.0
2003-06-02,26.0
2003-06-03,26.0
2003-06-04,29.0
2003-06-05,21.0
2003-06-06,31.0
2003-06-09,27.0
2003-06-10,37.0
2003-06-11,33.0
2003-06-12,38.0
2003-06-13,29.0
2003-06-16,41.0
2003-06-17,24.0
2003-06-18,33.0
2003-06-19,28.0
2003-06-20,28.0
2003-06-23,28.0
2003-06-24,33.0
2003-06-25,28.0
2003-06-26,34.0
2003-06-27,27.0
2003-06-30,26.0
2003-07-01,33.0
2003-07-02,27.0
2003-07-03,45.0
2003-07-07,33.0
2003-07-08,30.0
2003-07-09,25.0
2003-07-10,32.0
2003-07-11,35.0
2003-07-14,31.0
2003-07-15,31.0
2003-07-16,30.0
2003-07-17,343.0
2003-07-18,31.0
2003-07-21,42.0
2003-07-22,37.0
2003-07-23,39.0
2003-07-24,31.0
2003-07-25,35.0
2003-07-28,31.0
2003-07-29,35.0
2003-07-30,31.0
2003-07-31,28.0
2003-08-01,33.0
2003-08-04,34.0
2003-08-05,32.0
2003-08-06,38.0
2003-08-07,33.0
2003-08-08,33.0
2003-08-11,39.0
2003-08-12,40.0
2003-08-13,42.0
2003-08-14,33.0
2003-08-15,50.0
2003-08-18,30.0
2003-08-19,34.0
2003-08-20,35.0
2003-08-21,32.0
2003-08-22,41.0
2003-08-25,30.0
2003-08-26,38.0
2003-08-27,41.0
2003-08-28,35.0
2003-08-29,40.0
2003-09-02,29.0
2003-09-03,24.0
2003-09-04,38.0
