date,close
2006-10-17,0.904
2006-10-18,0.974
2006-10-19,0.762
2006-10-20,0.801
2006-10-23,0.752
2006-10-24,1.159
2006-10-25,0.841
2006-10-26,0.789
2006-10-27,1.032
2006-10-30,0.818
2006-10-31,0.968
2006-11-01,0.913
2006-11-02,0.913
2006-11-03,0.933
2006-11-06,0.755
2006-11-07,0.785
2006-11-08,0.771
2006-11-09,0.839
2006-11-13,0.791
2006-11-14,0.812
2006-11-15,0.829
2006-11-16,0.779
2006-11-17,0.807
2006-11-20,0.872
2006-11-21,1.046
2006-11-22,0.885
2006-11-24,1.06
2006-11-27,1.275
2006-11-28,0.93
2006-11-29,0.669
2006-11-30,0.768
2006-12-01,0.912
2006-12-04,0.878
2006-12-05,0.761
2006-12-06,0.851
2006-12-07,0.874
2006-12-08,0.78
2006-12-11,0.725
2006-12-12,0.966
2006-12-13,0.893
2006-12-14,0.641
2006-12-15,0.744
2006-12-18,1.132
2006-12-19,0.958
2006-12-20,0.848
2006-12-21,0.79
2006-12-22,1.101
2006-12-26,0.846
2006-12-27,0.772
2006-12-28,0.906
2006-12-29,0.881
2007-01-03,0.85
2007-01-04,0.835
2007-01-05,0.901
2007-01-08,0.867
2007-01-09,0.781
2007-01-10,0.812
2007-01-11,0.72
2007-01-12,0.751
2007-01-16,0.914
2007-01-17,0.873
2007-01-18,0.908
2007-01-19,0.831
2007-01-22,0.969
2007-01-23,0.917
2007-01-24,0.841
2007-01-25,1.203
2007-01-26,0.961
2007-01-29,0.992
2007-01-30,0.936
2007-01-31,0.792
2007-02-01,0.851
2007-02-02,0.971
2007-02-05,0.823
2007-02-06,0.859
2007-02-07,0.908
2007-02-08,0.844
2007-02-09,0.942
2007-02-12,1.18
2007-02-13,0.967
2007-02-14,0.978
2007-02-15,0.758
2007-02-16,0.845
2007-02-20,0.956
2007-02-21,1.126
2007-02-22,1.033
2007-02-23,1.427
2007-02-26,1.019
2007-02-27,1.703
2007-02-28,1.083
2007-03-01,1.417
2007-03-02,1.3
2007-03-05,1.3
2007-03-06,1.3
2007-03-07,1.3
2007-03-08,1.3
2007-03-09,1.159
2007-03-12,1.055
2007-03-13,1.446
2007-03-14,1.656
2007-03-15,1.126
2007-03-16,1.225
2007-03-19,0.816
2007-03-20,0.934
2007-03-21,1.124
2007-03-22,0.937
2007-03-23,0.925
2007-03-26,0.986
2007-03-27,0.974
2007-03-28,1.373
2007-03-29,1.168
2007-03-30,1.207
2007-04-02,0.826
2007-04-03,1.127
2007-04-04,1.038
2007-04-05,0.77
2007-04-09,0.776
2007-04-10,1.113
2007-04-11,0.989
2007-04-12,1.023
2007-04-13,0.956
2007-04-16,0.803
2007-04-17,0.897
2007-04-18,0.803
2007-04-19,0.938
2007-04-20,0.746
2007-04-23,0.919
2007-04-24,1.203
2007-04-25,0.812
2007-04-26,0.83
2007-04-27,1.01
2007-04-30,0.954
2007-05-01,1.157
2007-05-02,0.813
2007-05-03,0.867
2007-05-04,0.831
2007-05-07,0.696
2007-05-08,0.997
2007-05-09,0.738
2007-05-10,1.103
2007-05-11,0.943
2007-05-14,0.869
2007-05-15,0.869
2007-05-16,0.869
2007-05-17,0.79
2007-05-18,0.869
2007-05-21,0.869
2007-05-22,1.21
2007-05-23,0.869
2007-05-24,0.869
2007-05-25,0.869
2007-05-29,0.913
2007-05-30,0.932
2007-05-31,0.93
2007-06-01,0.895
2007-06-04,0.9
2007-06-05,0.947
2007-06-06,1.127
2007-06-07,1.245
2007-06-08,1.119
2007-06-11,1.077
2007-06-12,1.104
2007-06-13,0.957
2007-06-14,0.792
2007-06-15,1.041
2007-06-18,0.92
2007-06-19,0.916
2007-06-20,1.053
2007-06-21,0.986
2007-06-22,1.037
2007-06-25,1.117
2007-06-26,1.114
2007-06-27,0.844
2007-06-28,0.883
2007-06-29,1.022
2007-07-02,0.849
2007-07-03,0.906
2007-07-05,0.903
2007-07-06,0.875
2007-07-09,0.806
2007-07-10,1.011
2007-07-11,0.899
2007-07-12,0.764
2007-07-13,0.942
2007-07-16,0.826
2007-07-17,0.931
2007-07-18,1.097
2007-07-19,0.796
2007-07-20,1.23
2007-07-23,0.812
2007-07-24,1.488
2007-07-25,1.048
2007-07-26,1.518
2007-07-27,1.379
2007-07-30,1.163
2007-07-31,1.273
2007-08-01,1.347
2007-08-02,1.11
2007-08-03,1.462
2007-08-06,1.266
2007-08-07,1.044
2007-08-08,1.008
2007-08-09,1.158
2007-08-10,1.099
2007-08-13,1.013
2007-08-14,1.413
2007-08-15,1.493
2007-08-16,1.527
2007-08-17,1.232
2007-08-20,0.918
2007-08-21,0.914
2007-08-22,1.092
2007-08-23,1.153
2007-08-24,1.068
2007-08-27,0.977
2007-08-28,1.299
2007-08-29,0.958
2007-08-30,0.93
2007-08-31,1.059
2007-09-04,1.026
2007-09-05,1.149
2007-09-06,0.883
2007-09-07,1.184
2007-09-10,1.159
2007-09-11,1.059
2007-09-12,0.859
2007-09-13,1.043
2007-09-14,1.103
2007-09-17,1.038
2007-09-18,1.037
2007-09-19,0.977
2007-09-20,1.009
2007-09-21,0.858
2007-09-24,0.809
2007-09-25,1.144
2007-09-26,0.874
2007-09-27,0.851
2007-09-28,1.091
2007-10-01,0.88
2007-10-02,1.001
2007-10-03,0.825
2007-10-04,0.735
2007-10-05,0.776
2007-10-08,0.808
2007-10-09,0.809
2007-10-10,0.9
2007-10-11,0.907
2007-10-12,0.77
2007-10-15,0.802
2007-10-16,0.944
2007-10-17,0.943
2007-10-18,0.791
2007-10-19,1.161
2007-10-22,1.013
2007-10-23,0.973
2007-10-24,0.992
2007-10-25,1.095
2007-10-26,0.823
2007-10-29,0.922
2007-10-30,1.149
2007-10-31,0.806
2007-11-01,0.971
2007-11-02,1.16
2007-11-05,1.031
2007-11-06,0.987
2007-11-07,1.064
2007-11-08,1.244
2007-11-09,1.087
2007-11-12,0.932
2007-11-13,1.21
2007-11-14,0.919
2007-11-15,1.311
2007-11-16,1.273
2007-11-19,1.133
2007-11-20,1.125
2007-11-21,1.219
2007-11-23,0.889
2007-11-26,0.988
2007-11-27,0.829
2007-11-28,0.899
2007-11-29,0.882
2007-11-30,1.082
2007-12-03,0.811
2007-12-04,1.073
2007-12-05,0.894
2007-12-06,0.886
2007-12-07,0.996
2007-12-10,0.955
2007-12-11,1.111
2007-12-12,0.973
2007-12-13,1.068
2007-12-14,1.047
2007-12-17,1.128
2007-12-18,1.022
2007-12-19,1.152
2007-12-20,0.676
2007-12-21,0.574
2007-12-24,0.9
2007-12-26,1.013
2007-12-27,0.973
2007-12-28,0.922
2007-12-31,1.068
2008-01-02,1.165
2008-01-03,0.911
2008-01-04,1.126
2008-01-07,1.044
2008-01-08,1.37
2008-01-09,1.18
2008-01-10,1.001
2008-01-11,0.932
2008-01-14,0.968
2008-01-15,1.241
2008-01-16,1.195
2008-01-17,1.552
2008-01-18,1.348
2008-01-22,1.23
2008-01-23,1.139
2008-01-24,0.882
2008-01-25,1.063
2008-01-28,0.92
2008-01-29,0.906
2008-01-30,0.821
2008-01-31,0.949
2008-02-01,0.824
2008-02-04,0.963
2008-02-05,1.148
2008-02-06,1.069
2008-02-07,1.151
2008-02-08,1.151
2008-02-11,0.976
2008-02-12,1.14
2008-02-13,0.981
2008-02-14,1.007
2008-02-15,1.161
2008-02-19,1.011
2008-02-20,0.864
2008-02-21,0.964
2008-02-22,1.157
2008-02-25,0.944
2008-02-26,1.059
2008-02-27,1.103
2008-02-28,1.242
2008-02-29,1.265
2008-03-03,1.246
2008-03-04,1.187
2008-03-05,1.15
2008-03-06,1.272
2008-03-07,1.256
2008-03-10,1.48
2008-03-11,1.111
2008-03-12,1.112
2008-03-13,1.225
2008-03-14,0.949
2008-03-17,1.487
2008-03-18,1.003
2008-03-19,1.23
2008-03-20,1.103
2008-03-24,0.818
2008-03-25,0.964
2008-03-26,1.03
2008-03-27,1.09
2008-03-28,1.147
2008-03-31,1.027
2008-04-01,0.896
2008-04-02,1.056
2008-04-03,1.054
2008-04-04,1.204
2008-04-07,0.968
2008-04-08,1.135
2008-04-09,1.171
2008-04-10,0.973
2008-04-11,1.293
2008-04-14,1.013
2008-04-15,1.062
2008-04-16,0.924
2008-04-17,0.929
2008-04-18,0.827
2008-04-21,0.95
2008-04-22,1.065
2008-04-23,0.944
2008-04-24,0.914
2008-04-25,0.894
2008-04-28,0.974
2008-04-29,1.093
2008-04-30,0.939
2008-05-01,0.921
2008-05-02,0.9
2008-05-05,0.914
2008-05-06,0.817
2008-05-07,1.029
2008-05-08,0.886
2008-05-09,0.921
2008-05-12,0.868
2008-05-13,0.786
2008-05-14,0.809
2008-05-15,0.777
2008-05-16,0.864
2008-05-19,0.883
2008-05-20,1.097
2008-05-21,1.181
2008-05-22,0.977
2008-05-23,1.061
2008-05-27,0.947
2008-05-28,0.826
2008-05-29,0.865
2008-05-30,0.85
2008-06-02,1.078
2008-06-03,1.142
2008-06-04,1.088
2008-06-05,0.997
2008-06-06,1.154
2008-06-09,0.942
2008-06-10,0.953
2008-06-11,1.138
2008-06-12,0.962
2008-06-13,0.916
2008-06-16,0.969
2008-06-17,1.004
2008-06-18,1.117
2008-06-19,0.984
2008-06-20,1.333
2008-06-23,0.866
2008-06-24,0.991
2008-06-25,0.86
2008-06-26,1.171
2008-06-27,1.133
2008-06-30,1.106
2008-07-01,1.011
2008-07-02,1.087
2008-07-03,1.235
2008-07-07,1.215
2008-07-08,1.014
2008-07-09,1.01
2008-07-10,1.067
2008-07-11,1.15
2008-07-14,1.152
2008-07-15,1.163
2008-07-16,0.93
2008-07-17,0.872
2008-07-18,0.914
2008-07-21,0.881
2008-07-22,0.912
2008-07-23,0.904
2008-07-24,1.052
2008-07-25,0.827
2008-07-28,1.081
2008-07-29,0.863
2008-07-30,0.874
2008-07-31,0.958
2008-08-01,0.996
2008-08-04,0.988
2008-08-05,0.763
2008-08-06,0.949
2008-08-07,1.051
2008-08-08,0.922
2008-08-11,0.862
2008-08-12,1.05
2008-08-13,1.041
2008-08-14,0.854
2008-08-15,1.002
2008-08-18,1.059
2008-08-19,1.124
2008-08-20,0.979
2008-08-21,0.967
2008-08-22,0.887
2008-08-25,1.131
2008-08-26,0.97
2008-08-27,0.831
2008-08-28,0.821
2008-08-29,1.001
2008-09-02,0.969
2008-09-03,0.862
2008-09-04,1.079
2008-09-05,0.996
2008-09-08,0.898
2008-09-09,1.117
2008-09-10,1.099
2008-09-11,1.009
2008-09-12,1.011
2008-09-15,1.474
2008-09-16,1.318
2008-09-17,1.432
2008-09-18,1.196
2008-09-19,0.822
2008-09-22,0.969
2008-09-23,1.039
2008-09-24,1.058
2008-09-25,0.798
2008-09-26,1.024
2008-09-29,1.402
2008-09-30,1.3
2008-10-01,0.986
2008-10-02,1.375
2008-10-03,1.121
2008-10-06,1.518
2008-10-07,1.102
2008-10-08,1.187
2008-10-09,1.353
2008-10-10,1.227
2008-10-13,0.888
2008-10-14,0.864
2008-10-15,1.115
2008-10-16,1.157
2008-10-17,0.98
2008-10-20,0.823
2008-10-21,0.884
2008-10-22,1.221
2008-10-23,1.242
2008-10-24,1.236
2008-10-27,1.152
2008-10-28,0.984
2008-10-29,0.793
2008-10-30,0.796
2008-10-31,0.96
2008-11-03,0.964
2008-11-04,1.005
2008-11-05,0.936
2008-11-06,1.334
2008-11-07,0.969
2008-11-10,1.109
2008-11-11,1.178
2008-11-13,0.989
2008-11-17,0.949
2008-11-18,1.086
2008-11-19,1.413
2008-11-20,1.326
2008-11-21,1.134
2008-11-24,0.754
2008-11-25,0.79
2008-11-26,0.746
2008-11-28,0.887
2008-12-01,1.001
2008-12-02,0.939
2008-12-03,1.03
2008-12-04,0.937
2008-12-05,0.919
2008-12-08,0.861
2008-12-09,0.839
2008-12-10,0.948
2008-12-11,0.982
2008-12-12,1.045
2008-12-15,1.049
2008-12-16,0.91
2008-12-17,0.836
2008-12-18,0.901
2008-12-19,0.816
2008-12-22,0.754
2008-12-23,0.778
2008-12-24,0.804
2008-12-26,0.781
2008-12-29,0.938
2008-12-30,0.826
2008-12-31,0.812
2009-01-02,0.954
2009-01-05,0.836
2009-01-06,0.802
2009-01-07,1.14
2009-01-08,1.079
2009-01-09,1.033
2009-01-12,1.158
2009-01-13,0.915
2009-01-14,1.15
2009-01-15,1.174
2009-01-16,0.967
2009-01-20,0.957
2009-01-21,0.93
2009-01-22,0.875
2009-01-23,0.767
2009-01-26,0.775
2009-01-27,0.778
2009-01-28,0.775
2009-01-29,0.955
2009-01-30,1.024
2009-02-02,0.821
2009-02-03,0.796
2009-02-04,0.903
2009-02-05,0.751
2009-02-06,0.712
2009-02-09,0.665
2009-02-10,0.879
2009-02-11,0.927
2009-02-12,0.903
2009-02-13,0.89
2009-02-17,1.034
2009-02-18,1.184
2009-02-19,1.145
2009-02-20,1.061
2009-02-23,0.955
2009-02-24,0.786
2009-02-25,0.845
2009-02-26,0.683
2009-02-27,0.975
2009-03-02,1.065
2009-03-03,0.949
2009-03-04,0.955
2009-03-05,1.019
2009-03-06,0.873
2009-03-09,0.736
2009-03-10,0.729
2009-03-11,0.751
2009-03-12,0.705
2009-03-13,0.713
2009-03-16,0.801
2009-03-17,0.777
2009-03-18,0.646
2009-03-19,0.77
2009-03-20,0.895
2009-03-23,0.7
2009-03-24,0.76
2009-03-25,0.858
2009-03-26,0.913
2009-03-27,0.918
2009-03-30,1.136
2009-03-31,0.813
2009-04-01,0.907
2009-04-02,0.69
2009-04-03,0.828
2009-04-06,0.958
2009-04-07,0.965
2009-04-08,0.849
2009-04-09,0.808
2009-04-13,0.667
2009-04-14,0.765
2009-04-15,0.928
2009-04-16,0.755
2009-04-17,0.717
2009-04-20,0.919
2009-04-21,0.838
2009-04-22,0.78
2009-04-23,0.907
2009-04-24,0.835
2009-04-27,0.814
2009-04-28,0.87
2009-04-29,0.751
2009-04-30,0.915
2009-05-01,0.821
2009-05-04,0.737
2009-05-05,0.663
2009-05-06,0.762
2009-05-07,0.814
2009-05-08,0.869
2009-05-11,0.854
2009-05-12,0.859
2009-05-13,0.891
2009-05-14,0.879
2009-05-15,0.8
2009-05-18,0.776
2009-05-19,0.821
2009-05-20,0.862
2009-05-21,0.979
2009-05-22,0.807
2009-05-26,0.722
2009-05-27,0.861
2009-05-28,0.756
2009-05-29,0.771
2009-06-01,0.774
2009-06-02,0.826
2009-06-03,0.965
2009-06-04,0.882
2009-06-05,0.808
2009-06-08,0.94
2009-06-09,0.864
2009-06-10,0.864
2009-06-11,0.769
2009-06-12,0.862
2009-06-15,0.81
2009-06-16,1.015
2009-06-17,1.135
2009-06-18,0.934
2009-06-19,0.86
2009-06-22,0.936
2009-06-23,0.997
2009-06-24,0.85
2009-06-25,0.898
2009-06-26,0.814
2009-06-29,0.782
2009-06-30,1.082
2009-07-01,0.8
2009-07-02,1.055
2009-07-06,0.862
2009-07-07,1.016
2009-07-08,1.027
2009-07-09,1.069
2009-07-10,1.082
2009-07-13,0.834
2009-07-14,0.83
2009-07-15,0.781
2009-07-16,0.762
2009-07-17,0.739
2009-07-20,0.701
2009-07-21,0.794
2009-07-22,0.989
2009-07-23,0.874
2009-07-24,0.93
2009-07-27,0.792
2009-07-28,0.812
2009-07-29,0.932
2009-07-30,0.668
2009-07-31,0.842
2009-08-03,0.763
2009-08-04,0.815
2009-08-05,0.74
2009-08-06,0.915
2009-08-07,0.729
2009-08-10,0.754
2009-08-11,0.77
2009-08-12,0.932
2009-08-13,0.777
2009-08-14,0.951
2009-08-17,0.994
2009-08-18,0.935
2009-08-19,0.972
2009-08-20,0.717
2009-08-21,0.593
2009-08-24,0.732
2009-08-25,0.808
2009-08-26,1.052
2009-08-27,0.816
2009-08-28,0.755
2009-08-31,0.891
2009-09-01,0.932
2009-09-02,0.919
2009-09-03,0.924
2009-09-04,0.893
2009-09-08,0.798
2009-09-09,0.855
2009-09-10,0.906
2009-09-11,0.884
2009-09-14,0.805
2009-09-15,0.757
2009-09-16,0.665
2009-09-17,0.785
2009-09-18,0.856
2009-09-21,0.753
2009-09-22,0.76
2009-09-23,0.9
2009-09-24,0.987
2009-09-25,0.962
2009-09-28,1.004
2009-09-29,0.86
2009-09-30,1.119
2009-10-01,0.963
2009-10-02,1.114
2009-10-05,0.801
2009-10-06,0.77
2009-10-07,0.779
2009-10-08,0.725
2009-10-09,0.791
2009-10-12,0.823
2009-10-13,0.803
2009-10-14,0.69
2009-10-15,0.689
2009-10-16,0.765
2009-10-19,0.907
2009-10-20,0.911
2009-10-21,0.943
2009-10-22,0.804
2009-10-23,0.856
2009-10-26,0.882
2009-10-27,1.013
2009-10-28,1.107
2009-10-29,0.842
2009-10-30,1.21
2009-11-02,1.036
2009-11-03,0.937
2009-11-04,0.815
2009-11-05,0.866
2009-11-06,1.022
2009-11-09,0.872
2009-11-10,0.837
2009-11-11,0.904
2009-11-12,0.85
2009-11-13,1.008
2009-11-16,0.837
2009-11-17,0.881
2009-11-18,0.845
2009-11-19,0.998
2009-11-20,0.916
2009-11-23,0.667
2009-11-24,0.879
2009-11-25,0.855
2009-11-27,1.052
2009-11-30,1.036
2009-12-01,0.855
2009-12-02,0.889
2009-12-03,0.677
2009-12-04,0.848
2009-12-07,0.897
2009-12-08,0.902
2009-12-09,0.961
2009-12-10,0.911
2009-12-11,0.894
2009-12-14,0.894
2009-12-15,0.757
2009-12-16,0.894
2009-12-17,0.907
2009-12-18,0.98
2009-12-21,0.603
2009-12-22,0.582
2009-12-23,0.821
2009-12-24,0.712
2009-12-28,0.788
2009-12-29,0.906
2009-12-30,0.771
2009-12-31,0.915
2010-01-04,0.693
2010-01-05,0.719
2010-01-06,0.701
2010-01-07,0.713
2010-01-08,0.648
2010-01-11,0.68
2010-01-12,0.799
2010-01-13,0.805
2010-01-14,0.754
2010-01-15,0.825
2010-01-19,0.732
2010-01-20,0.926
2010-01-21,0.933
2010-01-22,1.079
2010-01-25,0.987
2010-01-26,0.854
2010-01-27,0.947
2010-01-28,0.802
2010-01-29,1.005
2010-02-01,3.053
2010-02-02,2.752
2010-02-03,2.407
2010-02-04,2.476
2010-02-05,2.872
2010-02-08,2.675
2010-02-09,2.625
2010-02-10,2.427
2010-02-11,2.781
2010-02-12,2.532
2010-02-16,3.148
2010-02-17,2.905
2010-02-18,0.788
2010-02-19,0.844
2010-02-22,0.829
2010-02-23,1.049
2010-02-24,0.827
2010-02-25,1.033
2010-02-26,0.867
2010-03-01,0.941
2010-03-02,0.778
2010-03-03,0.874
2010-03-04,1.006
2010-03-05,0.826
2010-03-08,0.922
2010-03-09,0.678
2010-03-10,0.805
2010-03-11,0.923
2010-03-12,0.865
2010-03-15,0.799
2010-03-16,0.754
2010-03-17,0.86
2010-03-18,0.765
2010-03-19,0.974
2010-03-22,0.913
2010-03-23,0.751
2010-03-24,0.923
2010-03-25,0.864
2010-03-26,0.923
2010-03-29,0.844
2010-03-30,0.859
2010-03-31,0.815
