date,high,low,close
1971-04-05,0.0,0.0,0.0
2009-08-25,1199.0,-1094.0,265.0
2009-08-26,1258.0,-1197.0,588.0
2009-08-27,1354.0,-1062.0,366.0
2009-08-28,1055.0,-1155.0,10.0
2009-08-31,971.0,-1049.0,-77.0
2009-09-01,999.0,-1435.0,-611.0
2009-09-02,1052.0,-1168.0,-473.0
2009-09-03,1031.0,-1018.0,434.0
2009-09-04,1485.0,-1012.0,294.0
2009-09-08,1168.0,-726.0,355.0
2009-09-09,1175.0,-1238.0,398.0
2009-09-10,1373.0,-905.0,494.0
2009-09-11,1097.0,-1009.0,199.0
2009-09-14,1229.0,-876.0,90.0
2009-09-15,1045.0,-832.0,107.0
2009-09-16,1233.0,-583.0,728.0
2009-09-17,1264.0,-1051.0,396.0
2009-09-18,1038.0,-1040.0,-161.0
2009-09-21,1081.0,-953.0,380.0
2009-09-22,1132.0,-740.0,285.0
2009-09-23,1316.0,-1329.0,-206.0
2009-09-24,1108.0,-1221.0,-188.0
2009-09-25,1118.0,-1209.0,-189.0
2009-09-28,1245.0,-824.0,201.0
2009-09-29,1042.0,-1082.0,-128.0
2009-09-30,1427.0,-1306.0,-238.0
2009-10-01,837.0,-1339.0,-729.0
2009-10-02,1127.0,-1003.0,-173.0
2009-10-05,1390.0,-967.0,599.0
2009-10-06,1291.0,-1193.0,445.0
2009-10-07,1107.0,-938.0,461.0
2009-10-08,1111.0,-992.0,237.0
2009-10-09,1038.0,-869.0,325.0
2009-10-12,863.0,-1228.0,264.0
2009-10-13,1176.0,-1029.0,465.0
2009-10-14,1079.0,-782.0,386.0
2009-10-15,995.0,-851.0,379.0
2009-10-16,1172.0,-973.0,213.0
2009-10-19,959.0,-783.0,72.0
2009-10-20,969.0,-1095.0,94.0
2009-10-21,1060.0,-1360.0,-62.0
2009-10-22,1214.0,-1109.0,450.0
2009-10-23,832.0,-1168.0,-168.0
2009-10-26,1216.0,-1632.0,-15.0
2009-10-27,1043.0,-1213.0,221.0
2009-10-28,955.0,-1348.0,-500.0
2009-10-29,1184.0,-939.0,-43.0
2009-10-30,856.0,-1330.0,-570.0
2009-11-02,1206.0,-1563.0,-283.0
2009-11-03,1133.0,-1122.0,472.0
2009-11-04,1266.0,-1257.0,-251.0
2009-11-05,1189.0,-957.0,298.0
2009-11-06,1300.0,-1093.0,437.0
2009-11-09,1090.0,-552.0,478.0
2009-11-10,1102.0,-1018.0,338.0
2009-11-11,1282.0,-1081.0,457.0
2009-11-12,1007.0,-1267.0,-92.0
2009-11-13,1245.0,-1151.0,407.0
2009-11-16,1191.0,-1040.0,466.0
2009-11-17,1242.0,-950.0,220.0
2009-11-18,1052.0,-1044.0,370.0
2009-11-19,1005.0,-1202.0,68.0
2009-11-20,1197.0,-1064.0,-57.0
2009-11-23,1086.0,-1136.0,732.0
2009-11-24,1107.0,-1138.0,161.0
2009-11-25,1086.0,-737.0,161.0
2009-11-27,1225.0,-1017.0,-869.0
2009-11-30,1355.0,-1219.0,-15.0
2009-12-01,1154.0,-882.0,817.0
2009-12-02,1245.0,-1190.0,417.0
2009-12-03,1097.0,-1286.0,-123.0
2009-12-04,1157.0,-1406.0,275.0
2009-12-07,1055.0,-1115.0,-129.0
2009-12-08,1139.0,-1183.0,-37.0
2009-12-09,1185.0,-1054.0,164.0
2009-12-10,1124.0,-1003.0,442.0
2009-12-11,1093.0,-894.0,815.0
2009-12-14,1138.0,-700.0,547.0
2009-12-15,975.0,-954.0,261.0
2009-12-16,826.0,-1114.0,92.0
2009-12-17,830.0,-1206.0,57.0
2009-12-18,818.0,-1061.0,436.0
2009-12-21,831.0,-829.0,-32.0
2009-12-22,855.0,-645.0,-111.0
2009-12-23,1179.0,-783.0,705.0
2009-12-24,941.0,-298.0,931.0
2009-12-28,1022.0,-730.0,523.0
2009-12-29,667.0,-549.0,-333.0
2009-12-30,924.0,-785.0,318.0
2009-12-31,914.0,-1180.0,-653.0
2010-01-04,907.0,-653.0,432.0
2010-01-05,1124.0,-832.0,385.0
2010-01-06,1013.0,-852.0,191.0
2010-01-07,1049.0,-890.0,504.0
2010-01-08,1014.0,-560.0,832.0
2010-01-11,982.0,-1009.0,213.0
2010-01-12,835.0,-1122.0,54.0
2010-01-13,1019.0,-924.0,470.0
2010-01-14,1058.0,-651.0,444.0
2010-01-15,847.0,-1083.0,-158.0
2010-01-19,1087.0,-596.0,283.0
2010-01-20,989.0,-1090.0,-246.0
2010-01-21,942.0,-1369.0,-382.0
2010-01-22,914.0,-1412.0,-585.0
2010-01-25,775.0,-1095.0,5.0
2010-01-26,1025.0,-1229.0,-210.0
2010-01-27,1339.0,-1039.0,269.0
2010-01-28,1053.0,-1178.0,-191.0
2010-01-29,1114.0,-1207.0,-706.0
2010-02-01,948.0,-963.0,532.0
2010-02-02,1192.0,-747.0,462.0
2010-02-03,1169.0,-961.0,197.0
2010-02-04,690.0,-1359.0,-635.0
2010-02-05,1318.0,-1361.0,280.0
2010-02-08,1053.0,-1155.0,-582.0
2010-02-09,1262.0,-1207.0,15.0
2010-02-10,1159.0,-1152.0,2.0
2010-02-11,1235.0,-893.0,379.0
2010-02-12,1382.0,-1104.0,935.0
2010-02-16,1271.0,-739.0,390.0
2010-02-17,1040.0,-994.0,489.0
2010-02-18,1200.0,-616.0,433.0
2010-02-19,1407.0,-719.0,-225.0
2010-02-22,995.0,-967.0,297.0
2010-02-23,1055.0,-1064.0,-131.0
2010-02-24,1132.0,-912.0,321.0
2010-02-25,1229.0,-1032.0,1011.0
2010-02-26,1037.0,-889.0,-238.0
2010-03-01,1020.0,-773.0,107.0
2010-03-02,1290.0,-963.0,495.0
2010-03-03,1039.0,-1213.0,38.0
2010-03-04,1246.0,-923.0,136.0
2010-03-05,1270.0,-590.0,435.0
2010-03-08,726.0,-858.0,-200.0
2010-03-09,1091.0,-1148.0,230.0
2010-03-10,1292.0,-1138.0,190.0
2010-03-11,1132.0,-875.0,296.0
2010-03-12,1180.0,-872.0,489.0
2010-03-15,1093.0,-1238.0,222.0
2010-03-16,1232.0,-824.0,398.0
2010-03-17,1331.0,-991.0,521.0
2010-03-18,1041.0,-922.0,234.0
2010-03-19,926.0,-1309.0,46.0
2010-03-22,1254.0,-712.0,429.0
2010-03-23,1195.0,-960.0,383.0
2010-03-24,931.0,-1216.0,-117.0
2010-03-25,1102.0,-1456.0,-503.0
2010-03-26,938.0,-1205.0,-19.0
2010-03-29,879.0,-951.0,506.0
2010-03-30,1058.0,-1138.0,312.0
2010-03-31,942.0,-1080.0,-23.0
2010-04-01,1066.0,-1041.0,775.0
2010-04-05,948.0,-593.0,706.0
2010-04-06,1160.0,-645.0,372.0
2010-04-07,976.0,-1418.0,309.0
2010-04-08,1022.0,-766.0,80.0
2010-04-09,915.0,-910.0,875.0
2010-04-12,967.0,-886.0,334.0
2010-04-13,1163.0,-831.0,197.0
2010-04-14,975.0,-800.0,559.0
2010-04-15,917.0,-813.0,170.0
2010-04-16,1000.0,-1208.0,193.0
2010-04-19,1198.0,-1343.0,253.0
2010-04-20,1064.0,-762.0,786.0
2010-04-21,1174.0,-1009.0,702.0
2010-04-22,1246.0,-904.0,401.0
2010-04-23,1188.0,-705.0,513.0
2010-04-26,833.0,-1112.0,-270.0
2010-04-27,1005.0,-1439.0,-206.0
2010-04-28,948.0,-1103.0,310.0
2010-04-29,1154.0,-691.0,559.0
2010-04-30,828.0,-1322.0,-593.0
2010-05-03,1139.0,-927.0,333.0
2010-05-04,901.0,-1262.0,-246.0
2010-05-05,1153.0,-1291.0,-246.0
2010-05-06,924.0,-1670.0,-192.0
2010-05-07,1327.0,-1433.0,-293.0
2010-05-10,1123.0,-1217.0,625.0
2010-05-11,1431.0,-1257.0,93.0
2010-05-12,1214.0,-844.0,357.0
2010-05-13,1156.0,-1276.0,-478.0
2010-05-14,1199.0,-1449.0,587.0
2010-05-17,1307.0,-1649.0,263.0
2010-05-18,1047.0,-1515.0,-20.0
2010-05-19,1262.0,-1419.0,-304.0
2010-05-20,1220.0,-1476.0,-609.0
2010-05-21,1423.0,-1387.0,641.0
2010-05-24,1221.0,-1307.0,-362.0
2010-05-25,1537.0,-1062.0,545.0
2010-05-26,1262.0,-1542.0,-157.0
2010-05-27,1354.0,-1166.0,1080.0
2010-05-28,1345.0,-1363.0,-392.0
2010-06-01,1324.0,-1428.0,-679.0
2010-06-02,1207.0,-1027.0,827.0
2010-06-03,1237.0,-1282.0,302.0
2010-06-04,1008.0,-1609.0,259.0
2010-06-07,1223.0,-1384.0,-286.0
2010-06-08,1368.0,-1366.0,229.0
2010-06-09,1416.0,-1497.0,-327.0
2010-06-10,1229.0,-1078.0,898.0
2010-06-11,1470.0,-1166.0,602.0
2010-06-14,1213.0,-1296.0,78.0
2010-06-15,1308.0,-837.0,537.0
2010-06-16,1531.0,-1216.0,304.0
2010-06-17,1361.0,-1188.0,118.0
2010-06-18,1116.0,-1011.0,136.0
2010-06-21,1128.0,-1343.0,295.0
2010-06-22,1196.0,-1378.0,-212.0
2010-06-23,1401.0,-1317.0,85.0
2010-06-24,1332.0,-1250.0,-92.0
2010-06-25,1455.0,-1156.0,496.0
2010-06-28,1273.0,-1189.0,-319.0
2010-06-29,969.0,-1289.0,-178.0
2010-06-30,1125.0,-1227.0,-497.0
2010-07-01,1340.0,-1509.0,-45.0
2010-07-02,1328.0,-1276.0,-392.0
2010-07-06,1162.0,-1333.0,388.0
2010-07-07,1527.0,-829.0,820.0
2010-07-08,1353.0,-1223.0,812.0
2010-07-09,1316.0,-825.0,614.0
2010-07-12,1234.0,-1258.0,142.0
2010-07-13,1273.0,-911.0,21.0
2010-07-14,1412.0,-1354.0,345.0
2010-07-15,1816.0,-1424.0,143.0
2010-07-16,1233.0,-1200.0,-144.0
2010-07-19,1293.0,-1144.0,-123.0
2010-07-20,1545.0,-824.0,460.0
2010-07-21,1238.0,-1379.0,-14.0
2010-07-22,1414.0,-935.0,803.0
2010-07-23,1636.0,-952.0,661.0
2010-07-26,1356.0,-808.0,760.0
2010-07-27,1257.0,-1076.0,-108.0
2010-07-28,1026.0,-1213.0,110.0
2010-07-29,1297.0,-1370.0,323.0
2010-07-30,1497.0,-993.0,-94.0
2010-08-02,1265.0,-857.0,509.0
2010-08-03,1169.0,-976.0,44.0
2010-08-04,1093.0,-1090.0,256.0
2010-08-05,1200.0,-872.0,-57.0
2010-08-06,1283.0,-1283.0,332.0
2010-08-09,1086.0,-775.0,482.0
2010-08-10,1389.0,-1204.0,-112.0
2010-08-11,847.0,-1281.0,-489.0
2010-08-12,1270.0,-1200.0,-367.0
2010-08-13,1034.0,-1080.0,-55.0
2010-08-16,1291.0,-1166.0,260.0
2010-08-17,1170.0,-764.0,237.0
2010-08-18,1379.0,-1077.0,-21.0
2010-08-19,1407.0,-1287.0,-707.0
2010-08-20,1244.0,-1290.0,181.0
2010-08-23,1359.0,-1184.0,-666.0
2010-08-24,1283.0,-1161.0,-323.0
2010-08-25,1246.0,-1180.0,-24.0
2010-08-26,1239.0,-1357.0,-497.0
2010-08-27,1342.0,-1166.0,511.0
2010-08-30,1038.0,-1276.0,-698.0
2010-08-31,1356.0,-1277.0,196.0
2010-09-01,1286.0,-881.0,369.0
2010-09-02,1307.0,-737.0,666.0
2010-09-03,1582.0,-974.0,629.0
2010-09-07,959.0,-1248.0,85.0
2010-09-08,943.0,-1177.0,489.0
2010-09-09,918.0,-1213.0,196.0
2010-09-10,1210.0,-1013.0,706.0
2010-09-13,1198.0,-1040.0,309.0
2010-09-14,1194.0,-1088.0,-463.0
2010-09-15,1151.0,-992.0,159.0
2010-09-16,1017.0,-958.0,226.0
2010-09-17,1079.0,-1030.0,-13.0
2010-09-20,1262.0,-776.0,404.0
2010-09-21,1373.0,-1217.0,-41.0
2010-09-22,1018.0,-1031.0,312.0
2010-09-23,1218.0,-1266.0,94.0
2010-09-24,1295.0,-597.0,580.0
2010-09-27,1117.0,-991.0,427.0
2010-09-28,1442.0,-1129.0,275.0
2010-09-30,1193.0,-1200.0,-449.0
2010-10-01,22016099000.0,-547.0,90.0
2010-10-04,518.0,-628.0,-31.0
2010-10-05,675.0,-322.0,94.0
2010-10-06,332.0,-377.0,-33.0
2010-10-07,9634452900.0,-623.0,70.0
2010-10-08,554.0,-383.0,122.0
2010-10-11,434.0,-328.0,55.0
2010-10-12,634.0,-536.0,-27.0
2010-10-13,117675770.0,-394.0,-30.0
2010-10-14,1423.0,-492.0,100.0
2010-10-15,503.0,-629.0,23.0
2010-10-18,652.0,-302.0,171.0
2010-10-19,570.0,-744.0,66.0
2010-10-20,1797251.0,-498.0,-60.0
2010-10-21,436602.0,-626.0,-10.0
2010-10-22,464.0,-348.0,-13.0
2010-10-25,467.0,-622.0,74.0
2010-10-26,564.0,-422.0,113.0
