date,high,low,close
2023-10-12,939.0,-921.0,-53.0
2023-10-13,1104.0,-1341.0,289.0
2023-10-16,1376.0,-510.0,-182.0
2023-10-17,897.0,-1707.0,80.0
2023-10-18,1034.0,-1359.0,-147.0
2023-10-19,1088.0,-1199.0,186.0
2023-10-20,1379.0,-1343.0,-200.0
2023-10-23,1073.0,-1461.0,124.0
2023-10-24,1532.0,-1308.0,-408.0
2023-10-25,982.0,-1280.0,-10.0
2023-10-26,870.0,-1131.0,-188.0
2023-10-27,1226.0,-1158.0,-383.0
2023-10-30,1441.0,-818.0,273.0
2023-10-31,1053.0,-892.0,-101.0
2023-11-01,1015.0,-1002.0,-82.0
2023-11-02,1742.0,-1125.0,-8.0
2023-11-03,1766.0,-632.0,-227.0
2023-11-06,414.0,-908.0,-156.0
2023-11-07,840.0,-1350.0,29.0
2023-11-08,614.0,-1193.0,-266.0
2023-11-09,1101.0,-1007.0,26.0
2023-11-10,1095.0,-1478.0,-481.0
2023-11-13,435.0,-1008.0,84.0
2023-11-14,1957.0,-997.0,627.0
2023-11-15,873.0,-833.0,39.0
2023-11-16,783.0,-1201.0,319.0
2023-11-17,1524.0,-890.0,472.0
2023-11-20,792.0,-428.0,-4.0
2023-11-21,1220.0,-884.0,-79.0
2023-11-22,1053.0,-897.0,419.0
2023-11-24,767.0,-281.0,386.0
2023-11-27,468.0,-811.0,203.0
2023-11-28,665.0,-926.0,-61.0
2023-11-29,1447.0,-1261.0,409.0
2023-11-30,964.0,-1006.0,-83.0
2023-12-01,918.0,-893.0,64.0
2023-12-04,701.0,-1381.0,-106.0
2023-12-05,883.0,-943.0,336.0
2023-12-06,1261.0,-964.0,-228.0
2023-12-07,918.0,-1109.0,528.0
2023-12-08,847.0,-838.0,-291.0
2023-12-11,697.0,-567.0,-250.0
2023-12-12,570.0,-713.0,11.0
2023-12-13,1027.0,-769.0,-6.0
2023-12-14,1693.0,-934.0,192.0
2023-12-15,955.0,-1271.0,63.0
2023-12-18,866.0,-540.0,-15.0
2023-12-19,1150.0,-825.0,12.0
2023-12-20,931.0,-684.0,452.0
2023-12-21,1679.0,-1764.0,-357.0
2023-12-22,1394.0,-1071.0,703.0
2023-12-26,810.0,-138.0,0.0
2023-12-27,925.0,-816.0,273.0
2023-12-28,1322.0,-1107.0,70.0
2023-12-29,843.0,-1219.0,-248.0
2024-01-02,791.0,-1138.0,316.0
2024-01-03,1036.0,-1236.0,-209.0
2024-01-04,1341.0,-1069.0,28.0
2024-01-05,1117.0,-1105.0,-64.0
2024-01-08,890.0,-438.0,355.0
2024-01-09,930.0,-1366.0,68.0
2024-01-10,1047.0,-1033.0,549.0
2024-01-11,1079.0,-1176.0,251.0
2024-01-12,1630.0,-959.0,-80.0
2024-01-16,659.0,-1213.0,212.0
2024-01-17,951.0,-1729.0,-369.0
2024-01-18,1165.0,-1037.0,-51.0
2024-01-19,1166.0,-1155.0,-1.0
2024-01-22,1307.0,-111.0,347.0
2024-01-23,1043.0,-1118.0,-114.0
2024-01-24,1816.0,-891.0,366.0
2024-01-25,1630.0,-1044.0,42.0
2024-01-26,1167.0,-810.0,184.0
2024-01-29,654.0,-389.0,-77.0
2024-01-30,1439.0,-842.0,-204.0
2024-01-31,749.0,-937.0,195.0
2024-02-01,1269.0,-1351.0,612.0
2024-02-02,1294.0,-1474.0,119.0
2024-02-05,118.0,-1487.0,-98.0
2024-02-06,925.0,-1101.0,108.0
2024-02-07,1161.0,-986.0,689.0
