report_date,open_interest_all,asset_mgr_positions_long,asset_mgr_positions_short,lev_money_positions_long,lev_money_positions_short,dealer_positions_long_all,dealer_positions_short_all
2006-08-29,43376,18000,0,17104,9928,858,28584
2006-09-05,45702,17150,0,17252,9966,2274,29717
2006-09-12,46956,18202,0,17228,9784,2474,30403
2006-09-19,49654,18504,0,17767,10223,2539,31064
2006-09-26,53755,23555,0,17042,11300,2447,34048
2006-10-03,55929,23700,0,17811,11764,2442,34404
2006-10-10,57977,19800,0,17665,11495,2503,31891
2006-10-17,54409,17674,0,17233,10697,2581,30315
2006-10-24,50271,17900,0,17472,10814,2601,29650
2006-10-31,47115,11788,0,18806,9324,2726,26486
2006-11-07,45390,6767,0,20050,9040,2654,25499
2006-11-14,49627,7910,0,21290,10503,2914,25112
2006-11-21,34767,7300,0,16462,12289,2225,14767
2006-11-28,37441,7300,0,16610,12584,2275,15873
2006-12-05,39246,7108,0,17027,13275,2234,16398
2006-12-12,40895,6031,0,17906,12981,2055,17198
2006-12-19,36684,1807,0,19254,10848,1257,14499
2007-01-03,34191,1161,0,18752,10559,1957,15189
2007-01-09,34130,1313,0,19307,10589,1771,15555
2007-01-16,38528,1398,0,18909,10212,1416,16345
2007-01-23,35584,1700,0,18177,9540,1454,15646
2007-01-30,34944,1700,0,18541,8855,1431,14758
2007-02-06,39150,1957,0,19663,9672,2446,17704
2007-02-13,39866,1328,0,21600,8523,1397,18132
2007-02-20,32486,1784,0,18839,8206,1150,15692
2007-02-27,36116,1984,150,19432,7900,768,16532
2007-03-06,38748,1399,0,19102,5416,612,17653
2007-03-13,37055,1520,0,19821,5976,837,18513
2007-03-20,45055,8975,0,19702,8956,864,22942
2007-03-27,41374,9005,0,19536,9973,801,21490
2007-04-03,42319,9005,0,19387,9685,740,22332
2007-04-10,45726,8605,0,19078,10182,358,20513
2007-04-17,46313,2015,0,19520,9827,1066,15469
2007-04-24,37795,1845,0,19385,9858,200,14482
2007-05-01,41002,1897,0,19729,10646,1077,15507
2007-05-08,48453,1915,0,19839,10998,1291,16559
2007-05-15,55705,2079,0,19944,11201,2046,18157
2007-05-22,51613,1850,0,18141,11561,2044,16025
2007-05-29,42577,1885,0,19682,11345,2307,17666
2007-06-05,42818,1867,0,22297,11869,2497,19593
2007-06-12,48002,1745,0,24478,13309,2269,20112
2007-06-19,49534,2921,0,23478,12666,2167,20056
2007-06-26,49542,1961,0,23623,12231,1196,18653
2007-07-03,49924,1961,0,25070,14160,1665,17641
2007-07-10,55619,2066,0,26436,15466,1887,17837
2007-07-17,61073,2297,0,27416,17345,5608,20110
2007-07-24,63478,1937,0,32729,18133,1887,20511
2007-07-31,70351,1925,226,32787,19887,5721,20809
2007-08-07,81959,1933,226,30807,18378,15154,27557
2007-08-14,84569,1450,0,32573,18604,16743,29337
2007-08-21,84509,869,0,37186,18487,10702,28745
2007-08-28,62933,791,0,30253,15195,4044,20284
2007-09-04,64514,1029,0,30001,15485,5947,21312
2007-09-11,69634,1029,0,30760,16484,7177,21861
2007-09-18,71878,1029,0,30604,14244,6930,23079
2007-09-25,68704,1023,0,32781,13028,7758,30276
2007-10-02,76269,1022,0,35719,13047,9599,36041
2007-10-09,79984,1079,0,37155,14611,10615,37630
2007-10-16,86208,1079,0,37088,14626,10029,36658
2007-10-23,73597,1279,0,35507,14645,4116,30818
2007-10-30,73898,1279,206,36699,14594,3977,31541
2007-11-06,77811,1279,0,36559,15364,10626,36933
2007-11-13,81912,1279,0,36012,16076,16536,38883
2007-11-20,91566,1279,760,37019,18396,17043,37978
2007-11-27,58570,901,760,30506,15213,5804,22844
2007-12-04,59689,901,380,31006,15847,5369,23430
2007-12-11,62050,901,0,32080,14049,2214,23460
2007-12-18,65878,1107,0,31608,15917,3011,22019
2008-01-08,59757,969,0,31392,13403,499,20733
2008-01-15,59909,979,261,33530,15797,499,20954
2008-01-22,56108,991,225,27257,13397,499,15959
2008-01-29,54014,991,200,27707,13794,648,16064
2008-02-05,55094,1059,200,27699,14050,702,15611
2008-02-12,57103,1009,200,26721,14026,700,14146
2008-02-19,58991,999,209,26699,13838,982,16381
2008-02-26,48843,999,209,19666,11479,3343,15851
2008-03-04,49905,999,794,19402,11692,3533,15563
2008-03-11,52793,1211,794,18497,11790,3772,14037
2008-03-18,49633,1211,805,16582,12543,3469,9948
2008-03-25,46115,701,419,13272,11720,7007,12735
2008-04-01,47723,701,209,15122,11022,6730,16595
2008-04-08,50971,1337,209,19251,8993,996,19255
2008-04-15,52640,701,0,21773,9145,1015,21754
2008-04-22,47935,701,0,20902,9585,545,19759
2008-04-29,53865,1006,0,23239,9796,1270,22474
2008-05-06,60219,305,701,23538,10914,1336,25901
2008-05-13,67185,1006,0,25226,11205,1428,25982
2008-05-20,75183,1006,0,27818,14285,1747,26739
2008-05-27,56256,1041,0,19347,13138,1251,16463
2008-06-03,56668,1038,0,18786,12716,1512,17203
2008-06-10,57096,1041,0,17636,11011,1533,16229
2008-06-17,59314,1041,836,18655,7981,1283,17066
2008-06-24,45173,1041,607,14821,6072,3917,16839
2008-07-01,48230,1041,578,16535,4882,3610,19867
2008-07-08,48336,1041,710,17874,4404,3189,20765
2008-07-15,52415,1041,249,18387,4826,3202,19840
2008-07-22,40773,705,76,15804,4561,1892,16599
2008-07-29,43562,705,261,16428,5212,936,16115
2008-08-05,47192,705,0,17392,5580,1139,18291
2008-08-12,47016,705,0,14163,6037,3080,16983
2008-08-19,50691,1004,0,14013,7039,2406,21445
2008-08-26,50925,1368,0,23304,7371,2306,24729
2008-09-02,51963,1422,0,23746,7422,2395,25815
2008-09-09,53298,2393,0,23425,3284,1911,29612
2008-09-16,58815,1746,0,18007,3585,4787,21668
2008-09-23,46664,941,0,6354,4825,21415,25057
2008-09-30,46927,655,0,3714,9903,23320,14081
2008-10-07,50194,795,0,4720,10135,24098,15053
2008-10-14,53676,692,934,8355,10908,23016,14358
2008-10-21,57640,717,1538,7572,10653,27636,18187
2008-10-28,43740,647,1195,2469,8095,27642,18597
2008-11-04,43723,200,1826,1976,8152,28858,18553
2008-11-11,44573,200,1826,1441,7806,30428,20639
2008-11-18,49611,332,1034,1997,8062,33689,24341
2008-12-16,21417,0,1020,567,6193,2928,2887
2009-06-02,21309,200,0,3591,3211,5241,10309
2009-06-09,22457,0,0,4649,2474,5889,11283
2009-06-16,24576,0,0,4446,3003,5617,11998
2009-06-30,27016,706,0,4389,4721,8379,13863
2009-07-07,28919,286,0,4771,4328,9579,14701
2009-07-14,32894,1727,0,4471,5388,10918,16662
2009-07-21,38439,2799,0,4817,6173,14462,21150
2009-07-28,36267,2548,0,3584,6349,13742,17414
2009-08-04,38410,2728,0,3229,6494,15953,19430
2009-08-11,40955,3266,0,2326,7722,18501,20470
2009-08-18,41567,1797,0,2542,8495,21507,20634
2009-08-25,37995,777,0,1612,9525,21242,18323
2009-09-01,42255,1134,0,2142,10018,23878,20310
2009-09-08,47153,797,0,2390,10752,25175,21344
2009-09-15,54366,755,4343,3352,10717,26868,19049
2009-09-22,46867,1130,4343,2367,8109,25887,20217
2009-09-29,43154,885,4343,2313,7570,25190,18012
2009-10-06,48581,1122,4343,1712,10289,26874,17979
2009-10-13,58269,1964,4343,2000,13377,32249,24010
2009-10-20,58861,821,0,1512,16448,31502,24300
2009-10-27,50369,858,0,1664,11103,25779,21950
2009-11-03,55936,857,350,1529,6283,28014,25405
2009-11-09,59863,842,0,1711,9977,27250,21782
2009-11-17,64048,337,0,2684,8717,27453,23109
2009-11-24,57676,644,0,3584,8750,27216,24558
2009-12-01,61905,1301,0,3545,10129,27886,23725
2009-12-08,62017,1290,4765,3302,10065,28903,20192
2009-12-15,62312,971,4765,3274,11034,26274,17851
2009-12-22,53120,985,4765,1623,12755,29163,18108
2009-12-29,52718,985,4765,1341,11366,28834,19121
2010-01-05,61257,1099,3118,398,12852,33964,26038
2010-01-12,63142,1126,0,1318,12844,33987,28084
2010-01-19,63463,1294,0,2015,15454,31458,23901
2010-01-26,47810,918,108,1912,8663,22839,20120
2010-02-02,47960,0,0,1794,11794,20196,13672
2010-02-09,48999,0,0,4744,7467,13336,13213
2010-02-16,46713,0,0,4541,7037,13753,13359
2010-02-23,43207,0,0,3884,11338,15891,13820
2010-03-02,46394,0,0,5513,13750,17455,15777
2010-03-09,60569,1080,254,8627,16686,17605,17142
2010-03-16,77309,1820,254,9624,16999,25102,26929
2010-03-23,57147,1320,254,2820,19283,34521,26787
2010-03-30,61874,1320,273,2878,20042,33735,23914
2010-04-06,67613,1320,285,2866,21679,36019,23641
2010-04-13,69127,1320,290,4528,22303,32780,24449
2010-04-20,79909,1320,222,4735,21426,34915,23274
2010-04-27,68834,1100,217,1015,21508,36366,15179
2010-05-04,75048,700,0,4486,24556,35918,14606
2010-05-11,87814,419,0,12709,20613,30568,19802
2010-05-18,96971,455,260,14923,22106,30222,21082
2010-05-25,77090,273,0,8321,17886,28903,14968
2010-06-01,82619,0,0,6217,17732,32034,15997
2010-06-08,86728,0,0,4884,18250,35884,18130
2010-06-15,90375,0,0,3234,20371,42228,21234
2010-06-22,70890,200,0,259,20307,48368,24645
2010-06-29,75447,200,0,305,22239,51379,25153
2010-07-06,76674,200,0,417,22668,51977,25322
2010-07-13,86615,200,3050,2038,27946,60239,28176
2010-07-20,96183,200,1993,2068,32759,65457,29620
2010-07-27,84826,200,0,1185,29088,56893,28337
2010-08-03,93493,916,0,0,31085,63018,31238
2010-08-10,100370,1008,0,0,33035,67678,32743
2010-08-17,105469,1008,0,15,34754,70238,30672
2010-08-24,95220,1011,5,0,33115,66950,32575
2010-08-31,99473,1431,74,0,31568,70656,37679
2010-09-07,109296,641,106,892,34449,74627,45612
2010-09-14,125941,764,115,1231,39533,79493,41423
2010-09-21,112535,1075,148,478,37733,77809,39376
2010-09-28,114567,671,375,536,38570,82474,38108
2010-10-05,114994,671,190,925,37811,81675,39525
2010-10-12,129842,671,675,218,43452,87877,41330
2010-10-19,134936,671,686,2051,40059,86213,44803
2010-10-26,128289,480,733,1020,31792,79586,45173
2010-11-02,144288,2131,440,1382,32947,77068,45933
2010-11-09,147291,2164,627,1699,32606,70649,39906
2010-11-16,167743,3537,442,2572,33598,77065,49352
2010-11-23,149160,1265,863,1908,41941,74435,31225
2010-11-30,147299,4725,456,1394,42261,65549,25448
2010-12-07,149231,5125,363,893,43684,65746,25167
2010-12-14,151503,6859,222,1807,40154,59490,29847
2010-12-21,155998,4881,261,3021,40352,56506,24427
2010-12-28,141787,213,480,1608,35639,65368,29366
2011-01-04,149085,2051,514,1337,37758,71847,35316
2011-01-11,148913,3223,555,3373,38688,64994,33100
2011-01-18,174006,3208,1301,6186,43865,69121,34356
2011-01-25,151215,3208,986,4318,30968,67771,43885
2011-02-01,167409,1888,1082,6423,31093,67691,47114
2011-02-08,179950,5918,1963,12293,35390,66769,48665
2011-02-15,178591,6479,1862,12263,33498,60903,45738
2011-02-22,162568,5358,2090,6464,25984,58607,39038
2011-03-01,160389,5376,2358,11264,26824,58727,43164
2011-03-08,181031,5724,2358,11715,29380,70989,55680
2011-03-15,194201,6299,4834,10450,28475,69537,55479
2011-03-22,170219,8087,602,7704,15449,56756,57127
2011-03-29,184059,8398,1546,13797,23808,64812,66923
2011-04-05,181288,9692,1947,16356,30657,58234,59259
2011-04-12,188985,10811,2368,16777,33443,57685,55408
2011-04-19,214920,11300,2305,19200,37889,73097,69334
2011-04-26,193067,11044,2609,14836,39927,69819,62874
2011-05-03,215008,11697,2813,12702,41647,69064,64343
2011-05-10,228037,14048,2809,11819,38629,71656,71235
2011-05-17,244146,14688,2600,13344,38557,69307,69389
2011-05-24,235635,13528,2748,12081,36679,80002,72963
2011-05-31,242356,17430,3014,10695,39818,79194,71096
2011-06-07,244662,16417,3160,12025,34627,81680,77914
2011-06-14,248976,10469,2609,13494,36728,89220,80236
2011-06-21,215571,9151,2056,8022,25617,74536,74084
2011-06-28,212119,10111,2042,8136,27534,78176,74548
2011-07-05,212295,13231,3029,14648,48203,71265,56208
2011-07-12,230043,8579,3007,10167,49003,81409,56919
2011-07-19,227512,7260,1622,10635,28737,63342,60990
2011-07-26,220533,6621,1360,8029,24151,57021,53996
2011-08-02,213494,7146,1414,12756,24518,39293,51890
2011-08-09,199055,4636,2638,22487,24068,26415,45601
2011-08-16,199173,5003,4177,17625,11514,24068,52802
2011-08-23,166998,4707,1586,23681,17845,35072,58270
2011-08-30,162292,4932,1086,22888,17783,38633,57251
2011-09-06,166198,4741,766,22043,20441,39730,53363
2011-09-13,165892,4367,743,17531,23062,44469,43491
2011-09-20,178964,4399,638,20734,17136,40525,49312
2011-09-27,149240,4115,652,15100,12859,30543,40091
2011-10-04,146895,4507,1806,17948,12286,27505,34589
2011-10-11,154210,4140,1084,18879,18722,37641,40923
2011-10-18,148583,4016,834,18870,20555,35976,36634
2011-10-25,133700,4446,834,11704,11198,35286,41366
2011-11-01,146654,5856,905,11060,14204,37187,40388
2011-11-08,138086,8294,520,10161,10772,42406,50647
2011-11-15,147703,9001,515,10576,14161,38622,45317
2011-11-22,133931,8611,500,13363,11745,37738,49856
2011-11-29,138609,7857,500,13917,10801,38062,50681
2011-12-06,148494,9014,776,14380,19107,38832,47137
2011-12-13,150430,10426,860,11258,19073,39151,42854
2011-12-20,156992,9138,1238,15715,24770,38801,37633
2011-12-27,127438,8428,1419,9521,22442,32402,25648
2012-01-03,128268,8472,1508,9779,24961,34158,24189
