report_date,open_interest_all,asset_mgr_positions_long,asset_mgr_positions_short,lev_money_positions_long,lev_money_positions_short,dealer_positions_long_all,dealer_positions_short_all
2006-06-13,2042655,370566,169268,224534,388325,296029,691304
2006-06-20,1293970,411550,170026,115509,347742,164996,436681
2006-06-27,1298945,392565,168491,120141,364186,187510,406388
2006-07-03,1332529,392524,158639,130095,348261,210634,451410
2006-07-11,1344585,395990,153125,135915,381536,231335,436038
2006-07-18,1403408,391483,170529,129167,432329,293247,425009
2006-07-25,1378698,392016,148134,121697,390705,284058,440658
2006-08-01,1386714,381184,147477,97063,386479,325383,436576
2006-08-08,1465662,385521,142272,127708,456097,341564,457909
2006-08-15,1503215,399801,138861,169740,459880,294015,505942
2006-08-22,1547766,413560,132619,176854,490050,307101,523679
2006-08-29,1581886,413535,130258,192097,465518,287255,569153
2006-09-05,1672748,437980,123748,224934,539306,327564,594443
2006-09-12,1998218,440489,110332,205780,519882,307195,582452
2006-09-19,1303906,494270,92648,128972,341274,121650,531359
2006-09-26,1428199,500258,95179,202721,365335,128295,608073
2006-10-03,1453775,484127,93701,257185,384223,121373,635141
2006-10-10,1499138,481844,89362,251993,369325,118650,674743
2006-10-17,1557473,484989,93492,290662,382268,139501,710031
2006-10-24,1610999,486476,108590,322153,398945,142281,702305
2006-10-31,1649310,471874,148870,354097,368568,162367,739500
2006-11-07,1697597,465642,135205,361475,391146,168227,760141
2006-11-14,1738166,467256,134182,393114,398080,164919,793050
2006-11-21,1785579,496351,131757,381106,361217,182624,842279
2006-11-28,1808800,503950,124140,398671,370970,207971,843273
2006-12-05,1961863,557460,118265,402452,436099,261464,897777
2006-12-12,2361730,584965,118134,419071,469476,244918,944375
2006-12-19,1504936,540694,130463,268201,270626,181591,725314
2006-12-26,1489606,542970,130612,226264,243295,188394,759449
2007-01-03,1518364,492273,140645,252670,231765,197350,754932
2007-01-09,1584567,531633,160183,275934,229320,196199,770025
2007-01-16,1647575,516768,151800,318204,260480,175989,768828
2007-01-23,1664762,517719,161030,294823,307036,218621,736042
2007-01-30,1669513,544928,163746,235547,339314,255482,703998
2007-02-06,1726207,540418,156192,286847,351097,278491,712480
2007-02-13,1783100,533224,158787,284229,365288,293503,745587
2007-02-20,1869638,558603,158395,317607,393220,297771,784191
2007-02-27,2006422,563166,142317,296872,459396,329888,761437
2007-03-06,2101358,593474,170019,251047,496332,422680,699719
2007-03-13,2700111,594239,169975,272532,642050,568221,691023
2007-03-20,1696188,588140,172050,144574,576111,262358,462856
2007-03-27,1741510,576060,135112,155688,622660,253340,495010
2007-04-03,1873931,575275,125151,182709,665040,305876,543785
2007-04-10,1887175,578315,125025,184777,642058,323100,575213
2007-04-17,1945192,574317,121975,173198,624393,398595,588600
2007-04-24,2035415,609239,121420,244912,698865,412668,636030
2007-05-01,1993806,585266,126608,274845,623029,372551,679301
2007-05-08,2008221,590538,111052,294266,656585,352525,692816
2007-05-15,2010006,608108,95302,298193,649070,314156,698183
2007-05-22,2160963,596479,79468,347615,763423,423319,702931
2007-05-29,2200527,611120,63571,329693,805236,436026,674494
2007-06-05,2405114,632715,68526,363121,864988,554877,731715
2007-06-12,2861518,628622,72903,339060,865570,578994,659616
2007-06-19,1577585,608705,77371,253067,498660,234374,527864
2007-06-26,1642944,598174,69352,259791,518008,227695,534889
2007-07-03,1619924,581635,75666,235564,565773,319861,476764
2007-07-10,1682680,602154,78416,228350,596475,389332,463307
2007-07-17,1702051,598897,83270,243026,630010,375685,459003
2007-07-24,1787275,662606,88770,233566,653187,403260,474207
2007-07-31,1981173,606221,97817,266652,696867,538442,549020
2007-08-07,2111980,616781,118462,305112,716016,585178,562453
2007-08-14,2121969,607635,132430,367560,758454,608475,595115
2007-08-21,2085581,598078,132895,339620,703848,602120,629892
2007-08-28,2115440,614980,133456,316344,682058,584253,646343
2007-09-04,2086435,599927,159294,281479,663385,658615,603374
2007-09-11,2264864,612934,153446,276309,686302,710110,576835
2007-09-18,2851893,630573,127219,267336,691681,684069,542787
2007-09-25,1747463,648476,129464,223135,583923,229828,547514
2007-10-02,1865981,646663,109582,278703,651207,266414,614426
2007-10-09,1950942,667158,105704,295326,670078,283234,660642
2007-10-16,2000172,720684,121733,282515,651805,265672,693370
2007-10-23,1977779,728381,123486,234055,654154,300586,675243
2007-10-30,2026594,731558,112149,244289,679610,280424,704065
2007-11-06,2036619,743025,113112,245320,722017,297149,643169
2007-11-13,2055383,759766,127840,255042,672815,284439,684757
2007-11-20,2149374,810716,176915,255646,657057,288190,710580
2007-11-27,2150535,820176,166106,268985,646930,257527,712964
2007-12-04,2164011,793331,179526,244555,677355,238174,653867
2007-12-11,2342983,809402,198128,265317,700211,231864,658240
2007-12-18,2757399,797995,125874,341704,673189,291705,743606
2007-12-24,1747039,796647,126643,305666,525668,153509,606409
2007-12-31,1725583,815754,125154,330038,543339,129725,580779
2008-01-08,1993208,837411,131696,405046,661490,155513,648608
2008-01-15,2139579,844136,129201,439450,632130,199078,817263
