bucket,depth,p2t,t2r,uw,peak,trough_date
0–5%,4.560807744952267,48,18,66,1928-01-03,1928-02-20
0–5%,0.4444440205891964,1,2,3,1928-03-12,1928-03-13
0–5%,0.26809242940074585,1,1,2,1928-03-21,1928-03-22
0–5%,0.839894245774242,2,2,4,1928-03-26,1928-03-28
0–5%,1.9190914214525123,3,9,12,1928-03-30,1928-04-02
0–5%,0.15432451554180382,1,1,2,1928-04-11,1928-04-12
0–5%,2.939685439244133,10,7,17,1928-04-13,1928-04-23
0–5%,0.9799155533301573,3,4,7,1928-05-07,1928-05-10
10–15%,10.273974200590919,29,77,106,1928-05-14,1928-06-12
0–5%,0.6169870083032603,1,1,2,1928-09-05,1928-09-06
0–5%,0.8060695830440001,3,2,5,1928-09-07,1928-09-10
0–5%,0.09452012243807983,1,4,5,1928-09-12,1928-09-13
0–5%,0.7032330945466403,1,3,4,1928-09-17,1928-09-18
0–5%,1.493232339091155,14,3,17,1928-09-24,1928-10-08
0–5%,0.683058400655101,3,2,5,1928-10-19,1928-10-22
0–5%,1.5461580542372233,2,3,5,1928-10-24,1928-10-26
0–5%,1.4545440673828125,2,5,7,1928-10-29,1928-10-31
0–5%,1.484940118801037,1,2,3,1928-11-20,1928-11-21
5–10%,8.113678603751707,10,21,31,1928-11-30,1928-12-10
0–5%,2.775545121146561,5,13,18,1929-01-03,1929-01-08
0–5%,0.6344165415079428,1,1,2,1929-01-23,1929-01-24
0–5%,0.5102007971040656,3,3,6,1929-01-25,1929-01-28
5–10%,5.766252950153095,14,28,42,1929-02-01,1929-02-15
5–10%,6.633433846998605,11,37,48,1929-03-15,1929-03-26
5–10%,8.229048188217769,24,21,45,1929-05-03,1929-05-27
0–5%,0.37850257827763967,1,1,2,1929-06-18,1929-06-19
0–5%,0.5992247841559828,2,2,4,1929-07-08,1929-07-10
0–5%,0.42001726694629316,3,1,4,1929-07-12,1929-07-15
0–5%,0.20891179448769837,1,1,2,1929-07-17,1929-07-18
0–5%,1.1474267075097466,3,1,4,1929-07-19,1929-07-22
0–5%,2.2545945898383324,6,2,8,1929-07-23,1929-07-29
0–5%,3.9918820246777065,7,5,12,1929-08-02,1929-08-09
0–5%,0.42373229081520414,1,1,2,1929-08-20,1929-08-21
0–5%,0.32164805718536416,5,1,6,1929-08-23,1929-08-28
0–5%,2.51413967546541,2,1,3,1929-09-03,1929-09-05
0–5%,2.293432434766185,4,6,10,1929-09-06,1929-09-10
30–·%,86.18957937515596,989,8148,9137,1929-09-16,1932-06-01
0–5%,1.223608834461154,3,5,8,1954-09-28,1954-10-01
0–5%,3.2966974105353875,23,6,29,1954-10-06,1954-10-29
0–5%,0.3351633497087114,1,3,4,1954-11-04,1954-11-05
0–5%,0.20870510707652334,3,1,4,1954-11-12,1954-11-15
0–5%,0.5649789930764926,1,5,6,1954-11-17,1954-11-18
0–5%,1.6208323327343566,5,5,10,1954-11-26,1954-12-01
0–5%,1.632301617160803,7,2,9,1954-12-07,1954-12-14
0–5%,2.3663655831028474,10,4,14,1954-12-17,1954-12-27
5–10%,5.9047569223001695,14,18,32,1955-01-03,1955-01-17
0–5%,1.352813886324078,1,2,3,1955-02-07,1955-02-08
