session,sha,snap_et,n,n_big,volratio,gap10_all,pass_all,cov_gap_all,rgap10_all,rpass_all,cov_recon_all,gap10_big,pass_big,cov_gap_big,rgap10_big,rpass_big,cov_recon_big,rhits_big,ok,why,snapshots,rejected
2026-03-13,7679b2a4,2026-03-14 16:14,2485,2485,0.9154,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,0,reconstruction inputs missing (cov 0.0),1,1
2026-03-16,4314f602,2026-03-16 18:03,2483,2483,0.924,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,0,reconstruction inputs missing (cov 0.0),1,1
2026-03-17,169aef64,2026-03-17 18:03,2490,2490,0.88,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,0,reconstruction inputs missing (cov 0.0),1,1
2026-03-18,b9dd40ba,2026-03-18 18:00,2473,2473,0.9268,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,0,reconstruction inputs missing (cov 0.0),1,1
2026-03-19,dc32b541,2026-03-19 17:57,2478,2478,1.0066,0,0,0.0,1,1,0.9976,0,0,0.0,1,1,0.9976,TWO,1,,1,0
2026-03-20,b2eaac6a,2026-03-20 17:55,2461,2461,1.7054,0,0,0.0,4,3,0.998,0,0,0.0,4,3,0.998,"FLY,PL,YSS",1,,1,0
2026-03-23,38791563,2026-03-23 17:59,2483,2483,0.9888,0,0,0.0,2,2,0.9984,0,0,0.0,2,2,0.9984,"AAPG,APGE",1,,1,0
2026-03-24,56c90859,2026-03-24 18:02,2483,2483,0.8847,0,0,0.0,0,0,0.998,0,0,0.0,0,0,0.998,,1,,1,0
2026-03-25,95391a6b,2026-03-25 18:04,2490,2490,0.8571,0,0,0.0,3,3,0.998,0,0,0.0,3,3,0.998,"BRZE,CHWY,SRPT",1,,1,0
2026-03-26,f8c3a733,2026-03-26 17:54,2480,2480,0.8642,0,0,0.0,4,4,0.9984,0,0,0.0,4,4,0.9984,"KOD,NAVN,OLPX,PGEN",1,,1,0
2026-03-27,fd4164c1,2026-03-27 17:59,2466,2466,0.8815,0,0,0.0,4,4,0.9988,0,0,0.0,4,4,0.9988,"ADMA,AGX,LGN,U",1,,1,0
2026-03-30,281ea99a,2026-03-30 18:05,2466,2466,0.9425,0,0,0.0,4,4,0.9984,0,0,0.0,4,4,0.9984,"CENX,RZLV,SGML,UTHR",1,,1,0
2026-03-31,2b6a825c,2026-03-31 18:04,2481,2481,1.1009,0,0,0.0,7,7,0.9984,0,0,0.0,7,7,0.9984,"AEHR,AGIO,APLS,CNTA,ESBA,SRRK,WVE",1,,1,0
2026-04-01,0ef4e13c,2026-04-01 18:06,2489,2489,0.9402,0,0,0.0,4,4,0.9984,0,0,0.0,4,4,0.9984,"AAPG,FORTY,NCNO,TH",1,,1,0
2026-04-02,8c408ac7,2026-04-03 17:59,2501,2501,0.8234,0,0,0.0,2,2,0.998,0,0,0.0,2,2,0.998,"AKO-A,GSAT",1,,2,0
2026-04-06,102b8b55,2026-04-06 18:02,2498,2498,0.7086,0,0,0.0,3,2,0.9988,0,0,0.0,3,2,0.9988,"FUBO,SLNO",1,,1,0
2026-04-07,71f05e08,2026-04-07 18:07,2507,2507,1.0544,0,0,0.0,1,1,0.7894,0,0,0.0,1,1,0.7894,HUM,0,reconstruction inputs missing (cov 0.7894),1,1
2026-04-08,272890b5,2026-04-08 18:09,2513,2513,1.0636,0,0,0.0,46,35,0.9988,0,0,0.0,46,35,0.9988,"AAL,ACMR,AEHR,ALGT,ALK,APLD,AU,AXTA,AXTI,BTDR,CCL,CRML,CUK,DAL,EOSE,GFI,HMY,HOOD,JBLU,KC,LEVI,LIF,LUV,MT,NVTS,OSCR,PSIX,QBTS,REAL,RPM,RYAAY,SBSW,SIM,UAL,UCTT",1,,1,0
2026-04-09,eda97fe5,2026-04-09 18:08,2517,2517,0.8981,0,0,0.0,2,2,0.9996,0,0,0.0,2,2,0.9996,"STAA,WSR",1,,1,0
2026-04-10,1eccb673,2026-04-10 18:05,2517,2517,0.8269,0,0,0.0,1,1,0.9996,0,0,0.0,1,1,0.9996,OGN,1,,1,0
2026-04-13,54afe372,2026-04-13 18:11,2529,2529,0.874,0,0,0.0,3,3,0.9996,0,0,0.0,3,3,0.9996,"IDYA,RVMD,SYRE",1,,1,0
2026-04-14,72141264,2026-04-14 18:24,2536,2536,0.9503,0,0,0.0,5,5,0.9992,0,0,0.0,5,5,0.9992,"AVNS,BE,CRDO,EVO,TVTX",1,,1,0
2026-04-15,33b5fdb7,2026-04-15 18:11,2540,2540,0.9816,0,0,0.0,0,0,0.9988,0,0,0.0,0,0,0.9988,,1,,1,0
2026-04-16,b4f34a80,2026-04-16 18:09,2543,2543,0.953,0,0,0.0,5,5,0.9988,0,0,0.0,5,5,0.9988,"AEHR,CDNA,NEXA,NN,ONTO",1,,1,0
2026-04-17,eaadebd7,2026-04-17 18:08,2560,2560,1.129,0,0,0.0,5,4,0.9984,0,0,0.0,5,4,0.9984,"ALV,CRML,CRVS,UMC",1,,1,0
2026-04-20,26a1c982,2026-04-20 18:11,2561,2561,0.9328,0,0,0.0,6,6,0.998,0,0,0.0,6,6,0.998,"ATAI,BLD,DFTX,GHRS,NKTR,SILA",1,,1,0
2026-04-21,b35df8ba,2026-04-21 18:11,2547,2547,1.0259,0,0,0.0,1,0,0.998,0,0,0.0,1,0,0.998,,1,,1,0
2026-04-22,4f1a4231,2026-04-22 18:24,2555,2555,0.9742,0,0,0.0,6,6,0.9984,0,0,0.0,6,6,0.9984,"HCSG,INBX,MANH,MAS,POET,XNDU",1,,1,0
2026-04-23,d63c6849,2026-04-23 18:10,2549,2549,1.0465,0,0,0.0,6,6,0.9976,0,0,0.0,6,6,0.9976,"GSHD,MBLY,QS,TXN,URI,WST",1,,1,0
2026-04-24,3d910c84,2026-04-24 18:11,2550,2550,0.961,0,0,0.0,9,9,0.9976,0,0,0.0,9,9,0.9976,"AMD,CHE,INTC,MXL,OGN,PDFS,POET,WKC,XNDU",1,,1,0
2026-04-27,423a6eda,2026-04-27 18:28,2552,2552,0.9648,0,0,0.0,4,4,0.9976,0,0,0.0,4,4,0.9976,"MANE,OGN,ORKA,PLBL",1,,1,0
