date,usd_fix
1968-01-31,1.96
1968-02-29,2.084
1968-03-29,2.278
1968-04-30,2.397
1968-05-31,2.483
1968-06-28,2.502
1968-07-31,2.285
1968-08-30,2.239
1968-09-30,2.171
1968-10-31,1.933
1968-11-29,1.968
1968-12-31,1.947
1969-01-31,2.001
1969-02-28,1.825
1969-03-31,1.825
1969-04-30,1.776
1969-05-30,1.772
1969-06-30,1.564
1969-07-31,1.629
1969-08-29,1.674
1969-09-30,1.876
1969-10-31,1.947
1969-11-28,1.887
1969-12-31,1.791
1970-01-30,1.912
1970-02-27,1.899
1970-03-31,1.878
1970-04-30,1.724
1970-05-29,1.631
1970-06-30,1.607
1970-07-31,1.768
1970-08-28,1.837
1970-09-30,1.701
1970-10-30,1.783
1970-11-30,1.653
1970-12-31,1.633
1971-01-29,1.593
1971-02-26,1.587
1971-03-31,1.686
1971-04-30,1.689
1971-05-28,1.601
1971-06-30,1.575
1971-07-30,1.592
1971-08-31,1.502
1971-09-30,1.376
1971-10-29,1.307
1971-11-30,1.332
1971-12-31,1.371
1972-01-31,1.499
1972-02-29,1.47
1972-03-30,1.562
1972-04-28,1.571
1972-05-31,1.55
1972-06-30,1.562
1972-07-31,1.828
1972-08-31,1.908
1972-09-29,1.739
1972-10-31,1.798
1972-11-30,1.852
1972-12-29,2.031
1973-01-31,2.011
1973-02-28,2.43
1973-03-30,2.197
1973-04-30,2.147
1973-05-31,2.551
1973-06-29,2.666
1973-07-31,2.76
1973-08-31,2.596
1973-09-28,2.697
1973-10-31,2.835
1973-11-30,2.924
1973-12-31,3.256
1974-01-31,3.867
1974-02-28,5.685
1974-03-29,5.348
1974-04-30,5.617
1974-05-31,4.92
1974-06-28,4.613
1974-07-31,4.789
1974-08-30,4.116
1974-09-30,4.245
1974-10-31,4.859
1974-11-29,4.455
1974-12-31,4.473
1975-01-31,4.15
1975-02-28,4.424
1975-03-27,4.278
1975-04-30,4.426
1975-05-30,4.53
1975-06-30,4.571
1975-07-31,5.003
1975-08-29,4.634
1975-09-30,4.441
1975-10-31,4.186
1975-11-28,4.226
1975-12-31,4.179
1976-01-30,4.01
1976-02-27,4.162
1976-03-31,4.106
1976-04-30,4.43
1976-05-28,4.62
1976-06-30,4.833
1976-07-30,4.543
1976-08-31,4.105
1976-09-30,4.39
1976-10-29,4.271
1976-11-30,4.28
1976-12-31,4.355
1977-01-31,4.446
1977-02-28,4.733
1977-03-31,4.829
1977-04-29,4.713
1977-05-31,4.561
1977-06-30,4.507
1977-07-29,4.52
1977-08-31,4.448
1977-09-30,4.645
1977-10-31,4.852
1977-11-30,4.742
1977-12-30,4.756
1978-01-31,4.95
1978-02-28,4.969
1978-03-31,5.345
1978-04-28,4.998
1978-05-31,5.466
1978-06-30,5.277
1978-07-31,5.573
1978-08-31,5.531
1978-09-29,5.668
1978-10-31,6.264
1978-11-30,5.908
1978-12-29,6.021
1979-01-31,6.711
1979-02-28,7.689
1979-03-30,7.453
1979-04-30,7.651
1979-05-31,8.772
1979-06-29,8.536
1979-07-31,9.083
1979-08-31,10.32
1979-09-28,16.25
1979-10-31,16.6
1979-11-30,19.0
1979-12-31,32.2
1980-01-31,35.28
1980-02-29,35.52
1980-03-31,13.494
1980-04-30,13.834
1980-05-30,13.7
1980-06-30,16.75
1980-07-31,15.78
1980-08-29,16.06
1980-09-30,20.501
1980-10-31,18.875
1980-11-28,18.422
1980-12-31,15.5
1981-01-30,13.15
1981-02-27,12.53
1981-03-31,12.33
1981-04-30,11.065
1981-05-29,10.585
1981-06-30,8.3
1981-07-31,8.51
1981-08-28,9.154
1981-09-30,8.95
1981-10-30,9.12
1981-11-30,8.266
1981-12-31,8.154
1982-01-29,8.28
1982-02-26,7.84
1982-03-31,7.06
1982-04-30,7.06
1982-05-28,6.356
1982-06-30,5.73
1982-07-30,6.635
1982-08-31,7.73
1982-09-30,8.193
1982-10-29,9.87
1982-11-30,9.54
1982-12-31,10.87
1983-01-31,13.82
1983-02-28,11.7
1983-03-31,10.5
1983-04-29,11.957
1983-05-31,13.545
1983-06-30,11.598
1983-07-29,12.145
1983-08-31,11.99
1983-09-30,11.24
1983-10-31,8.74
1983-11-30,9.81
1983-12-30,8.91
1984-01-31,8.43
1984-02-29,9.64
1984-03-30,9.65
1984-04-30,8.962
1984-05-31,9.12
1984-06-29,8.392
1984-07-31,7.11
1984-08-31,7.445
1984-09-28,7.435
1984-10-31,7.195
1984-11-30,7.051
1984-12-31,6.288
1985-01-31,6.33
1985-02-28,5.715
1985-03-29,6.66
1985-04-30,6.322
1985-05-31,6.085
1985-06-28,6.11
1985-07-31,6.335
1985-08-30,6.247
1985-09-30,6.054
1985-10-31,6.145
1985-11-29,6.15
1985-12-31,5.8
1986-01-31,6.103
1986-02-28,5.667
1986-03-27,5.618
1986-04-30,5.108
1986-05-30,5.205
1986-06-30,5.045
1986-07-31,5.045
1986-08-29,5.17
1986-09-30,5.52
1986-10-31,5.607
1986-11-28,5.383
1986-12-31,5.282
1987-01-30,5.55
1987-02-27,5.468
1987-03-31,6.305
1987-04-30,8.125
1987-05-29,7.685
1987-06-30,7.142
1987-07-31,8.32
1987-08-28,7.547
1987-09-30,7.643
1987-10-30,6.88
1987-11-30,7.254
1987-12-31,6.702
1988-01-29,6.55
1988-02-29,6.138
1988-03-31,6.752
1988-04-29,6.463
1988-05-31,6.6
1988-06-30,6.65
1988-07-29,6.8
1988-08-31,6.459
1988-09-30,6.169
1988-10-31,6.308
1988-11-30,6.069
1988-12-30,6.05
1989-01-31,5.848
1989-02-28,5.858
1989-03-31,5.766
1989-04-28,5.639
1989-05-31,5.22
1989-06-30,5.174
1989-07-31,5.146
1989-08-31,5.069
1989-09-29,5.28
1989-10-31,5.233
1989-11-30,5.566
1989-12-29,5.217
1990-01-31,5.205
1990-02-28,5.12
1990-03-30,4.966
1990-04-30,4.936
1990-05-31,5.07
1990-06-29,4.84
1990-07-31,4.855
1990-08-31,4.83
1990-09-28,4.795
1990-10-31,4.223
1990-11-30,4.087
1990-12-31,4.193
1991-01-31,3.826
1991-02-28,3.679
1991-03-28,3.836
1991-04-30,3.934
1991-05-31,4.133
1991-06-28,4.454
1991-07-31,4.068
1991-08-30,3.815
1991-09-30,4.135
1991-10-31,4.09
1991-11-29,4.065
1991-12-31,3.86
1992-01-31,4.131
1992-02-28,4.119
1992-03-31,4.12
1992-04-30,3.982
1992-05-29,4.058
1992-06-30,4.026
1992-07-31,3.953
1992-08-28,3.719
1992-09-30,3.766
1992-10-30,3.764
1992-11-30,3.733
1992-12-31,3.67
1993-01-29,3.708
1993-02-26,3.567
1993-03-31,3.89
1993-04-30,4.299
1993-05-28,4.714
1993-06-30,4.575
1993-07-30,5.3
1993-08-31,4.843
1993-09-30,4.03
1993-10-29,4.403
1993-11-30,4.467
1993-12-31,5.115
1994-01-31,5.058
1994-02-28,5.243
1994-03-31,5.735
1994-04-29,5.28
1994-05-31,5.495
1994-06-30,5.251
1994-07-29,5.293
1994-08-31,5.358
1994-09-30,5.62
1994-10-31,5.345
1994-11-30,5.075
1994-12-30,4.85
1995-01-31,4.698
1995-02-28,4.49
1995-03-31,5.16
1995-04-28,5.829
1995-05-31,5.295
1995-06-30,5.328
1995-07-31,5.098
1995-08-31,5.323
1995-09-29,5.528
1995-10-31,5.36
1995-11-30,5.18
1995-12-29,5.142
1996-01-31,5.52
1996-02-29,5.523
1996-03-29,5.518
1996-04-30,5.278
1996-05-31,5.335
