y,cyc,A,B,S
1928,0,-0.07329132992543419,0.2628467824832361,0.30009361724014516
1929,1,-0.19359532522838208,-0.10576923798334892,-0.31754505013756706
1930,2,-0.34897718721635795,-0.134267329231884,-0.23635428087309418
1931,3,-0.3974121843972531,-0.5780952544439406,-0.5351521560895709
1932,0,0.4161849830474744,0.6139052482275906,0.3535979254863295
1933,1,-0.062244959028497804,0.06249996732201457,0.007276475640015212
1934,2,0.39934714296699414,0.1721777875017998,0.16421289035034947
1935,3,0.3553655342537798,0.17684381892348555,0.29268299166648104
1936,0,-0.3390705532952374,-0.10308680546876958,-0.03990032795930354
1937,1,0.14149297708300845,-0.04304631683555704,-0.15743438814669042
1938,2,-0.07541696626033045,-0.1709924167606145,-0.1325879185617007
1939,3,-0.15372549318799789,-0.23010919496793214,-0.23369566786781748
1940,0,-0.10472660967895464,-0.11101078977488987,-0.0888066605811485
1941,1,-0.02277435512462722,-0.13451511379850367,-0.18387412699415928
1942,2,0.24788138311473085,0.30274271917911566,0.38452917890566507
1943,3,0.08913414384857798,0.08892612912398135,0.07361450607243625
1944,0,0.3245749571454566,0.1714730960520261,0.174218711641152
1945,1,-0.1441073162958354,0.0989922936109251,0.13533380294834285
1946,2,0.04567144327263062,0.009290003062895735,0.019436994662875406
1947,3,0.03846154802601842,0.08279429041480202,0.10422163190033062
1948,0,0.02510983119066923,-0.1520958562567314,-0.09636249020612386
1949,1,0.20889982058191814,0.09197529018188799,0.13397436547953379
1950,2,0.14979552071447966,0.0787321552952378,0.07160994459970915
1951,3,0.0969319843202201,0.08051942304273618,0.06348529248871126
1952,0,-0.006485603847478649,-0.018699227019841502,-0.01388889538176974
1953,1,0.32354134327924977,0.18450929704843588,0.24350784883307863
1954,2,0.30548706124952973,0.2906573638774699,0.2706719608535755
1955,3,0.05604124559056567,0.10998111778933772,0.10449513888720552
1956,0,-0.1417958017115366,0.019561475461254973,0.061073814220150124
1957,1,0.2869156167836111,0.11869444151235964,0.05799820987562354
1958,2,0.10051892494599457,0.13401861255557712,0.1698679823174507
1959,3,-0.05309111404019817,-0.00853512767408382,-0.00035125497446519827
1960,0,0.28039755556122237,0.19836857685126508,0.211394277553824
1961,1,-0.17158181446092624,-0.1872545048447708,-0.16339668385841932
1962,2,0.24016349334010112,0.20553224611342658,0.2409442877539698
1963,3,0.1693449010368684,0.10646079392409624,0.13112712628961276
1964,0,0.08421421447434341,-0.012444207029773224,0.00047574827136331876
1965,1,-0.12382191103320728,-0.08121007503575017,-0.05739714765882398
1966,2,0.11993121732159495,0.12164338730399216,0.21014682968105358
1967,3,0.13309191721144198,0.07216052753177848,0.03197676329747945
1968,0,-0.054517259963482,-0.051911494283506165,-0.050068068202603344
1969,1,-0.1318794343746883,-0.25146680310311775,-0.21400774038881376
1970,2,0.1269294975832702,0.18189431712900883,0.17054076500786142
1971,3,0.2091650332682704,0.15452581752494887,0.08298796178254064
