date,damage,thrust,dd
2009-01-02,3,2,-0.13584462196619795
2009-01-05,3,4,-0.1317915142542705
2009-01-06,4,4,-0.13852577277513412
2009-01-07,4,2,-0.1118734362539594
2009-01-08,4,2,-0.11488025239288568
2009-01-09,4,2,-0.0956140924548109
2009-01-12,3,0,-0.07473632975507671
2009-01-13,3,2,-0.07636014292668414
2009-01-14,2,2,-0.04438539867412128
2009-01-15,3,2,-0.06467633151897922
2009-01-16,3,2,-0.07257800376584012
2009-01-20,2,2,-0.03263700506430667
2009-01-21,3,2,-0.0835356603555939
2009-01-22,2,2,-0.101715991432213
2009-01-23,3,2,-0.10652081713670836
2009-01-26,3,2,-0.11145509570992684
2009-01-27,3,2,-0.12105804853063773
2009-01-28,4,2,-0.1590225213986839
2009-01-29,3,2,-0.17076461275384436
2009-01-30,3,0,-0.1568629668075705
2009-02-02,3,2,-0.15641353092858779
2009-02-03,3,2,-0.18599661322617866
2009-02-04,3,2,-0.17985412228417275
2009-02-05,3,2,-0.2001772786855862
2009-02-06,4,4,-0.22112589418333395
2009-02-09,4,2,-0.222280957472202
2009-02-10,3,2,-0.18210497211926424
2009-02-11,3,2,-0.18855993808490135
2009-02-12,3,2,-0.18996871691560058
2009-02-13,3,2,-0.18178848710340423
2009-02-17,2,2,-0.14273218197923376
2009-02-18,2,0,-0.14191668912332933
2009-02-19,2,0,-0.13147350607691355
2009-02-20,1,0,-0.12144660733536305
2009-02-23,1,0,-0.0898658553498114
2009-02-24,2,2,-0.12495794231461821
2009-02-25,1,2,-0.11553143194743876
2009-02-26,1,0,-0.10135088407860737
2009-02-27,1,0,-0.07966370841555115
2009-03-02,1,0,-0.03465936727475094
2009-03-03,1,0,-0.02843477561935126
2009-03-04,1,2,-0.050976988888890795
2009-03-05,1,2,-0.008819806027041799
2009-03-06,1,0,-0.010023669901070842
2009-03-09,1,0,0.06366302222212594
2009-03-10,1,2,0.002445816877900686
2009-03-11,1,2,0.04072863130673077
2009-03-12,1,2,0.004195892659293543
2009-03-13,1,2,-0.0035159251701146754
2009-03-16,1,2,0.01943249425546245
2009-03-17,2,2,-0.012311747738086298
2009-03-18,3,4,-0.032491972495568455
2009-03-19,3,4,-0.01976940007446848
2009-03-20,2,2,0.024709256268325985
2009-03-23,4,2,-0.04300533994584621
2009-03-24,3,2,-0.023061040456650694
2009-03-25,3,2,-0.03237575002193538
2009-03-26,4,4,-0.054426862680349686
2009-03-27,4,2,-0.03481870365409789
2009-03-30,3,0,0.013129614663131228
2009-03-31,3,2,0.01655660953977356
2009-04-01,3,4,0.005511134054520639
2009-04-02,4,4,-0.022567675375308682
2009-04-03,4,2,-0.031988145052856076
2009-04-06,4,2,-0.02385454246862917
2009-04-07,4,0,0.011783441230339475
2009-04-08,4,2,0.0087619876620455
2009-04-09,4,4,-0.028217501376490373
2009-04-13,4,2,-0.030673164346648796
2009-04-14,4,2,-0.01082588871249257
2009-04-15,4,2,-0.023085208748816588
2009-04-16,4,2,-0.03803302162117361
2009-04-17,4,4,-0.04278974468970964
2009-04-20,4,2,0.01340714442525437
2009-04-21,4,2,-0.007681664273476052
