date,score,measured,thrust,spx
2024-05-15,83.3,6,2,5308.14990234375
2024-05-16,64.3,7,2,5297.10009765625
2024-05-17,64.3,7,2,5303.27001953125
2024-05-20,64.3,7,2,5308.1298828125
2024-05-21,64.3,7,2,5321.41015625
2024-05-22,50.0,7,2,5307.009765625
2024-05-23,35.7,7,0,5267.83984375
2024-05-24,50.0,7,2,5304.72021484375
2024-05-28,46.4,7,2,5306.0400390625
2024-05-29,32.1,7,2,5266.9501953125
2024-05-30,46.4,7,2,5235.47998046875
2024-05-31,60.7,7,2,5277.509765625
2024-06-03,50.0,7,2,5283.39990234375
2024-06-04,28.6,7,0,5291.33984375
2024-06-05,53.6,7,2,5354.02978515625
2024-06-06,42.9,7,2,5352.9599609375
2024-06-07,28.6,7,0,5346.990234375
2024-06-10,35.7,7,2,5360.7900390625
2024-06-11,42.9,7,2,5375.31982421875
2024-06-12,39.3,7,2,5421.02978515625
2024-06-13,35.7,7,2,5433.740234375
2024-06-14,17.9,7,0,5431.60009765625
2024-06-17,28.6,7,2,5473.22998046875
2024-06-18,17.9,7,0,5487.02978515625
2024-06-20,28.6,7,2,5473.169921875
2024-06-21,28.6,7,2,5464.6201171875
2024-06-24,39.3,7,2,5447.8701171875
2024-06-25,28.6,7,2,5469.2998046875
2024-06-26,39.3,7,2,5477.89990234375
2024-06-27,53.6,7,2,5482.8701171875
2024-06-28,42.9,7,2,5460.47998046875
2024-07-01,28.6,7,2,5475.08984375
2024-07-02,39.3,7,2,5509.009765625
2024-07-03,50.0,7,2,5537.02001953125
2024-07-05,42.9,7,2,5567.18994140625
2024-07-08,42.9,7,2,5572.85009765625
2024-07-09,39.3,7,2,5576.97998046875
2024-07-10,71.4,7,2,5633.91015625
2024-07-11,85.7,7,4,5584.5400390625
2024-07-12,89.3,7,4,5615.35009765625
2024-07-15,85.7,7,4,5631.22021484375
2024-07-16,96.4,7,4,5667.2001953125
2024-07-17,64.3,7,0,5588.27001953125
2024-07-18,53.6,7,0,5544.58984375
2024-07-19,60.7,7,2,5505.0
2024-07-22,85.7,7,4,5564.41015625
2024-07-23,71.4,7,2,5555.740234375
2024-07-24,46.4,7,0,5427.1298828125
2024-07-25,75.0,7,4,5399.22021484375
2024-07-26,92.9,7,4,5459.10009765625
2024-07-29,53.6,7,0,5463.5400390625
2024-07-30,60.7,7,2,5436.43994140625
2024-07-31,75.0,7,2,5522.2998046875
2024-08-01,35.7,7,0,5446.68017578125
2024-08-02,21.4,7,0,5346.56005859375
2024-08-05,17.9,7,0,5186.330078125
2024-08-06,46.4,7,4,5240.02978515625
2024-08-07,25.0,7,0,5199.5
2024-08-08,50.0,7,4,5319.31005859375
2024-08-09,32.1,7,2,5344.16015625
2024-08-12,46.4,7,2,5344.39013671875
2024-08-13,64.3,7,4,5434.43017578125
2024-08-14,42.9,7,2,5455.2099609375
2024-08-15,75.0,7,4,5543.22021484375
2024-08-16,67.9,7,2,5554.25
2024-08-19,82.1,7,4,5608.25
2024-08-20,60.7,7,2,5597.1201171875
2024-08-21,85.7,7,4,5620.85009765625
2024-08-22,60.7,7,2,5570.64013671875
2024-08-23,89.3,7,4,5634.60986328125
2024-08-26,67.9,7,2,5616.83984375
2024-08-27,64.3,7,2,5625.7998046875
2024-08-28,57.1,7,0,5592.18017578125
2024-08-29,75.0,7,2,5591.9599609375
2024-08-30,67.9,7,2,5648.39990234375
2024-09-03,39.3,7,0,5528.93017578125
2024-09-04,57.1,7,2,5520.06982421875
2024-09-05,39.3,7,2,5503.41015625
2024-09-06,21.4,7,0,5408.419921875
2024-09-09,42.9,7,2,5471.0498046875
2024-09-10,46.4,7,2,5495.52001953125
2024-09-11,46.4,7,2,5554.1298828125
2024-09-12,64.3,7,2,5595.759765625
2024-09-13,85.7,7,4,5626.02001953125
2024-09-16,71.4,7,2,5633.08984375
2024-09-17,78.6,7,2,5634.580078125
2024-09-18,53.6,7,2,5618.259765625
2024-09-19,92.9,7,4,5713.64013671875
2024-09-20,64.3,7,2,5702.5498046875
2024-09-23,50.0,7,0,5718.56982421875
2024-09-24,78.6,7,2,5732.93017578125
2024-09-25,53.6,7,2,5722.259765625
2024-09-26,71.4,7,4,5745.3701171875
2024-09-27,85.7,7,2,5738.169921875
2024-09-30,82.1,7,2,5762.47998046875
2024-10-01,57.1,7,0,5708.75
2024-10-02,71.4,7,2,5709.5400390625
2024-10-03,57.1,7,2,5699.93994140625
2024-10-04,75.0,7,4,5751.06982421875
2024-10-07,57.1,7,2,5695.93994140625
2024-10-08,46.4,7,2,5751.1298828125
2024-10-09,46.4,7,2,5792.0400390625
2024-10-10,46.4,7,2,5780.0498046875
2024-10-11,67.9,7,4,5815.02978515625
2024-10-14,64.3,7,2,5859.85009765625
2024-10-15,60.7,7,2,5815.259765625
2024-10-16,89.3,7,4,5842.47021484375
2024-10-17,67.9,7,2,5841.47021484375
2024-10-18,82.1,7,2,5864.669921875
2024-10-21,60.7,7,2,5853.97998046875
2024-10-22,67.9,7,2,5851.2001953125
2024-10-23,39.3,7,0,5797.419921875
2024-10-24,46.4,7,2,5809.85986328125
2024-10-25,46.4,7,2,5808.1201171875
2024-10-28,75.0,7,4,5823.52001953125
2024-10-29,53.6,7,2,5832.919921875
2024-10-30,57.1,7,2,5813.669921875
