date,score,measured,thrust,spx
2024-05-15,90.0,5,,5308.14990234375
2024-05-16,66.7,6,,5297.10009765625
2024-05-17,66.7,6,,5303.27001953125
2024-05-20,66.7,6,,5308.1298828125
2024-05-21,66.7,6,,5321.41015625
2024-05-22,50.0,6,,5307.009765625
2024-05-23,41.7,6,,5267.83984375
2024-05-24,50.0,6,,5304.72021484375
2024-05-28,45.8,6,,5306.0400390625
2024-05-29,29.2,6,,5266.9501953125
2024-05-30,45.8,6,,5235.47998046875
2024-05-31,62.5,6,,5277.509765625
2024-06-03,50.0,6,,5283.39990234375
2024-06-04,33.3,6,,5291.33984375
2024-06-05,54.2,6,,5354.02978515625
2024-06-06,41.7,6,,5352.9599609375
2024-06-07,33.3,6,,5346.990234375
2024-06-10,33.3,6,,5360.7900390625
2024-06-11,41.7,6,,5375.31982421875
2024-06-12,37.5,6,,5421.02978515625
2024-06-13,33.3,6,,5433.740234375
2024-06-14,20.8,6,,5431.60009765625
2024-06-17,25.0,6,,5473.22998046875
2024-06-18,20.8,6,,5487.02978515625
2024-06-20,25.0,6,,5473.169921875
2024-06-21,25.0,6,,5464.6201171875
2024-06-24,37.5,6,,5447.8701171875
2024-06-25,25.0,6,,5469.2998046875
2024-06-26,37.5,6,,5477.89990234375
2024-06-27,54.2,6,,5482.8701171875
2024-06-28,41.7,6,,5460.47998046875
2024-07-01,25.0,6,,5475.08984375
2024-07-02,37.5,6,,5509.009765625
2024-07-03,50.0,6,,5537.02001953125
2024-07-05,41.7,6,,5567.18994140625
2024-07-08,41.7,6,,5572.85009765625
2024-07-09,37.5,6,,5576.97998046875
2024-07-10,75.0,6,,5633.91015625
2024-07-11,83.3,6,,5584.5400390625
2024-07-12,87.5,6,,5615.35009765625
2024-07-15,83.3,6,,5631.22021484375
2024-07-16,95.8,6,,5667.2001953125
2024-07-17,75.0,6,,5588.27001953125
2024-07-18,62.5,6,,5544.58984375
2024-07-19,62.5,6,,5505.0
2024-07-22,83.3,6,,5564.41015625
2024-07-23,75.0,6,,5555.740234375
2024-07-24,54.2,6,,5427.1298828125
2024-07-25,70.8,6,,5399.22021484375
2024-07-26,91.7,6,,5459.10009765625
2024-07-29,62.5,6,,5463.5400390625
2024-07-30,62.5,6,,5436.43994140625
2024-07-31,79.2,6,,5522.2998046875
2024-08-01,41.7,6,,5446.68017578125
2024-08-02,25.0,6,,5346.56005859375
2024-08-05,20.8,6,,5186.330078125
2024-08-06,37.5,6,,5240.02978515625
2024-08-07,29.2,6,,5199.5
2024-08-08,41.7,6,,5319.31005859375
2024-08-09,29.2,6,,5344.16015625
2024-08-12,45.8,6,,5344.39013671875
2024-08-13,58.3,6,,5434.43017578125
2024-08-14,41.7,6,,5455.2099609375
2024-08-15,70.8,6,,5543.22021484375
2024-08-16,70.8,6,,5554.25
2024-08-19,79.2,6,,5608.25
2024-08-20,62.5,6,,5597.1201171875
2024-08-21,83.3,6,,5620.85009765625
2024-08-22,62.5,6,,5570.64013671875
2024-08-23,87.5,6,,5634.60986328125
2024-08-26,70.8,6,,5616.83984375
2024-08-27,66.7,6,,5625.7998046875
2024-08-28,66.7,6,,5592.18017578125
2024-08-29,79.2,6,,5591.9599609375
2024-08-30,70.8,6,,5648.39990234375
2024-09-03,45.8,6,,5528.93017578125
2024-09-04,58.3,6,,5520.06982421875
2024-09-05,37.5,6,,5503.41015625
2024-09-06,25.0,6,,5408.419921875
2024-09-09,41.7,6,,5471.0498046875
2024-09-10,45.8,6,,5495.52001953125
2024-09-11,45.8,6,,5554.1298828125
2024-09-12,66.7,6,,5595.759765625
2024-09-13,83.3,6,,5626.02001953125
2024-09-16,75.0,6,,5633.08984375
2024-09-17,83.3,6,,5634.580078125
2024-09-18,54.2,6,,5618.259765625
2024-09-19,91.7,6,,5713.64013671875
2024-09-20,66.7,6,,5702.5498046875
2024-09-23,58.3,6,,5718.56982421875
2024-09-24,83.3,6,,5732.93017578125
2024-09-25,54.2,6,,5722.259765625
2024-09-26,66.7,6,,5745.3701171875
2024-09-27,91.7,6,,5738.169921875
2024-09-30,87.5,6,,5762.47998046875
2024-10-01,66.7,6,,5708.75
2024-10-02,75.0,6,,5709.5400390625
2024-10-03,58.3,6,,5699.93994140625
2024-10-04,70.8,6,,5751.06982421875
2024-10-07,58.3,6,,5695.93994140625
2024-10-08,45.8,6,,5751.1298828125
2024-10-09,45.8,6,,5792.0400390625
2024-10-10,45.8,6,,5780.0498046875
2024-10-11,62.5,6,,5815.02978515625
2024-10-14,66.7,6,,5859.85009765625
2024-10-15,62.5,6,,5815.259765625
2024-10-16,87.5,6,,5842.47021484375
2024-10-17,70.8,6,,5841.47021484375
2024-10-18,87.5,6,,5864.669921875
2024-10-21,62.5,6,,5853.97998046875
2024-10-22,70.8,6,,5851.2001953125
2024-10-23,45.8,6,,5797.419921875
2024-10-24,45.8,6,,5809.85986328125
2024-10-25,45.8,6,,5808.1201171875
2024-10-28,70.8,6,,5823.52001953125
2024-10-29,54.2,6,,5832.919921875
2024-10-30,58.3,6,,5813.669921875
2024-10-31,41.7,6,,5705.4501953125
2024-11-01,58.3,6,,5728.7998046875
2024-11-04,62.5,6,,5712.68994140625
2024-11-05,66.7,6,,5782.759765625
2024-11-06,91.7,6,,5929.0400390625
2024-11-07,70.8,6,,5973.10009765625
2024-11-08,79.2,6,,5995.5400390625
2024-11-11,91.7,6,,6001.35009765625
2024-11-12,70.8,6,,5983.990234375
2024-11-13,62.5,6,,5985.3798828125
2024-11-14,45.8,6,,5949.169921875
2024-11-15,45.8,6,,5870.6201171875
2024-11-18,50.0,6,,5893.6201171875
2024-11-19,54.2,6,,5916.97998046875
2024-11-20,58.3,6,,5917.10986328125
2024-11-21,66.7,6,,5948.7099609375
2024-11-22,87.5,6,,5969.33984375
2024-11-25,83.3,6,,5987.3701171875
2024-11-26,70.8,6,,6021.6298828125
2024-11-27,91.7,6,,5998.740234375
2024-11-29,95.8,6,,6032.3798828125
2024-12-02,70.8,6,,6047.14990234375
2024-12-03,75.0,6,,6049.8798828125
2024-12-04,87.5,6,,6086.490234375
2024-12-05,58.3,6,,6075.10986328125
2024-12-06,75.0,6,,6090.27001953125
2024-12-09,79.2,6,,6052.85009765625
2024-12-10,58.3,6,,6034.91015625
2024-12-11,62.5,6,,6084.18994140625
2024-12-12,45.8,6,,6051.25
2024-12-13,50.0,6,,6051.08984375
2024-12-16,50.0,6,,6074.080078125
2024-12-17,45.8,6,,6050.60986328125
2024-12-18,25.0,6,,5872.16015625
2024-12-19,33.3,6,,5867.080078125
2024-12-20,41.7,6,,5930.85009765625
2024-12-23,41.7,6,,5974.06982421875
2024-12-24,50.0,6,,6040.0400390625
2024-12-26,66.7,6,,6037.58984375
2024-12-27,45.8,6,,5970.83984375
2024-12-30,45.8,6,,5906.93994140625
2024-12-31,58.3,6,,5881.6298828125
2025-01-02,70.8,6,,5868.5498046875
2025-01-03,79.2,6,,5942.47021484375
2025-01-06,62.5,6,,5975.3798828125
2025-01-07,58.3,6,,5909.02978515625
2025-01-08,54.2,6,,5918.25
2025-01-10,25.0,6,,5827.0400390625
2025-01-13,37.5,6,,5836.22021484375
2025-01-14,41.7,6,,5842.91015625
2025-01-15,50.0,6,,5949.91015625
2025-01-16,62.5,6,,5937.33984375
2025-01-17,79.2,6,,5996.66015625
2025-01-21,87.5,6,,6049.240234375
2025-01-22,58.3,6,,6086.3701171875
2025-01-23,83.3,6,,6118.7099609375
2025-01-24,70.8,6,,6101.240234375
2025-01-27,58.3,6,,6012.27978515625
2025-01-28,62.5,6,,6067.7001953125
2025-01-29,58.3,6,,6039.31005859375
2025-01-30,62.5,6,,6071.169921875
2025-01-31,50.0,6,,6040.52978515625
2025-02-03,41.7,6,,5994.56982421875
2025-02-04,66.7,6,,6037.8798828125
2025-02-05,79.2,6,,6061.47998046875
2025-02-06,62.5,6,,6083.56982421875
2025-02-07,29.2,6,,6025.990234375
2025-02-10,58.3,6,,6066.43994140625
2025-02-11,41.7,6,,6068.5
2025-02-12,41.7,6,,6051.97021484375
2025-02-13,58.3,6,,6115.06982421875
2025-02-14,62.5,6,,6114.6298828125
2025-02-18,70.8,6,,6129.580078125
2025-02-19,66.7,6,,6144.14990234375
2025-02-20,41.7,6,,6117.52001953125
2025-02-21,33.3,6,,6013.1298828125
2025-02-24,25.0,6,,5983.25
2025-02-25,25.0,6,,5955.25
2025-02-26,29.2,6,,5956.06005859375
2025-02-27,20.8,6,,5861.56982421875
2025-02-28,41.7,6,,5954.5
2025-03-03,20.8,6,,5849.72021484375
2025-03-04,25.0,6,,5778.14990234375
2025-03-05,41.7,6,,5842.6298828125
2025-03-06,29.2,6,,5738.52001953125
2025-03-07,33.3,6,,5770.2001953125
2025-03-10,16.7,6,,5614.56005859375
2025-03-11,25.0,6,,5572.06982421875
2025-03-12,25.0,6,,5599.2998046875
2025-03-13,20.8,6,,5521.52001953125
2025-03-14,33.3,6,,5638.93994140625
2025-03-17,62.5,6,,5675.1201171875
2025-03-18,41.7,6,,5614.66015625
2025-03-19,58.3,6,,5675.2900390625
2025-03-20,54.2,6,,5662.89013671875
2025-03-21,50.0,6,,5667.56005859375
2025-03-24,54.2,6,,5767.56982421875
2025-03-25,29.2,6,,5776.64990234375
2025-03-26,29.2,6,,5712.2001953125
2025-03-27,33.3,6,,5693.31005859375
2025-03-28,16.7,6,,5580.93994140625
2025-03-31,20.8,6,,5611.85009765625
2025-04-01,25.0,6,,5633.06982421875
2025-04-02,37.5,6,,5670.97021484375
2025-04-03,12.5,6,,5396.52001953125
2025-04-04,12.5,6,,5074.080078125
2025-04-07,20.8,6,,5062.25
2025-04-08,16.7,6,,4982.77001953125
2025-04-09,20.8,6,,5456.89990234375
2025-04-10,16.7,6,,5268.0498046875
2025-04-11,37.5,6,,5363.35986328125
2025-04-14,45.8,6,,5405.97021484375
2025-04-15,45.8,6,,5396.6298828125
2025-04-16,29.2,6,,5275.7001953125
2025-04-17,54.2,6,,5282.7001953125
2025-04-21,12.5,6,,5158.2001953125
2025-04-22,50.0,6,,5287.759765625
2025-04-23,62.5,6,,5375.85986328125
2025-04-24,70.8,6,,5484.77001953125
2025-04-25,58.3,6,,5525.2099609375
2025-04-28,66.7,6,,5528.75
2025-04-29,58.3,6,,5560.830078125
2025-04-30,45.8,6,,5569.06005859375
2025-05-01,50.0,6,,5604.14013671875
2025-05-02,70.8,6,,5686.669921875
2025-05-05,50.0,6,,5650.3798828125
2025-05-06,29.2,6,,5606.91015625
2025-05-07,45.8,6,,5631.27978515625
2025-05-08,58.3,6,,5663.93994140625
2025-05-09,45.8,6,,5659.91015625
2025-05-12,66.7,6,,5844.18994140625
2025-05-13,62.5,6,,5886.5498046875
2025-05-14,45.8,6,,5892.580078125
2025-05-15,70.8,6,,5916.93017578125
2025-05-16,79.2,6,,5958.3798828125
2025-05-19,62.5,6,,5963.60009765625
2025-05-20,66.7,6,,5940.4599609375
2025-05-21,29.2,6,,5844.60986328125
2025-05-22,50.0,6,,5842.009765625
2025-05-23,37.5,6,,5802.81982421875
2025-05-27,58.3,6,,5921.5400390625
2025-05-28,45.8,6,,5888.5498046875
2025-05-29,70.8,6,,5912.169921875
2025-05-30,41.7,6,,5911.68994140625
2025-06-02,54.2,6,,5935.93994140625
2025-06-03,75.0,6,,5970.3701171875
2025-06-04,62.5,6,,5970.81005859375
2025-06-05,54.2,6,,5939.2998046875
2025-06-06,83.3,6,,6000.35986328125
2025-06-09,83.3,6,,6005.8798828125
2025-06-10,83.3,6,,6038.81005859375
2025-06-11,70.8,6,,6022.240234375
2025-06-12,66.7,6,,6045.259765625
2025-06-13,25.0,6,,5976.97021484375
2025-06-16,54.2,6,,6033.10986328125
2025-06-17,37.5,6,,5982.72021484375
2025-06-18,45.8,6,,5980.8701171875
2025-06-20,37.5,6,,5967.83984375
2025-06-23,54.2,6,,6025.169921875
2025-06-24,62.5,6,,6092.18017578125
2025-06-25,45.8,6,,6092.16015625
2025-06-26,75.0,6,,6141.02001953125
2025-06-27,66.7,6,,6173.06982421875
2025-06-30,83.3,6,,6204.9501953125
2025-07-01,79.2,6,,6198.009765625
2025-07-02,91.7,6,,6227.419921875
2025-07-03,91.7,6,,6279.35009765625
2025-07-07,70.8,6,,6229.97998046875
2025-07-08,91.7,6,,6225.52001953125
2025-07-09,91.7,6,,6263.259765625
2025-07-10,95.8,6,,6280.4599609375
2025-07-11,70.8,6,,6259.75
2025-07-14,87.5,6,,6268.56005859375
2025-07-15,45.8,6,,6243.759765625
2025-07-16,70.8,6,,6263.7001953125
2025-07-17,75.0,6,,6297.35986328125
2025-07-18,66.7,6,,6296.7900390625
2025-07-21,66.7,6,,6305.60009765625
2025-07-22,95.8,6,,6309.6201171875
2025-07-23,95.8,6,,6358.91015625
2025-07-24,70.8,6,,6363.35009765625
2025-07-25,87.5,6,,6388.64013671875
2025-07-28,75.0,6,,6389.77001953125
2025-07-29,54.2,6,,6370.85986328125
2025-07-30,58.3,6,,6362.89990234375
2025-07-31,45.8,6,,6339.39013671875
2025-08-01,37.5,6,,6238.009765625
2025-08-04,58.3,6,,6329.93994140625
2025-08-05,62.5,6,,6299.18994140625
2025-08-06,58.3,6,,6345.06005859375
2025-08-07,54.2,6,,6340.0
2025-08-08,75.0,6,,6389.4501953125
2025-08-11,54.2,6,,6373.4501953125
2025-08-12,66.7,6,,6445.759765625
2025-08-13,91.7,6,,6466.580078125
2025-08-14,70.8,6,,6468.5400390625
2025-08-15,62.5,6,,6449.7998046875
2025-08-18,75.0,6,,6449.14990234375
2025-08-19,41.7,6,,6411.3701171875
2025-08-20,58.3,6,,6395.77978515625
2025-08-21,70.8,6,,6370.169921875
2025-08-22,95.8,6,,6466.91015625
2025-08-25,75.0,6,,6439.31982421875
2025-08-26,95.8,6,,6465.93994140625
2025-08-27,91.7,6,,6481.39990234375
2025-08-28,79.2,6,,6501.85986328125
2025-08-29,75.0,6,,6460.259765625
2025-09-02,66.7,6,,6415.5400390625
2025-09-03,66.7,6,,6448.259765625
2025-09-04,70.8,6,,6502.080078125
2025-09-05,75.0,6,,6481.5
2025-09-08,66.7,6,,6495.14990234375
2025-09-09,79.2,6,,6512.60986328125
2025-09-10,75.0,6,,6532.0400390625
2025-09-11,95.8,6,,6587.47021484375
2025-09-12,75.0,6,,6584.2900390625
2025-09-15,75.0,6,,6615.27978515625
2025-09-16,79.2,6,,6606.759765625
2025-09-17,70.8,6,,6600.35009765625
2025-09-18,95.8,6,,6631.9599609375
2025-09-19,75.0,6,,6664.35986328125
2025-09-22,83.3,6,,6693.75
2025-09-23,70.8,6,,6656.919921875
2025-09-24,79.2,6,,6637.97021484375
2025-09-25,50.0,6,,6604.72021484375
2025-09-26,66.7,6,,6643.7001953125
2025-09-29,62.5,6,,6661.2099609375
2025-09-30,62.5,6,,6688.4599609375
2025-10-01,62.5,6,,6711.2001953125
2025-10-02,83.3,6,,6715.35009765625
2025-10-03,87.5,6,,6715.7900390625
2025-10-06,83.3,6,,6740.27978515625
2025-10-07,50.0,6,,6714.58984375
2025-10-08,83.3,6,,6753.72021484375
2025-10-09,62.5,6,,6735.10986328125
2025-10-10,29.2,6,,6552.509765625
2025-10-13,62.5,6,,6654.72021484375
2025-10-14,66.7,6,,6644.31005859375
2025-10-15,66.7,6,,6671.06005859375
2025-10-16,54.2,6,,6629.06982421875
2025-10-17,58.3,6,,6664.009765625
2025-10-20,62.5,6,,6735.1298828125
2025-10-21,62.5,6,,6735.35009765625
2025-10-22,58.3,6,,6699.39990234375
2025-10-23,62.5,6,,6738.43994140625
2025-10-24,87.5,6,,6791.68994140625
2025-10-27,70.8,6,,6875.16015625
2025-10-28,58.3,6,,6890.89013671875
2025-10-29,58.3,6,,6890.58984375
2025-10-30,37.5,6,,6822.33984375
2025-10-31,62.5,6,,6840.2001953125
2025-11-03,41.7,6,,6851.97021484375
2025-11-04,29.2,6,,6771.5498046875
2025-11-05,50.0,6,,6796.2900390625
2025-11-06,29.2,6,,6720.31982421875
2025-11-07,54.2,6,,6728.7998046875
2025-11-10,54.2,6,,6832.43017578125
2025-11-11,62.5,6,,6846.60986328125
2025-11-12,58.3,6,,6850.919921875
2025-11-13,29.2,6,,6737.490234375
2025-11-14,37.5,6,,6734.10986328125
2025-11-17,25.0,6,,6672.41015625
2025-11-18,33.3,6,,6617.31982421875
2025-11-19,29.2,6,,6642.16015625
2025-11-20,20.8,6,,6538.759765625
2025-11-21,33.3,6,,6602.990234375
2025-11-24,50.0,6,,6705.1201171875
2025-11-25,75.0,6,,6765.8798828125
2025-11-26,75.0,6,,6812.60986328125
2025-11-28,87.5,6,,6849.08984375
2025-12-01,45.8,6,,6812.6298828125
2025-12-02,58.3,6,,6829.3701171875
2025-12-03,87.5,6,,6849.72021484375
2025-12-04,83.3,6,,6857.1201171875
2025-12-05,66.7,6,,6870.39990234375
2025-12-08,66.7,6,,6846.509765625
2025-12-09,70.8,6,,6840.509765625
2025-12-10,83.3,6,,6886.68017578125
2025-12-11,83.3,6,,6901.0
2025-12-12,50.0,6,,6827.41015625
2025-12-15,45.8,6,,6816.509765625
2025-12-16,45.8,6,,6800.259765625
2025-12-17,41.7,6,,6721.43017578125
2025-12-18,45.8,6,,6774.759765625
2025-12-19,58.3,6,,6834.5
2025-12-22,70.8,6,,6878.490234375
2025-12-23,41.7,6,,6909.7900390625
2025-12-24,75.0,6,,6932.0498046875
2025-12-26,54.2,6,,6929.93994140625
2025-12-29,29.2,6,,6905.740234375
2025-12-30,37.5,6,,6896.240234375
2025-12-31,33.3,6,,6845.5
2026-01-02,50.0,6,,6858.47021484375
2026-01-05,58.3,6,,6902.0498046875
2026-01-06,79.2,6,,6944.81982421875
2026-01-07,58.3,6,,6920.93017578125
2026-01-08,75.0,6,,6921.4599609375
2026-01-09,75.0,6,,6966.27978515625
2026-01-12,75.0,6,,6977.27001953125
2026-01-13,62.5,6,,6963.740234375
2026-01-14,79.2,6,,6926.60009765625
2026-01-15,70.8,6,,6944.47021484375
2026-01-16,66.7,6,,6940.009765625
2026-01-20,54.2,6,,6796.85986328125
2026-01-21,79.2,6,,6875.6201171875
2026-01-22,87.5,6,,6913.35009765625
2026-01-23,70.8,6,,6915.60986328125
2026-01-26,58.3,6,,6950.22998046875
2026-01-27,79.2,6,,6978.60009765625
2026-01-28,45.8,6,,6978.02978515625
2026-01-29,45.8,6,,6969.009765625
2026-01-30,37.5,6,,6939.02978515625
2026-02-02,45.8,6,,6976.43994140625
2026-02-03,50.0,6,,6917.81005859375
2026-02-04,45.8,6,,6882.72021484375
2026-02-05,25.0,6,,6798.39990234375
2026-02-06,58.3,6,,6932.2998046875
2026-02-09,58.3,6,,6964.81982421875
2026-02-10,50.0,6,,6941.81005859375
2026-02-11,54.2,6,,6941.47021484375
2026-02-12,37.5,6,,6832.759765625
2026-02-13,54.2,6,,6836.169921875
2026-02-17,45.8,6,,6843.22021484375
2026-02-18,62.5,6,,6881.31005859375
2026-02-19,62.5,6,,6861.89013671875
2026-02-20,79.2,6,,6909.509765625
2026-02-23,41.7,6,,6837.75
2026-02-24,58.3,6,,6890.06982421875
2026-02-25,54.2,6,,6946.1298828125
2026-02-26,75.0,6,,6908.85986328125
2026-02-27,45.8,6,,6878.8798828125
2026-03-02,70.8,6,,6881.6201171875
2026-03-03,37.5,6,,6816.6298828125
2026-03-04,50.0,6,,6869.5
2026-03-05,41.7,6,,6830.7099609375
2026-03-06,29.2,6,,6740.02001953125
2026-03-09,41.7,6,,6795.990234375
2026-03-10,41.7,6,,6781.47998046875
2026-03-11,41.7,6,,6775.7998046875
2026-03-12,20.8,6,,6672.6201171875
2026-03-13,29.2,6,,6632.18994140625
2026-03-16,45.8,6,,6699.3798828125
2026-03-17,41.7,6,,6716.08984375
2026-03-18,41.7,6,,6624.7001953125
2026-03-19,54.2,6,,6606.490234375
2026-03-20,25.0,6,,6506.47998046875
2026-03-23,50.0,6,,6581.0
2026-03-24,45.8,6,,6556.3701171875
2026-03-25,79.2,6,,6591.89990234375
2026-03-26,37.5,6,,6477.16015625
2026-03-27,41.7,6,,6368.85009765625
2026-03-30,37.5,6,,6343.72021484375
2026-03-31,70.8,6,,6528.52001953125
2026-04-01,75.0,6,,6575.31982421875
2026-04-02,91.7,6,,6582.68994140625
2026-04-06,91.7,6,,6611.830078125
2026-04-07,66.7,6,,6616.85009765625
2026-04-08,83.3,6,,6782.81005859375
2026-04-09,83.3,6,,6824.66015625
2026-04-10,62.5,6,,6816.89013671875
2026-04-13,91.7,6,,6886.240234375
2026-04-14,91.7,6,,6967.3798828125
2026-04-15,91.7,6,,7022.9501953125
2026-04-16,91.7,6,,7041.27978515625
2026-04-17,91.7,6,,7126.06005859375
2026-04-20,91.7,6,,7109.14013671875
2026-04-21,62.5,6,,7064.009765625
2026-04-22,91.7,6,,7137.89990234375
2026-04-23,70.8,6,,7108.39990234375
2026-04-24,75.0,6,,7165.080078125
2026-04-27,70.8,6,,7173.91015625
2026-04-28,62.5,6,,7138.7998046875
2026-04-29,62.5,6,,7135.9501953125
2026-04-30,95.8,6,,7209.009765625
2026-05-01,83.3,6,,7230.1201171875
2026-05-04,75.0,6,,7200.75
2026-05-05,91.7,6,,7259.22021484375
2026-05-06,87.5,6,,7365.1201171875
2026-05-07,75.0,6,,7337.10986328125
2026-05-08,91.7,6,,7398.93017578125
2026-05-11,70.8,6,,7412.83984375
2026-05-12,66.7,6,,7400.9599609375
2026-05-13,58.3,6,,7444.25
2026-05-14,66.7,6,,7501.240234375
2026-05-15,50.0,6,,7408.5
2026-05-18,62.5,6,,7403.0498046875
2026-05-19,58.3,6,,7353.60986328125
2026-05-20,66.7,6,,7432.97021484375
2026-05-21,75.0,6,,7445.72021484375
2026-05-22,91.7,6,,7473.47021484375
2026-05-26,95.8,6,,7519.1201171875
2026-05-27,79.2,6,,7520.35986328125
2026-05-28,87.5,6,,7563.6298828125
2026-05-29,75.0,6,,7580.06005859375
2026-06-01,75.0,6,,7599.9599609375
2026-06-02,83.3,6,,7609.77978515625
2026-06-03,66.7,6,,7553.68017578125
2026-06-04,83.3,6,,7584.31005859375
2026-06-05,54.2,6,,7383.740234375
2026-06-08,45.8,6,,7405.72998046875
2026-06-09,70.8,6,,7386.64990234375
2026-06-10,54.2,6,,7266.990234375
2026-06-11,75.0,6,,7394.2998046875
2026-06-12,95.8,6,,7431.4599609375
2026-06-15,91.7,6,,7554.2900390625
2026-06-16,79.2,6,,7511.35009765625
2026-06-17,70.8,6,,7420.10009765625
2026-06-18,87.5,6,,7500.580078125
2026-06-22,75.0,6,,7472.7900390625
2026-06-23,62.5,6,,7365.4599609375
2026-06-24,62.5,6,,7358.22021484375
