date,score,spx,down4,up4,pct20,pct50
2024-05-23,43.8,5267.83984375,377,87,41.77,45.8
2024-05-24,56.2,5304.72021484375,116,227,47.23,48.5
2024-05-28,53.1,5306.0400390625,199,204,43.31,46.91
2024-05-29,40.6,5266.9501953125,285,117,33.4,40.4
2024-05-30,53.1,5235.47998046875,174,201,37.83,44.68
2024-05-31,65.6,5277.509765625,139,188,43.65,48.99
2024-06-03,56.2,5283.39990234375,224,181,41.87,48.16
2024-06-04,37.5,5291.33984375,312,99,33.6,43.41
2024-06-05,59.4,5354.02978515625,140,269,38.5,46.38
2024-06-06,50.0,5352.9599609375,218,143,36.56,44.35
2024-06-07,37.5,5346.990234375,333,84,30.04,39.57
2024-06-10,43.8,5360.7900390625,154,210,30.32,40.28
2024-06-11,50.0,5375.31982421875,153,157,29.8,38.66
2024-06-12,46.9,5421.02978515625,125,253,37.4,44.12
2024-06-13,43.8,5433.740234375,233,128,32.23,39.73
2024-06-14,28.1,5431.60009765625,323,89,26.78,35.51
2024-06-17,37.5,5473.22998046875,257,162,29.86,37.8
2024-06-18,28.1,5487.02978515625,302,119,30.96,36.33
2024-06-20,37.5,5473.169921875,255,190,32.62,37.64
2024-06-21,37.5,5464.6201171875,187,211,34.47,38.06
2024-06-24,46.9,5447.8701171875,196,233,41.29,42.08
2024-06-25,37.5,5469.2998046875,256,140,35.37,37.7
2024-06-26,46.9,5477.89990234375,171,180,35.49,36.91
2024-06-27,59.4,5482.8701171875,122,264,41.81,40.11
2024-06-28,50.0,5460.47998046875,204,215,45.13,42.21
2024-07-01,37.5,5475.08984375,281,152,40.04,38.19
2024-07-02,46.9,5509.009765625,241,130,42.49,39.65
2024-07-03,56.2,5537.02001953125,96,219,46.0,41.39
2024-07-05,50.0,5567.18994140625,198,182,43.2,38.59
2024-07-08,50.0,5572.85009765625,132,228,48.36,40.36
2024-07-09,46.9,5576.97998046875,181,155,45.82,39.28
2024-07-10,75.0,5633.91015625,139,241,52.6,43.81
2024-07-11,87.5,5584.5400390625,82,749,70.65,55.48
2024-07-12,90.6,5615.35009765625,77,290,76.05,59.67
2024-07-15,87.5,5631.22021484375,176,306,76.57,61.91
2024-07-16,96.9,5667.2001953125,64,695,83.3,68.96
2024-07-17,68.8,5588.27001953125,356,115,79.87,66.96
2024-07-18,59.4,5544.58984375,454,48,71.69,61.42
2024-07-19,65.6,5505.0,226,99,66.98,58.36
2024-07-22,87.5,5564.41015625,119,316,72.06,63.12
2024-07-23,75.0,5555.740234375,141,246,70.92,64.19
2024-07-24,50.0,5427.1298828125,444,84,60.37,56.99
2024-07-25,68.8,5399.22021484375,156,302,61.66,59.1
2024-07-26,90.6,5459.10009765625,92,310,67.28,63.55
2024-07-29,56.2,5463.5400390625,300,86,63.27,61.62
2024-07-30,56.2,5436.43994140625,282,132,59.61,61.07
2024-07-31,75.0,5522.2998046875,150,272,62.25,63.23
2024-08-01,40.6,5446.68017578125,756,95,47.29,55.18
2024-08-02,21.9,5346.56005859375,877,73,28.79,44.7
2024-08-05,18.8,5186.330078125,922,50,16.02,32.04
2024-08-06,43.8,5240.02978515625,148,351,19.87,36.51
2024-08-07,25.0,5199.5,428,131,16.45,33.02
2024-08-08,46.9,5319.31005859375,143,509,25.4,41.11
2024-08-09,31.2,5344.16015625,241,179,26.62,41.07
2024-08-12,43.8,5344.39013671875,249,186,24.33,38.3
2024-08-13,59.4,5434.43017578125,113,407,30.72,43.39
2024-08-14,46.9,5455.2099609375,265,138,32.52,43.27
2024-08-15,78.1,5543.22021484375,102,480,44.18,50.57
2024-08-16,71.9,5554.25,115,192,48.06,52.45
2024-08-19,84.4,5608.25,101,343,57.58,56.05
2024-08-20,65.6,5597.1201171875,213,137,52.29,53.15
2024-08-21,87.5,5620.85009765625,68,290,62.16,57.54
2024-08-22,65.6,5570.64013671875,277,112,58.17,54.25
2024-08-23,90.6,5634.60986328125,70,636,73.48,62.59
2024-08-26,71.9,5616.83984375,150,174,74.74,62.59
2024-08-27,68.8,5625.7998046875,231,113,72.67,61.24
2024-08-28,59.4,5592.18017578125,332,74,69.94,58.24
2024-08-29,75.0,5591.9599609375,132,213,72.8,60.04
2024-08-30,71.9,5648.39990234375,135,144,73.89,61.53
2024-09-03,43.8,5528.93017578125,751,78,54.38,51.06
2024-09-04,59.4,5520.06982421875,177,155,52.31,50.31
2024-09-05,43.8,5503.41015625,213,140,46.73,48.65
2024-09-06,21.9,5408.419921875,401,83,33.4,41.81
2024-09-09,40.6,5471.0498046875,164,251,35.43,42.9
2024-09-10,43.8,5495.52001953125,176,211,36.06,42.86
2024-09-11,50.0,5554.1298828125,129,276,35.81,43.86
2024-09-12,68.8,5595.759765625,140,271,42.85,47.3
2024-09-13,87.5,5626.02001953125,91,404,56.97,54.63
2024-09-16,75.0,5633.08984375,210,155,58.75,55.28
2024-09-17,81.2,5634.580078125,143,220,61.64,57.12
2024-09-18,59.4,5618.259765625,190,117,59.18,56.26
2024-09-19,93.8,5713.64013671875,102,368,68.27,62.57
2024-09-20,68.8,5702.5498046875,279,164,62.39,59.08
2024-09-23,56.2,5718.56982421875,326,127,59.35,56.94
2024-09-24,81.2,5732.93017578125,126,276,60.19,57.65
2024-09-25,59.4,5722.259765625,248,125,53.8,53.56
2024-09-26,75.0,5745.3701171875,113,380,59.66,58.73
2024-09-27,87.5,5738.169921875,115,258,64.1,61.31
2024-09-30,84.4,5762.47998046875,183,199,66.12,62.32
2024-10-01,62.5,5708.75,421,123,54.91,56.27
2024-10-02,75.0,5709.5400390625,152,211,53.07,55.16
2024-10-03,62.5,5699.93994140625,210,137,46.43,52.17
2024-10-04,78.1,5751.06982421875,86,302,54.65,57.95
2024-10-07,62.5,5695.93994140625,274,147,45.19,52.68
2024-10-08,53.1,5751.1298828125,262,126,42.67,51.67
2024-10-09,53.1,5792.0400390625,171,137,43.33,52.83
2024-10-10,53.1,5780.0498046875,192,135,40.49,52.07
2024-10-11,71.9,5815.02978515625,84,401,53.31,59.58
2024-10-14,68.8,5859.85009765625,149,184,55.44,61.75
2024-10-15,65.6,5815.259765625,272,155,54.74,61.13
2024-10-16,90.6,5842.47021484375,63,387,65.93,66.05
2024-10-17,71.9,5841.47021484375,203,140,64.15,64.61
2024-10-18,84.4,5864.669921875,94,264,66.01,65.85
2024-10-21,65.6,5853.97998046875,254,141,54.39,59.47
2024-10-22,71.9,5851.2001953125,164,173,53.02,57.43
2024-10-23,46.9,5797.419921875,316,94,46.6,53.09
2024-10-24,53.1,5809.85986328125,175,175,46.76,53.13
2024-10-25,53.1,5808.1201171875,164,178,43.36,50.54
2024-10-28,78.1,5823.52001953125,99,362,53.38,56.12
2024-10-29,59.4,5832.919921875,223,151,49.61,53.47
2024-10-30,62.5,5813.669921875,258,145,47.11,51.2
2024-10-31,43.8,5705.4501953125,429,119,36.07,45.02
2024-11-01,62.5,5728.7998046875,159,211,38.04,45.52
2024-11-04,65.6,5712.68994140625,210,195,39.14,46.59
2024-11-05,75.0,5782.759765625,131,354,49.36,52.6
2024-11-06,93.8,5929.0400390625,255,954,60.66,60.59
2024-11-07,78.1,5973.10009765625,294,319,60.89,61.47
2024-11-08,78.1,5995.5400390625,255,266,58.77,60.7
2024-11-11,93.8,6001.35009765625,211,404,60.97,61.09
2024-11-12,65.6,5983.990234375,391,156,56.75,58.17
2024-11-13,59.4,5985.3798828125,396,162,53.41,55.65
2024-11-14,46.9,5949.169921875,376,150,49.71,53.26
2024-11-15,46.9,5870.6201171875,484,110,46.09,48.48
2024-11-18,56.2,5893.6201171875,261,278,45.93,49.09
2024-11-19,59.4,5916.97998046875,174,292,47.32,49.4
2024-11-20,62.5,5917.10986328125,209,223,47.75,49.79
2024-11-21,75.0,5948.7099609375,162,348,53.8,52.64
2024-11-22,90.6,5969.33984375,115,345,59.44,55.24
2024-11-25,87.5,5987.3701171875,151,439,65.22,58.94
2024-11-26,71.9,6021.6298828125,279,165,62.16,58.39
2024-11-27,87.5,5998.740234375,125,258,64.88,58.5
2024-11-29,90.6,6032.3798828125,97,252,67.85,60.46
2024-12-02,71.9,6047.14990234375,225,235,68.08,60.62
2024-12-03,75.0,6049.8798828125,283,175,60.18,58.26
2024-12-04,84.4,6086.490234375,201,232,59.22,58.65
2024-12-05,56.2,6075.10986328125,334,138,50.9,55.9
2024-12-06,81.2,6090.27001953125,129,327,52.3,56.18
2024-12-09,84.4,6052.85009765625,223,334,52.4,57.24
2024-12-10,56.2,6034.91015625,297,140,49.79,55.78
2024-12-11,65.6,6084.18994140625,233,204,51.36,55.62
2024-12-12,46.9,6051.25,373,109,43.38,52.74
2024-12-13,56.2,6051.08984375,249,137,38.74,49.83
2024-12-16,56.2,6074.080078125,282,233,37.58,49.04
2024-12-17,53.1,6050.60986328125,229,162,31.94,45.4
