date,ret,score_day,score_prev,euph5,rec_days,extra_dd
2024-07-17,-0.0139,68.8,96.9,True,,-0.0849
2024-07-24,-0.0231,50.0,75.0,True,18.0,-0.0665
2024-08-01,-0.0137,40.6,75.0,True,10.0,-0.0608
2024-09-03,-0.0212,43.8,71.9,False,12.0,-0.0425
2024-09-06,-0.0173,21.9,43.8,False,3.0,-0.0173
2024-10-31,-0.0186,43.8,62.5,False,4.0,-0.0186
2024-11-15,-0.0132,46.9,46.9,True,5.0,-0.0132
2024-12-18,-0.0295,28.1,53.1,False,21.0,-0.0369
2024-12-27,-0.0111,53.1,75.0,False,14.0,-0.0349
2025-01-07,-0.0111,53.1,71.9,True,7.0,-0.0248
2025-01-10,-0.0154,21.9,50.0,True,3.0,-0.0154
2025-01-27,-0.0146,53.1,71.9,True,13.0,-0.0175
2025-02-21,-0.0171,37.5,43.8,False,,-0.0974
2025-02-27,-0.0159,18.8,37.5,False,,-0.073
2025-03-03,-0.0176,18.8,40.6,False,,-0.0727
2025-03-06,-0.0178,25.0,46.9,False,,-0.1315
2025-03-10,-0.027,15.6,34.4,False,11.0,-0.0431
2025-03-13,-0.0139,18.8,34.4,False,1.0,-0.0139
2025-03-18,-0.0107,34.4,62.5,False,1.0,-0.0107
2025-03-26,-0.0112,25.0,25.0,False,,-0.1374
2025-03-28,-0.0197,15.6,34.4,False,,-0.1248
2025-04-03,-0.0484,12.5,43.8,False,20.0,-0.1214
2025-04-08,-0.0157,15.6,18.8,False,1.0,-0.0157
2025-04-10,-0.0346,15.6,31.2,False,9.0,-0.0547
2025-04-16,-0.0224,25.0,43.8,False,5.0,-0.0442
2025-04-21,-0.0236,12.5,50.0,False,1.0,-0.0236
2025-05-21,-0.0161,34.4,68.8,True,8.0,-0.0232
2025-06-13,-0.0113,31.2,68.8,True,6.0,-0.0128
2025-08-01,-0.016,40.6,46.9,True,3.0,-0.016
2025-10-10,-0.0271,34.4,65.6,True,6.0,-0.0271
2025-11-04,-0.0117,34.4,43.8,False,21.0,-0.0457
2025-11-06,-0.0112,34.4,62.5,False,2.0,-0.0112
2025-11-13,-0.0166,34.4,62.5,False,14.0,-0.0456
2025-11-20,-0.0156,18.8,25.0,False,2.0,-0.0156
2025-12-12,-0.0107,50.0,81.2,True,7.0,-0.026
2025-12-17,-0.0116,34.4,50.0,True,2.0,-0.0116
2026-01-20,-0.0206,43.8,68.8,False,4.0,-0.0206
2026-02-05,-0.0123,21.9,43.8,False,1.0,-0.0123
2026-02-12,-0.0157,31.2,50.0,False,8.0,-0.0157
2026-02-23,-0.0104,34.4,75.0,False,2.0,-0.0104
2026-03-06,-0.0133,25.0,34.4,False,,-0.0713
2026-03-12,-0.0152,18.8,40.6,False,18.0,-0.0638
2026-03-18,-0.0136,40.6,40.6,False,14.0,-0.0554
2026-03-20,-0.0151,21.9,50.0,False,10.0,-0.0398
2026-03-26,-0.0174,31.2,68.8,False,6.0,-0.0376
2026-05-15,-0.0124,50.0,68.8,True,6.0,-0.0197
2026-06-05,-0.0264,53.1,81.2,False,,-0.0418
2026-06-10,-0.0162,53.1,71.9,False,1.0,-0.0162
2026-06-17,-0.0121,71.9,78.1,True,11.0,-0.0209
2026-06-23,-0.0144,59.4,75.0,True,5.0,-0.0159
2026-07-17,-0.0101,46.9,50.0,False,11.0,-0.0289
