n,t,asof,A,C,fwd20,mae,mfe,tf
1,DBD,2026-04-08,看,看,-0.4,-4.0,11.2,赢
2,APG,2026-04-08,看,看,5.7,0.0,12.8,赢
3,WDFC,2026-03-06,看,看,-10.9,-14.9,0.0,输
4,HWM,2026-03-10,看,看,-1.5,-12.2,0.0,输
5,BG,2026-02-26,未判,看,5.3,-5.2,5.5,输
6,BLBD,2026-04-17,否,看,16.4,-0.5,17.3,赢
7,CF,2026-04-08,否,看,-5.1,-10.7,1.5,输
8,CNI,2026-03-06,否,否,-1.0,-7.3,1.1,输
9,PCVX,2026-03-06,买,看,0.9,-10.3,0.9,输
10,CYTK,2026-03-10,否,买,2.4,-6.5,3.9,输
11,AME,2026-06-15,否,看,1.3,0.0,5.0,赢
12,CMI,2026-06-15,看,买,-2.0,-2.9,7.0,平
13,WELL,2026-03-10,看,看,-1.5,-6.1,2.6,输
14,HSY,2026-03-10,否,否,-4.6,-7.4,0.5,输
15,CECO,2026-04-17,否,看,23.9,-5.8,34.5,赢
16,NVCR,2026-03-06,否,买,-19.1,-20.6,0.0,输
17,Q,2026-05-07,看,看,-1.0,-1.0,17.3,赢
18,RGA,2026-04-08,否,看,1.6,-3.0,1.6,平
19,AME,2026-03-10,看,否,2.0,-7.8,2.0,输
20,PRAX,2026-05-07,否,否,-23.8,-23.8,7.2,输
21,LIN,2026-03-06,看,看,3.4,-1.4,4.0,平
22,WEC,2026-06-15,否,看,-0.9,-1.6,4.3,赢
23,NOVT,2026-05-07,否,看,14.7,0.0,23.7,赢
24,ALX,2026-03-06,否,否,-1.7,-1.9,6.0,平
25,PSMT,2026-03-10,否,否,6.2,-4.7,6.2,平
26,CRGY,2026-04-08,看,看,2.6,-7.5,9.0,平
27,IBP,2026-04-17,看,看,-29.7,-31.9,5.6,输
28,CP,2026-05-07,看,看,5.5,-0.5,7.1,赢
29,D,2026-02-26,否,看,-2.8,-5.3,1.2,输
30,HWM,2026-04-08,买,看,2.6,-5.4,3.2,输
31,FIGS,2026-04-08,看,否,-1.0,-4.6,12.8,赢
32,USFD,2026-04-17,买,否,-12.1,-12.1,0.0,输
33,BGC,2026-05-07,买,否,-3.6,-9.9,1.2,输
34,GEV,2026-05-07,看,看,-10.7,-10.7,4.3,输
35,BURL,2026-06-15,看,看,2.6,-7.2,2.6,输
36,HP,2026-03-10,买,买,1.1,-3.2,6.6,平
37,AG,2026-03-06,否,否,-17.2,-29.3,3.4,输
38,MO,2026-05-07,看,看,4.6,-1.3,7.2,赢
39,RRC,2026-04-17,否,否,1.8,-2.9,4.3,平
40,WHD,2026-04-17,否,买,8.1,-0.3,9.8,赢
41,HXL,2026-03-06,看,看,-10.2,-13.0,0.0,输
42,FORM,2026-03-10,看,否,29.4,-2.9,29.4,赢
43,BKR,2026-04-08,看,看,5.9,-6.3,10.3,输
44,NP,2026-06-15,否,看,11.6,-0.4,23.6,赢
45,AVA,2026-05-07,看,否,4.8,-1.4,4.8,赢
46,STAA,2026-06-15,否,否,0.5,-6.4,10.0,赢
47,GNRC,2026-06-15,看,买,-16.1,-16.7,9.4,输
48,ECG,2026-06-15,买,买,-11.2,-14.5,6.4,输
49,WLK,2026-04-17,否,否,-21.3,-21.3,2.7,输
50,CB,2026-04-17,否,否,-2.0,-4.5,0.6,输
