n,t,A,C,fwd20,mae,tf
1,KMI,否,否,-3.3,-6.1,输
2,PAA,否,否,4.0,-3.5,赢
3,TER,看,看,11.4,-4.4,赢
4,EQNR,否,否,-3.3,-9.8,输
5,PFS,否,否,1.1,-2.5,平
6,POR,看,否,5.1,-1.9,赢
7,KOS,看,看,7.8,0.0,赢
8,CVBF,看,看,3.0,-1.0,平
9,LQDA,否,看,46.2,-6.4,赢
10,CIB,看,否,-10.0,-10.8,输
11,HUBB,看,否,-4.1,-5.1,赢
12,NVT,看,看,-8.2,-9.1,赢
13,SBLK,看,看,8.3,0.0,赢
14,VLY,否,否,0.5,-0.1,平
15,ANRO,否,看,29.7,0.0,赢
16,FDX,否,否,5.0,-3.0,赢
17,AS,看,否,-7.5,-7.5,输
18,ATI,否,否,10.5,-8.1,输
19,CYTK,否,否,17.7,-9.0,输
20,LGN,买,看,-19.1,-20.0,输
21,KRYS,否,否,9.4,-2.2,赢
22,CALY,否,否,2.2,-3.7,平
23,PCVX,看,看,-8.3,-8.3,输
24,AEIS,看,看,1.9,0.0,赢
25,FRO,否,看,8.9,-2.3,平
26,CSCO,否,看,20.2,-0.3,赢
27,GERN,否,否,-5.2,-13.8,输
28,MOG-A,否,否,12.6,-1.5,赢
29,LINE,否,否,-5.6,-6.0,输
30,NTAP,否,看,-0.7,-5.5,平
31,EPRT,否,否,-1.2,-8.0,输
32,EBC,否,否,-5.7,-5.7,输
33,FANG,否,否,6.2,-3.3,赢
34,EGP,否,否,3.6,-3.7,输
35,OMC,否,否,-2.8,-6.2,输
36,MIRM,否,否,12.4,-6.6,输
37,OKE,否,否,-0.2,-3.8,平
38,ERAS,否,看,-2.9,-5.8,平
39,YPF,看,否,4.5,-3.5,平
40,VNOM,看,看,0.4,-0.2,赢
41,SEI,看,看,26.9,-0.0,赢
42,VNOM,否,否,6.7,0.0,赢
43,HSBC,否,否,2.6,0.0,赢
44,AMBQ,否,看,-9.3,-9.3,平
45,ETR,看,否,2.2,-1.4,平
46,FLS,否,否,-15.0,-15.0,输
47,ELVN,看,否,19.5,0.0,赢
48,NVMI,看,否,17.7,-5.6,赢
49,ALMS,否,看,-8.9,-12.8,输
50,EVRG,否,否,-1.4,-3.7,输
