baseline_sd_median_excess_10,baseline_sd_median_excess_21,baseline_sd_median_excess_5,distinct_signal_dates,lost,mean_excess_10,mean_excess_21,mean_excess_5,measured_first,measured_last,median_excess_10,median_excess_21,median_excess_5,median_mae_r_10,median_mae_r_21,median_mae_r_5,median_mfe_r_10,median_mfe_r_21,median_mfe_r_5,n,net_mean_excess_10,net_mean_excess_21,net_mean_excess_5,net_median_excess_10,net_median_excess_21,net_median_excess_5,net_median_mae_r_10,net_median_mae_r_21,net_median_mae_r_5,net_median_mfe_r_10,net_median_mfe_r_21,net_median_mfe_r_5,net_win_rate_10,net_win_rate_21,net_win_rate_5,sequence,under_powered,unstable,win_rate_10,win_rate_21,win_rate_5
0.026535,0.047717,0.013106,28,8,0.041513,0.020416,0.033031,2026-03-13,2026-06-29,-0.000986,-0.030521,0.003475,-1.3085,-1.7764,-0.9116,2.2161,2.3309,1.4086,36,-0.003724,-0.080712,0.012436,-0.026732,-0.100322,-0.006974,-0.206025,-0.362345,-0.08474,0.279725,-1.68357,0.281475,-0.12594,-0.220759,-0.01664,ema21_watch -> episodic_pivot,False,True,0.472222,0.388889,0.555556
0.003767,0.006346,0.002729,76,225,0.008785,0.000425,0.00868,2026-03-10,2026-06-30,0.001678,-0.017632,0.004346,-1.2472,-1.8312,-0.8848,1.723,2.6426,1.1879,1633,-0.021414,-0.064185,-0.005863,-0.011276,-0.041892,-0.001092,-0.097395,-0.309675,-0.05105,-0.06061,-0.393625,0.08046,-0.046544,-0.108133,-0.008871,ema21_watch -> gainers_4pct,False,True,0.505205,0.456216,0.526026
0.002123,0.00314,0.001403,76,347,0.003296,-0.005358,0.002996,2026-03-10,2026-06-30,-0.00385,-0.020054,-0.001193,-1.4556,-1.9099,-0.9524,1.464,2.3171,1.004,3475,-0.016863,-0.042612,-0.007671,-0.010785,-0.03229,-0.005021,-0.29303,-0.35809,-0.11596,-0.28097,-0.56129,-0.08812,-0.051853,-0.095356,-0.034053,ema21_watch -> healthy_charts,False,False,0.480863,0.44259,0.492374
0.007845,0.010579,0.004849,73,80,0.019398,-0.001732,0.018881,2026-03-10,2026-06-30,0.00819,-0.029981,0.012067,-1.3134,-1.84,-0.8525,1.8057,2.8535,1.2448,534,-0.019291,-0.070659,-0.002455,-0.013635,-0.070453,0.000555,-0.15205,-0.32413,-0.01851,-0.140405,-0.55744,0.056765,-0.044536,-0.162773,-0.004301,ema21_watch -> momentum_97,False,True,0.52809,0.428839,0.554307
0.005416,0.009023,0.003297,75,76,-0.014653,-0.033077,-0.002262,2026-03-10,2026-06-30,-0.01973,-0.05082,-0.00409,-1.4227,-2.2134,-1.0159,1.4605,2.0225,0.995,404,-0.030172,-0.059165,-0.0097,-0.028231,-0.060997,-0.007749,-0.272515,-0.72797,-0.1605,-0.25556,-0.780745,-0.059595,-0.13602,-0.209307,-0.038469,ema21_watch -> vcp,False,False,0.405941,0.329208,0.482673
0.005332,0.01187,0.0052,74,51,-0.001111,-0.008428,0.004027,2026-03-10,2026-06-30,-0.009534,-0.033607,-0.009871,-1.4477,-2.101,-1.0787,1.5628,2.3494,1.1219,383,-0.033816,-0.06837,-0.011528,-0.027661,-0.068703,-0.01739,-0.27973,-0.59522,-0.21609,-0.307645,-0.983025,-0.023325,-0.097603,-0.175955,-0.099109,ema21_watch -> vol_up_gainers,False,True,0.467363,0.412533,0.446475
0.058971,0.073433,0.036188,15,4,0.049393,0.063159,0.049239,2026-03-20,2026-06-17,0.019017,0.066408,0.027393,-1.0589,-1.5601,-0.6267,1.3383,2.5024,1.1656,18,0.018956,0.014242,0.026893,-0.017189,0.021638,0.004924,0.18741,0.27607,0.238335,-0.875395,-1.28135,-0.180305,-0.020339,-0.011035,0.093951,episodic_pivot -> ema21_watch,True,True,0.555556,0.555556,0.666667
0.010449,0.015912,0.005981,70,18,0.029544,0.038152,0.003279,2026-03-10,2026-06-30,-0.013269,-0.006611,-0.002418,-1.4118,-1.8705,-1.0393,1.6852,2.6313,1.1292,282,-0.014766,-0.049683,-0.017982,-0.023837,-0.042036,-0.005969,-0.286375,-0.400225,-0.227315,-0.052385,-0.56436,0.07886,-0.070159,-0.090905,-0.036517,episodic_pivot -> gainers_4pct,False,False,0.464539,0.475177,0.48227
0.011316,0.020588,0.00749,64,13,0.034384,0.054044,0.016966,2026-03-10,2026-06-29,0.002444,0.008654,0.004123,-1.3868,-1.8995,-1.0667,1.6346,2.6216,1.0669,168,-0.022848,-0.073764,-0.009895,-0.023497,-0.051201,-0.006023,-0.331345,-0.5152,-0.26504,-0.25383,-0.92671,-0.095335,-0.057273,-0.089154,-0.030175,episodic_pivot -> healthy_charts,False,True,0.517857,0.529762,0.52381
0.012953,0.022684,0.007743,65,21,0.04799,0.042689,0.019246,2026-03-10,2026-06-30,-0.008603,-0.008381,-0.005967,-1.2691,-1.9293,-0.9536,1.6655,2.8249,1.2095,169,-0.010364,-0.087441,-0.011192,-0.028975,-0.069147,-0.020765,-0.25412,-0.581585,-0.193395,-0.28629,-0.64548,0.0242,-0.092618,-0.129754,-0.088973,episodic_pivot -> momentum_97,False,True,0.473373,0.491124,0.485207
0.101858,0.240653,0.110152,2,1,-0.001986,0.085684,0.028607,2026-03-25,2026-04-23,-0.001986,0.085684,0.028607,-0.8038,-1.0314,-0.7652,1.7895,5.674,1.1983,2,-0.060884,-0.055986,-0.010905,-0.060884,-0.055986,-0.010905,0.372375,0.708,0.276245,-0.933305,0.458975,-0.636905,-0.15,-0.075,-0.05,episodic_pivot -> vcp,True,True,0.5,0.5,0.5
0.011475,0.023656,0.008407,62,4,0.033512,0.050671,0.003529,2026-03-10,2026-06-30,-0.021175,-0.008381,-0.003573,-1.6165,-2.1603,-1.2455,1.7814,2.769,1.2437,173,-0.02331,-0.074409,-0.024109,-0.040765,-0.058405,-0.009389,-0.498955,-0.68509,-0.4218,-0.072205,-0.637275,0.144525,-0.122794,-0.13273,-0.051703,episodic_pivot -> vol_up_gainers,False,False,0.433526,0.462428,0.473988
0.002709,0.004156,0.00219,76,286,0.013576,0.002128,0.010017,2026-03-10,2026-06-30,0.002909,-0.018787,0.00454,-1.3321,-1.8517,-0.9075,1.6355,2.5764,1.044,1558,-0.022542,-0.064341,-0.006192,-0.00883,-0.043039,-0.001607,-0.184895,-0.32897,-0.07749,-0.14255,-0.452935,-0.06455,-0.03307,-0.107078,-0.007023,gainers_4pct -> ema21_watch,False,True,0.512837,0.460847,0.528883
0.012441,0.015929,0.007798,67,25,0.019394,0.023426,0.001734,2026-03-10,2026-06-30,-0.025064,-0.014408,-0.012628,-1.7764,-2.1698,-1.2861,1.7701,2.4366,1.3436,247,-0.023916,-0.063642,-0.019417,-0.038322,-0.055393,-0.019761,-0.68772,-0.751175,-0.4773,0.002725,-0.888415,0.282915,-0.121251,-0.129517,-0.085539,gainers_4pct -> episodic_pivot,False,False,0.42915,0.45749,0.449393
0.002035,0.003441,0.001834,76,405,0.007394,0.005545,0.008243,2026-03-10,2026-06-30,-0.006478,-0.022308,0.001451,-1.4675,-2.0573,-0.9879,1.6655,2.5488,1.1372,3099,-0.019063,-0.064774,-0.005301,-0.018372,-0.048617,-0.004572,-0.33266,-0.5637,-0.159075,-0.113145,-0.53913,0.03574,-0.069302,-0.124118,-0.029074,gainers_4pct -> healthy_charts,False,True,0.480155,0.4495,0.506615
0.00271,0.004375,0.001662,76,607,0.00251,-0.008821,0.006182,2026-03-10,2026-06-30,-0.008632,-0.032882,0.000775,-1.5414,-2.1919,-1.0389,1.75,2.6844,1.2327,2622,-0.028937,-0.076622,-0.01211,-0.016316,-0.04848,-0.003825,-0.416695,-0.67449,-0.232255,0.05741,-0.21902,0.162395,-0.055436,-0.101624,-0.022696,gainers_4pct -> momentum_97,False,True,0.47254,0.435164,0.50267
0.006836,0.010763,0.004783,71,20,-0.006943,-0.005552,0.001381,2026-03-10,2026-06-30,-0.016538,-0.009565,0.00165,-1.485,-2.0491,-0.9816,1.5075,2.3761,1.0585,286,-0.022786,-0.034953,-0.006964,-0.026306,-0.026985,-0.003186,-0.37812,-0.61781,-0.131585,-0.2922,-0.58177,-0.044325,-0.114169,-0.103874,-0.008216,gainers_4pct -> vcp,False,False,0.433566,0.454545,0.520979
0.002848,0.005882,0.001908,76,508,-0.001775,0.008387,-0.00219,2026-03-10,2026-06-30,-0.017213,-0.028551,-0.009348,-1.582,-2.1276,-1.1303,1.6109,2.537,1.1129,2416,-0.012568,-0.019765,-0.008159,-0.015327,-0.025026,-0.007926,-0.41582,-0.530495,-0.299155,0.072635,-0.045535,0.118965,-0.044063,-0.052517,-0.035808,gainers_4pct -> vol_up_gainers,False,False,0.449089,0.43957,0.455298
0.002306,0.002813,0.001231,76,471,0.001968,-0.005555,0.002453,2026-03-10,2026-06-30,-0.003901,-0.02013,-0.001047,-1.452,-1.9009,-0.9737,1.4587,2.3208,0.965,3746,-0.018948,-0.047068,-0.00811,-0.011461,-0.033503,-0.00497,-0.298455,-0.37035,-0.136585,-0.281115,-0.57468,-0.1275,-0.053625,-0.10051,-0.032265,healthy_charts -> ema21_watch,False,False,0.481046,0.441271,0.494661
0.024064,0.029294,0.013758,44,10,0.028547,0.02659,0.001931,2026-03-11,2026-06-29,0.008577,-0.007629,-0.001949,-1.7285,-2.2706,-1.2078,1.8261,2.5126,1.3424,74,-0.03562,-0.108416,-0.033394,-0.018176,-0.082845,-0.016225,-0.68952,-0.872195,-0.44022,-0.1748,-1.30934,0.150495,-0.054004,-0.161199,-0.088785,healthy_charts -> episodic_pivot,False,True,0.527027,0.486486,0.486486
0.002408,0.002819,0.001266,75,361,0.005326,0.000559,0.004836,2026-03-10,2026-06-30,-0.003228,-0.022901,0.000657,-1.4249,-2.0774,-0.9652,1.7028,2.5982,1.1412,2831,-0.023177,-0.071311,-0.009675,-0.015114,-0.045667,-0.005607,-0.27477,-0.553015,-0.137415,-0.07189,-0.42124,0.035145,-0.059147,-0.109667,-0.033544,healthy_charts -> gainers_4pct,False,True,0.48852,0.451431,0.504062
0.003518,0.004119,0.001998,76,187,0.008052,-0.004359,0.008302,2026-03-10,2026-06-30,-0.004491,-0.032606,0.001092,-1.5713,-2.2288,-1.0156,1.7496,2.6406,1.1904,1742,-0.085598,-0.187257,-0.053945,-0.024917,-0.072438,-0.008982,-0.43035,-0.730835,-0.185135,-0.137755,-0.64958,0.034145,-0.082763,-0.146163,-0.045489,healthy_charts -> momentum_97,False,True,0.486223,0.440873,0.505741
