setup,ticker,entry,exit,days,R,mfe_R,mae_R,capture%,entry_px,stop,stop_dist%,stop_ATR,vs_ma20%,vs_ma50%,vs_ma200%,ma20_50_gap%,vs_20dhigh%,pos_52w%,rsi14,atr%,trims,dir,machine_guess,trade_id,machine_guess_v2,guess_v2_conf
,HOOD,2026-08-19,2026-08-19,0,-0.33,0.64,1.21,-52.0,96.92,93.0,4.04,0.86,3.6,-2.7,0.4,-6.1,-6.9,36.0,50.0,4.8,1,long,Long below MA200 — counter-trend,HOOD_2026-08-19_001,Pullback — U&R 或 30m Pivot（手标定）,mid
,MRNA,2026-08-19,2026-08-19,0,4.47,11.09,-1.28,40.0,106.34,100.0,5.96,0.55,65.6,66.4,123.4,0.5,-39.8,99.0,92.0,6.7,3,long,Breakout / near 52W high,MRNA_2026-08-19_000,Other — 对不上三类,low
,SOFI,2026-08-19,2026-08-21,2,0.49,0.84,0.98,58.0,18.5,17.7,4.32,1.1,5.3,5.2,-10.3,-0.1,-2.4,20.0,56.0,4.0,1,long,Long below MA200 — counter-trend,SOFI_2026-08-19_000,Counter-trend (below MA200) — 三类之外,high
,SOXL,2026-08-19,2026-08-19,0,-0.53,2.15,1.03,-25.0,122.32,117.0,4.35,0.33,-6.3,-30.2,17.0,-25.5,-24.9,35.0,42.0,13.2,1,long,Pullback below MA50 — risk-on but stretched,SOXL_2026-08-19_000,Other — 对不上三类,low
,HOOD,2026-08-18,2026-08-19,1,-0.33,0.64,1.4,-52.0,96.92,93.0,4.04,0.88,3.1,-2.5,0.2,-5.5,-9.3,31.0,44.0,4.9,1,long,Long below MA200 — counter-trend,HOOD_2026-08-18_001,Pullback — U&R 或 30m Pivot（手标定）,mid
,MRNA,2026-08-18,2026-08-19,1,4.47,11.09,6.97,40.0,106.34,100.0,5.96,1.69,82.1,73.3,126.9,-4.9,62.3,64.0,55.0,6.0,3,long,Long in mixed structure,MRNA_2026-08-18_000,Breakout,high
,SOFI,2026-08-18,2026-08-21,3,0.49,0.84,1.07,58.0,18.5,17.7,4.32,1.08,5.7,5.4,-10.6,-0.3,-2.4,16.0,49.0,4.2,1,long,Long below MA200 — counter-trend,SOFI_2026-08-18_000,Counter-trend (below MA200) — 三类之外,high
,SOXL,2026-08-18,2026-08-19,1,-0.53,2.87,1.03,-19.0,122.32,117.0,4.35,0.32,-7.7,-30.9,17.4,-25.1,-26.2,38.0,44.0,12.8,1,long,Pullback below MA50 — risk-on but stretched,SOXL_2026-08-18_000,Other — 对不上三类,low
,ARM,2026-08-16,2026-08-17,1,-1.0,1.19,1.93,-84.0,281.08,276.0,1.81,0.23,5.4,-9.7,44.1,-14.3,-6.1,51.0,50.0,8.1,1,long,Pullback below MA50 — risk-on but stretched,ARM_2026-08-16_000,Other — 对不上三类,low
,AUR,2026-08-16,2026-08-18,2,-1.11,0.6,2.94,-186.0,6.95,6.6,5.04,0.84,5.9,8.3,32.6,2.2,-4.1,68.0,58.0,5.9,2,long,Long in mixed structure,AUR_2026-08-16_000,Other — 对不上三类,low
,INTC,2026-08-16,2026-08-18,2,-2.4,0.36,3.32,-659.0,104.91,102.0,2.77,0.42,8.4,-4.1,49.6,-11.5,-2.5,67.0,51.0,6.7,2,long,Pullback below MA50 — risk-on but stretched,INTC_2026-08-16_000,Breakout（临界，base 顶下 2-4%）,low
,MRNA,2026-08-13,2026-08-19,4,22.26,41.89,0.7,53.0,62.72,60.0,4.34,0.73,8.3,3.6,35.5,-4.3,-4.0,65.0,57.0,5.9,3,long,Long in mixed structure,MRNA_2026-08-13_000,Breakout（临界，base 顶下 2-4%）,low
,MRNA,2026-08-13,2026-08-18,3,1.14,2.97,3.14,39.0,63.24,62.47,1.22,0.21,9.2,4.5,36.6,-4.3,-3.2,65.0,57.0,5.9,2,long,Long in mixed structure,MRNA_2026-08-13_001,Breakout（临界，base 顶下 2-4%）,low
,STX,2026-08-13,2026-08-18,3,-0.04,2.33,3.07,-2.0,948.23,920.0,2.98,0.36,12.9,6.8,73.8,-5.5,1.3,78.0,58.0,8.5,3,long,Long in mixed structure,STX_2026-08-13_000,Breakout,high
,ARM,2026-08-12,2026-08-18,4,-1.08,1.17,2.81,-93.0,277.71,267.0,3.86,0.45,4.7,-12.2,43.2,-16.2,-7.2,49.0,48.0,8.7,2,long,Pullback below MA50 — risk-on but stretched,ARM_2026-08-12_000,Other — 对不上三类,low
,INTC,2026-08-12,2026-08-14,2,0.0,1.21,0.96,0.0,103.42,100.0,3.31,0.47,7.6,-5.7,48.8,-12.4,-3.2,65.0,50.0,7.2,2,long,Pullback below MA50 — risk-on but stretched,INTC_2026-08-12_000,Breakout（临界，base 顶下 2-4%）,low
,MU,2026-08-12,2026-08-14,2,2.67,3.88,1.03,69.0,917.21,900.0,1.88,0.22,4.3,-5.0,68.3,-8.9,-9.3,70.0,51.0,8.7,2,long,Pullback below MA50 — risk-on but stretched,MU_2026-08-12_000,Other — 对不上三类,low
,ALAB,2026-08-11,2026-08-13,2,-1.27,0.7,2.03,-182.0,329.21,318.0,3.41,0.32,5.3,-7.7,54.2,-12.3,-11.4,53.0,47.0,11.1,1,long,Pullback below MA50 — risk-on but stretched,ALAB_2026-08-11_000,Other — 对不上三类,low
,MU,2026-08-11,2026-08-14,3,1.98,2.97,3.61,67.0,921.18,900.0,2.3,0.27,4.8,-4.8,70.1,-9.2,-9.0,66.0,47.0,9.0,2,long,Pullback below MA50 — risk-on but stretched,MU_2026-08-11_000,Other — 对不上三类,low
,MU,2026-08-11,2026-08-12,1,-1.0,0.65,5.96,-153.0,926.8,913.0,1.49,0.18,5.5,-4.2,71.2,-9.2,-8.4,66.0,47.0,9.0,1,long,Pullback below MA50 — risk-on but stretched,MU_2026-08-11_001,Other — 对不上三类,low
,OUST,2026-08-11,2026-08-18,5,-0.11,2.08,0.91,-5.0,45.2,42.0,7.08,0.73,15.5,6.1,55.6,-8.2,-8.7,61.0,55.0,9.7,1,long,Long in mixed structure,OUST_2026-08-11_000,Other — 对不上三类,low
,ALAB,2026-08-09,2026-08-10,1,-1.0,0.85,1.26,-117.0,332.4,320.0,3.73,0.35,4.8,-7.1,56.9,-11.3,-17.6,59.0,51.0,10.6,1,long,Pullback below MA50 — risk-on but stretched,ALAB_2026-08-09_000,Other — 对不上三类,low
,IOT,2026-08-09,2026-08-10,1,-1.74,-0.27,3.0,,40.62,40.0,1.53,0.26,10.3,15.8,21.0,5.0,-1.8,73.0,63.0,5.9,2,long,Long in mixed structure,IOT_2026-08-09_000,Breakout,high
