date,class,title,subtitle,audience,likes,comments,url
2026-09-20,G · 周末宏观大稿,Mixed Signals,Preparing for the week ahead.,only_paid,9,0,https://thesetupfactory.substack.com/p/mixed-signals-73a
2026-09-16,A · Momentum Leaders Portfolio,The Momentum Leaders Portfolio,,founding,5,0,https://thesetupfactory.substack.com/p/the-momentum-leaders-portfolio-406
2026-09-16,G · 周末宏观大稿,FOMC Special,What TSF Is,only_paid,16,0,https://thesetupfactory.substack.com/p/fomc-special
2026-09-13,B · TSF Focus Stocks,TSF Focus Stocks 13/9-2026,The focus list is ready.,only_paid,10,0,https://thesetupfactory.substack.com/p/tsf-focus-stocks-129-2026
2026-09-13,G · 周末宏观大稿,Inflection Point,Preparing for the week ahead.,only_paid,13,2,https://thesetupfactory.substack.com/p/inflection-point-44e
2026-09-11,A · Momentum Leaders Portfolio,The Momentum Leaders Portfolio,"Welcome to TSF.
• A 4x weekly swing trading publication
• A private Discord community of 400+ traders
• The Setup Factory Analytics Platform— a propri",founding,2,0,https://thesetupfactory.substack.com/p/the-momentum-leaders-portfolio-36c
2026-09-10,A · Momentum Leaders Portfolio,The Momentum Leaders Portfolio,,founding,2,0,https://thesetupfactory.substack.com/p/the-momentum-leaders-portfolio-bcc
2026-09-10,A · Momentum Leaders Portfolio,The Momentum Leaders Portfolio -- Short Note,,founding,2,0,https://thesetupfactory.substack.com/p/the-momentum-leaders-portfolio-short
2026-09-09,G · 周末宏观大稿,Maximum Flexibility Required,A split market,only_paid,14,0,https://thesetupfactory.substack.com/p/maximum-flexibility-required
2026-09-06,B · TSF Focus Stocks,TSF Focus Stocks 6/9-2026,The focus list is ready.,only_paid,13,0,https://thesetupfactory.substack.com/p/tsf-focus-stocks-69-2026
2026-09-06,G · 周末宏观大稿,"Correlations, Asymmetry And The Split Market",Preparing for the week ahead.,only_paid,21,0,https://thesetupfactory.substack.com/p/correlations-asymmetry-and-the-split
2026-09-04,A · Momentum Leaders Portfolio,The Momentum Leaders Portfolio,What TSF Is,founding,7,0,https://thesetupfactory.substack.com/p/the-momentum-leaders-portfolio-f7b
2026-09-02,A · Momentum Leaders Portfolio,The Momentum Leaders Portfolio ,"Welcome to TSF.
• A 4x weekly swing trading publication
• A private Discord community of 400+ traders
• The Setup Factory Analytics Platform— a propri",founding,6,0,https://thesetupfactory.substack.com/p/the-momentum-leaders-portfolio-6e2
2026-09-02,D · Community Meeting,TSF - Community Meeting,The start or the end of the weakness?,only_paid,11,0,https://thesetupfactory.substack.com/p/tsf-community-meeting-dec
2026-08-30,B · TSF Focus Stocks,TSF Focus Stocks 30/8-2026,This weeks focus list is ready.,only_paid,12,0,https://thesetupfactory.substack.com/p/tsf-focus-stocks-308-2026
2026-08-30,G · 周末宏观大稿,Canaries,Preparing for the week ahead,everyone,23,0,https://thesetupfactory.substack.com/p/canaries
