1820867450239373623|2024-08-06|00|22 replies; 159 reposts; 1237 likes; 478 bookmarks; 171895 views|2024-Q3
1825982177319805280|2024-08-20|00|193 replies; 87 reposts; 762 likes; 50 bookmarks; 109759 views|2024-Q3
1848699231411831012|2024-10-22|00|57 replies; 183 reposts; 1251 likes; 234 bookmarks; 195161 views|2024-Q3
1819721687589433430|2024-08-03|00|50 replies; 90 reposts; 604 likes; 108 bookmarks; 201060 views|2024-Q3
1824061392355213549|2024-08-15|00|14 replies; 12 reposts; 128 likes; 3 bookmarks; 9878 views|2024-Q3
1825514407096438988|2024-08-19|00|27 replies; 104 reposts; 771 likes; 104 bookmarks; 312159 views|2024-Q3
1821182921300177075|2024-08-07|00|118 replies; 246 reposts; 1613 likes; 497 bookmarks; 363473 views|2024-Q3
1821942815892365706|2024-08-09|00|7 replies; 48 reposts; 329 likes; 44 bookmarks; 43888 views|2024-Q3
1820554289024274730|2024-08-05|00|24 replies; 43 reposts; 368 likes; 24 bookmarks; 30880 views|2024-Q3
1848733905936941225|2024-10-22|00|24 replies; 55 reposts; 717 likes; 119 bookmarks; 112714 views|2024-Q3
1883700447514398958|2025-01-27|00|1566 replies; 1436 reposts; 10604 likes; 2204 bookmarks; 2100910 views|2024-Q4
1855633865785659842|2024-11-10|00|44 replies; 59 reposts; 793 likes; 205 bookmarks; 142893 views|2024-Q4
1866292686120263763|2024-12-10|00|27 replies; 72 reposts; 633 likes; 162 bookmarks; 103973 views|2024-Q4
1861156954648838241|2024-11-25|00|118 replies; 44 reposts; 962 likes; 105 bookmarks; 231659 views|2024-Q4
1876030914272379187|2025-01-05|00|29 replies; 58 reposts; 558 likes; 331 bookmarks; 94951 views|2024-Q4
1870848906025705750|2024-12-22|00|47 replies; 34 reposts; 495 likes; 121 bookmarks; 72592 views|2024-Q4
1883984002706788703|2025-01-27|00|47 replies; 40 reposts; 433 likes; 89 bookmarks; 76957 views|2024-Q4
1873520045613109463|2024-12-30|00|86 replies; 86 reposts; 821 likes; 774 bookmarks; 97460 views|2024-Q4
1857239241862107215|2024-11-15|00|30 replies; 40 reposts; 326 likes; 190 bookmarks; 40495 views|2024-Q4
1914391728360185915|2025-04-21|00|201 replies; 519 reposts; 9244 likes; 185 bookmarks; 420496 views|2025-Q1
1914792369913741446|2025-04-22|00|259 replies; 603 reposts; 7225 likes; 131 bookmarks; 251353 views|2025-Q1
1910062009904964049|2025-04-09|00|196 replies; 427 reposts; 3591 likes; 802 bookmarks; 694231 views|2025-Q1
1916214530234863791|2025-04-26|00|80 replies; 40 reposts; 746 likes; 115 bookmarks; 102011 views|2025-Q1
1913997033477714085|2025-04-20|00|42 replies; 45 reposts; 535 likes; 18 bookmarks; 53142 views|2025-Q1
1911061482411876653|2025-04-12|00|154 replies; 114 reposts; 1321 likes; 42 bookmarks; 84045 views|2025-Q1
1915159748338479307|2025-04-23|00|66 replies; 28 reposts; 371 likes; 16 bookmarks; 39310 views|2025-Q1
1951084818940252304|2025-08-01|00|102 replies; 135 reposts; 1197 likes; 415 bookmarks; 165913 views|2025-Q2
1946194964083273892|2025-07-18|00|54 replies; 48 reposts; 469 likes; 370 bookmarks; 47127 views|2025-Q2
1922381465540493424|2025-05-13|00|125 replies; 74 reposts; 1208 likes; 62 bookmarks; 131321 views|2025-Q2
1947782836938809608|2025-07-22|00|59 replies; 87 reposts; 733 likes; 267 bookmarks; 70375 views|2025-Q2
1941910858314997774|2025-07-06|00|53 replies; 86 reposts; 622 likes; 267 bookmarks; 90858 views|2025-Q2
1946570389095661933|2025-07-19|00|43 replies; 58 reposts; 451 likes; 135 bookmarks; 43086 views|2025-Q2
1945876037751247074|2025-07-17|00|46 replies; 70 reposts; 576 likes; 153 bookmarks; 62599 views|2025-Q2
1927825503752192211|2025-05-28|00|68 replies; 40 reposts; 540 likes; 43 bookmarks; 62105 views|2025-Q2
1950655234843541840|2025-07-30|00|47 replies; 61 reposts; 665 likes; 63 bookmarks; 80082 views|2025-Q2
1921377618982519204|2025-05-11|00|55 replies; 25 reposts; 324 likes; 27 bookmarks; 32288 views|2025-Q2
1974834705162817855|2025-10-05|00|81 replies; 162 reposts; 1135 likes; 619 bookmarks; 263761 views|2025-Q3
1953128423301300570|2025-08-06|00|71 replies; 47 reposts; 624 likes; 69 bookmarks; 74371 views|2025-Q3
1973563277159657535|2025-10-02|00|62 replies; 49 reposts; 632 likes; 82 bookmarks; 55055 views|2025-Q3
1967714078996205672|2025-09-15|00|39 replies; 56 reposts; 533 likes; 264 bookmarks; 48800 views|2025-Q3
1961194232800018880|2025-08-28|00|60 replies; 79 reposts; 838 likes; 225 bookmarks; 82981 views|2025-Q3
1956708267553395008|2025-08-16|00|96 replies; 108 reposts; 989 likes; 649 bookmarks; 111790 views|2025-Q3
1984407766329332103|2025-10-31|00|115 replies; 200 reposts; 2053 likes; 464 bookmarks; 362198 views|2025-Q3
1960831978107703691|2025-08-27|00|40 replies; 54 reposts; 590 likes; 47 bookmarks; 56160 views|2025-Q3
1965791716864319585|2025-09-10|00|103 replies; 73 reposts; 1236 likes; 124 bookmarks; 169216 views|2025-Q3
1987706119435800751|2025-11-10|00|378 replies; 486 reposts; 6159 likes; 644 bookmarks; 512448 views|2025-Q4
1998564906048667657|2025-12-10|00|24 replies; 47 reposts; 350 likes; 54 bookmarks; 53806 views|2025-Q4
1994793648882401304|2025-11-29|00|40 replies; 77 reposts; 946 likes; 237 bookmarks; 76848 views|2025-Q4
1987536127549706592|2025-11-09|00|89 replies; 255 reposts; 2679 likes; 254 bookmarks; 222559 views|2025-Q4
2016933482690154787|2026-01-29|00|66 replies; 114 reposts; 1818 likes; 743 bookmarks; 202579 views|2025-Q4
2014448809586106580|2026-01-22|00|85 replies; 89 reposts; 1163 likes; 133 bookmarks; 103401 views|2025-Q4
2027421404765835563|2026-02-27|00|43 replies; 57 reposts; 617 likes; 83 bookmarks; 49631 views|2026-Q1
2032820286270107821|2026-03-14|00|49 replies; 138 reposts; 1206 likes; 407 bookmarks; 73808 views|2026-Q1
2045533144414118389|2026-04-18|00|54 replies; 43 reposts; 536 likes; 55 bookmarks; 41182 views|2026-Q1
2038335906805944578|2026-03-29|00|19 replies; 31 reposts; 338 likes; 76 bookmarks; 28213 views|2026-Q1
2048196517576458542|2026-04-26|00|64 replies; 103 reposts; 1249 likes; 216 bookmarks; 55790 views|2026-Q1
2045292065030836556|2026-04-18|00|54 replies; 95 reposts; 983 likes; 126 bookmarks; 83489 views|2026-Q1
2041686463654371352|2026-04-08|00|21 replies; 48 reposts; 718 likes; 16 bookmarks; 35624 views|2026-Q1
2024929474018435351|2026-02-20|00|26 replies; 25 reposts; 543 likes; 38 bookmarks; 38078 views|2026-Q1
2049890696295760168|2026-04-30|00|45 replies; 24 reposts; 319 likes; 18 bookmarks; 26910 views|2026-Q1
2036162633074680228|2026-03-23|00|20 replies; 30 reposts; 389 likes; 36 bookmarks; 22753 views|2026-Q1
2054381580324343979|2026-05-13|00|226 replies; 265 reposts; 5969 likes; 204 bookmarks; 430383 views|2026-Q2
2054333853167169980|2026-05-12|00|67 replies; 70 reposts; 1178 likes; 393 bookmarks; 129835 views|2026-Q2
2069877689083670880|2026-06-24|00|30 replies; 42 reposts; 726 likes; 38 bookmarks; 71080 views|2026-Q2
2058550336881668600|2026-05-24|00|119 replies; 136 reposts; 1504 likes; 321 bookmarks; 165572 views|2026-Q2
2053519895195705744|2026-05-10|00|82 replies; 154 reposts; 2042 likes; 876 bookmarks; 265473 views|2026-Q2
2051837926493811138|2026-05-06|00|95 replies; 61 reposts; 666 likes; 63 bookmarks; 61467 views|2026-Q2
2060165743304425562|2026-05-29|00|55 replies; 110 reposts; 2252 likes; 180 bookmarks; 338349 views|2026-Q2
2063769143338299720|2026-06-07|00|35 replies; 44 reposts; 547 likes; 111 bookmarks; 51538 views|2026-Q2
2054003807135166661|2026-05-12|00|46 replies; 45 reposts; 563 likes; 82 bookmarks; 37468 views|2026-Q2
2061582944007819603|2026-06-01|00|58 replies; 89 reposts; 1576 likes; 121 bookmarks; 112508 views|2026-Q2
